"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,0,2,0
2020-03-06,2,0,0,0
2020-03-07,4,0,2,0
2020-03-08,5,0,1,0
2020-03-09,5,0,0,0
2020-03-10,15,1,10,1
2020-03-11,23,1,8,0
2020-03-12,29,1,6,0
2020-03-13,49,1,20,0
2020-03-14,69,1,20,0
2020-03-15,72,2,3,1
2020-03-16,176,2,104,0
2020-03-17,250,3,74,1
2020-03-18,397,5,147,2
2020-03-19,633,5,236,0
2020-03-20,798,5,165,0
2020-03-21,1187,16,389,11
2020-03-22,1693,16,506,0
2020-03-23,2425,18,732,2
2020-03-24,3030,18,605,0
2020-03-25,3472,18,442,0
2020-03-26,5398,18,1926,0
2020-03-27,6841,26,1443,8
2020-03-28,8646,54,1805,28
2020-03-29,10366,105,1720,51
2020-03-30,12789,107,2423,2
2020-03-31,15010,20,2221,-87
2020-04-01,17743,355,2733,335
