"date","positive","death","positiveIncrease","deathIncrease"
"2020-01-22",0,0,0,0
"2020-01-23",0,0,0,0
"2020-01-24",0,0,0,0
"2020-01-25",0,0,0,0
"2020-01-26",0,0,0,0
"2020-01-27",0,0,0,0
"2020-01-28",0,0,0,0
"2020-01-29",0,0,0,0
"2020-01-30",0,0,0,0
"2020-01-31",0,0,0,0
"2020-02-01",0,0,0,0
"2020-02-02",0,0,0,0
"2020-02-03",0,0,0,0
"2020-02-04",0,0,0,0
"2020-02-05",0,0,0,0
"2020-02-06",0,0,0,0
"2020-02-07",0,0,0,0
"2020-02-08",0,0,0,0
"2020-02-09",0,0,0,0
"2020-02-10",0,0,0,0
"2020-02-11",0,0,0,0
"2020-02-12",0,0,0,0
"2020-02-13",0,0,0,0
"2020-02-14",0,0,0,0
"2020-02-15",0,0,0,0
"2020-02-16",0,0,0,0
"2020-02-17",0,0,0,0
"2020-02-18",0,0,0,0
"2020-02-19",0,0,0,0
"2020-02-20",0,0,0,0
"2020-02-21",0,0,0,0
"2020-02-22",0,0,0,0
"2020-02-23",0,0,0,0
"2020-02-24",0,0,0,0
"2020-02-25",0,0,0,0
"2020-02-26",0,0,0,0
"2020-02-27",0,0,0,0
"2020-02-28",0,0,0,0
"2020-02-29",1,0,1,0
"2020-03-01",1,0,0,0
"2020-03-02",3,0,2,0
"2020-03-03",3,0,0,0
"2020-03-04",3,0,0,0
"2020-03-05",3,0,0,0
"2020-03-06",3,0,0,0
"2020-03-07",6,0,3,0
"2020-03-08",14,0,8,0
"2020-03-09",14,0,0,0
"2020-03-10",14,0,0,0
"2020-03-11",19,0,5,0
"2020-03-12",24,0,5,0
"2020-03-13",30,0,6,0
"2020-03-14",36,0,6,0
"2020-03-15",36,1,0,1
"2020-03-16",39,1,3,0
"2020-03-17",66,1,27,0
"2020-03-18",75,3,9,2
"2020-03-19",88,3,13,0
"2020-03-20",114,3,26,0
"2020-03-21",137,4,23,1
"2020-03-22",161,5,24,1
"2020-03-23",191,5,30,0
"2020-03-24",210,8,19,3
"2020-03-25",266,10,56,2
"2020-03-26",316,11,50,1
"2020-03-27",416,12,100,1
"2020-03-28",479,13,63,1
"2020-03-29",548,13,69,0
"2020-03-30",606,16,58,3
"2020-03-31",690,18,84,2
"2020-04-01",736,19,46,1
"2020-04-02",826,21,90,2
"2020-04-03",899,22,73,1
"2020-04-04",899,22,0,0
"2020-04-05",1068,27,169,5
"2020-04-06",1068,27,0,0
"2020-04-07",1132,29,64,2
"2020-04-08",1181,33,49,4
"2020-04-09",1321,43,140,10
"2020-04-10",1322,43,1,0
"2020-04-11",1371,48,49,5
"2020-04-12",1526,52,155,4
"2020-04-13",1584,53,58,1
"2020-04-14",1633,55,49,2
"2020-04-15",1663,58,30,3
"2020-04-16",1736,64,73,6
"2020-04-17",1785,70,49,6
"2020-04-18",1844,72,59,2
"2020-04-19",1910,74,66,2
"2020-04-20",1957,75,47,1
"2020-04-21",2004,78,47,3
"2020-04-22",2059,78,55,0
"2020-04-23",2127,83,68,5
"2020-04-24",2177,86,50,3
"2020-04-25",2253,87,76,1
"2020-04-26",2311,92,58,5
"2020-04-27",2354,92,43,0
"2020-04-28",2385,99,31,7
"2020-04-29",2446,101,61,2
"2020-04-30",2510,103,64,2
"2020-05-01",2579,104,69,1
"2020-05-02",2635,109,56,5
"2020-05-03",2680,109,45,0
"2020-05-04",2759,109,79,0
"2020-05-05",2839,113,80,4
"2020-05-06",2916,115,77,2
"2020-05-07",2989,121,73,6
"2020-05-08",3068,124,79,3
"2020-05-09",3160,127,92,3
"2020-05-10",3228,127,68,0
"2020-05-11",3286,130,58,3
"2020-05-12",3358,130,72,0
"2020-05-13",3416,134,58,4
"2020-05-14",3479,137,63,3
"2020-05-15",3541,137,62,0
"2020-05-16",3612,137,71,0
"2020-05-17",3623,137,11,0
"2020-05-18",3687,138,64,1
"2020-05-19",3726,140,39,2
"2020-05-20",3801,144,75,4
"2020-05-21",3817,145,16,1
"2020-05-22",3864,147,47,2
"2020-05-23",3888,147,24,0
"2020-05-24",3927,148,39,1
"2020-05-25",3949,148,22,0
"2020-05-26",3967,148,18,0
"2020-05-27",4038,148,71,0
"2020-05-28",4086,151,48,3
"2020-05-29",4131,151,45,0
"2020-05-30",4185,153,54,2
"2020-05-31",4243,153,58,0
