"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,2,0,2,0
2020-03-07,2,0,0,0
2020-03-08,6,0,4,0
2020-03-09,7,0,1,0
2020-03-10,12,0,5,0
2020-03-11,16,0,4,0
2020-03-12,22,0,6,0
2020-03-13,41,0,19,0
2020-03-14,47,0,6,0
2020-03-15,47,0,0,0
2020-03-16,79,0,32,0
2020-03-17,112,0,33,0
2020-03-18,155,1,43,1
2020-03-19,206,1,51,0
2020-03-20,311,1,105,0
2020-03-21,399,2,88,1
2020-03-22,509,4,110,2
2020-03-23,698,6,189,2
2020-03-24,946,8,248,2
2020-03-25,1260,15,314,7
2020-03-26,1795,18,535,3
2020-03-27,2345,22,550,4
2020-03-28,2845,34,500,12
2020-03-29,3432,41,587,7
2020-03-30,4155,50,723,9
2020-03-31,4963,63,808,13
2020-04-01,6009,74,1046,11
2020-04-02,7268,90,1259,16
2020-04-03,8570,102,1302,12
2020-04-04,10444,136,1874,34
2020-04-05,11589,151,1145,15
2020-04-06,13127,179,1538,28
2020-04-07,14853,247,1726,68
2020-04-08,16631,318,1778,71
2020-04-09,18300,345,1669,27
2020-04-10,20051,418,1751,73
2020-04-11,21719,503,1668,85
2020-04-12,22938,557,1219,54
2020-04-13,24292,589,1354,32
2020-04-14,25465,691,1173,102
2020-04-15,26753,779,1288,88
2020-04-16,28258,841,1505,62
2020-04-17,29888,921,1630,80
2020-04-18,31652,1042,1764,121
2020-04-19,32902,1276,1250,234
