"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,394,7,7,1,47,0
2020-04-14,399,7,5,0,50,3
2020-04-15,404,7,5,0,51,1
2020-04-16,415,7,11,0,52,1
2020-04-17,422,8,7,1,54,2
2020-04-18,426,10,4,2,55,1
2020-04-19,433,10,7,0,55,0
2020-04-20,433,10,0,0,57,2
2020-04-21,437,12,4,2,59,2
2020-04-22,439,14,2,2,59,0
2020-04-23,442,14,3,0,59,0
2020-04-24,444,14,2,0,59,0
2020-04-25,445,14,1,0,61,2
2020-04-26,448,14,3,0,61,0
2020-04-27,449,14,1,0,61,0
2020-04-28,451,15,2,1,61,0
2020-04-29,451,16,0,1,61,0
2020-04-30,453,16,2,0,61,0
2020-05-01,453,16,0,0,61,0
2020-05-02,455,16,2,0,61,0
2020-05-03,455,16,0,0,61,0
2020-05-04,457,16,2,0,62,1
2020-05-05,456,16,-1,0,62,0
2020-05-06,456,16,0,0,62,0
2020-05-07,456,16,0,0,62,0
2020-05-08,458,16,2,0,62,0
2020-05-09,458,16,0,0,62,0
2020-05-10,458,16,0,0,62,0
2020-05-11,459,16,1,0,62,0
2020-05-12,461,16,2,0,63,1
2020-05-13,462,16,1,0,63,0
2020-05-14,462,16,0,0,63,0
2020-05-15,466,16,4,0,63,0
2020-05-16,468,16,2,0,63,0
2020-05-17,468,16,0,0,63,0
2020-05-18,470,16,2,0,64,1
2020-05-19,471,16,1,0,65,1
2020-05-20,478,16,7,0,65,0
2020-05-21,479,16,1,0,65,0
2020-05-22,479,16,0,0,65,0
2020-05-23,479,16,0,0,65,0
2020-05-24,479,16,0,0,65,0
2020-05-25,479,16,0,0,65,0
2020-05-26,479,17,0,1,65,0
2020-05-27,481,17,2,0,66,1
2020-05-28,485,17,4,0,66,0
2020-05-29,493,17,8,0,67,1
2020-05-30,505,17,12,0,67,0
2020-05-31,515,17,10,0,67,0
2020-06-01,519,17,4,0,67,0
2020-06-02,523,17,4,0,67,0
2020-06-03,525,17,2,0,68,1
2020-06-04,539,17,14,0,68,0
2020-06-05,541,18,2,1,68,0
2020-06-06,540,18,-1,0,68,0
2020-06-07,545,18,5,0,69,1
2020-06-08,548,18,3,0,69,0
2020-06-09,554,18,6,0,72,3
2020-06-10,561,18,7,0,74,2
2020-06-11,563,18,2,0,74,0
2020-06-12,573,18,10,0,77,3
2020-06-13,588,18,15,0,77,0
2020-06-14,601,19,13,1,77,0
2020-06-15,609,19,8,0,78,1
2020-06-16,614,19,5,0,79,1
2020-06-17,630,20,16,1,78,-1
2020-06-18,655,20,25,0,81,3
2020-06-19,666,20,11,0,82,1
2020-06-20,698,20,32,0,85,3
2020-06-21,717,20,19,0,89,4
2020-06-22,734,21,17,1,90,1
2020-06-23,743,21,9,0,91,1
2020-06-24,766,21,23,0,93,2
2020-06-25,803,21,37,0,93,0
2020-06-26,829,22,26,1,95,2
2020-06-27,852,22,23,0,95,0
2020-06-28,863,22,11,0,97,2
2020-06-29,919,22,56,0,100,3
2020-06-30,967,22,48,0,101,1
2020-07-01,1016,22,49,0,105,4
2020-07-02,1083,22,67,0,106,1
2020-07-03,1128,23,45,1,109,3
2020-07-04,1167,23,39,0,112,3
2020-07-05,1212,23,45,0,112,0
2020-07-06,1249,23,37,0,112,0
2020-07-07,1327,23,78,0,117,5
2020-07-08,1371,23,44,0,117,0
2020-07-09,1466,25,95,2,120,3
2020-07-10,1593,28,127,3,123,3
2020-07-11,1677,29,84,1,127,4
2020-07-12,1758,29,81,0,128,1
2020-07-13,1843,32,85,3,133,5
2020-07-14,1952,34,109,2,136,3
2020-07-15,2096,34,144,0,145,9
2020-07-16,2231,35,135,1,150,5
2020-07-17,2366,37,135,2,159,9
2020-07-18,2471,37,105,0,164,5
2020-07-19,2533,37,62,0,165,1
2020-07-20,2620,39,87,2,167,2
2020-07-21,2711,40,91,1,174,7
2020-07-22,2812,42,101,2,179,5
2020-07-23,2909,43,97,1,183,4
2020-07-24,3038,46,129,3,191,8
2020-07-25,3259,46,221,0,195,4
2020-07-26,3341,46,82,0,199,4
2020-07-27,3380,47,39,1,201,2
2020-07-28,3474,51,94,4,205,4
2020-07-29,3676,54,202,3,211,6
2020-07-30,3814,55,138,1,221,10
2020-07-31,3965,60,151,5,230,9
2020-08-01,4081,61,116,1,230,0
2020-08-02,4193,61,112,0,233,3
2020-08-03,4233,64,40,3,236,3
2020-08-04,4314,64,81,0,238,2
2020-08-05,4429,65,115,1,248,10
2020-08-06,4602,65,173,0,259,11
2020-08-07,4757,70,155,5,264,5
2020-08-08,4889,75,132,5,268,4
2020-08-09,4952,75,63,0,272,4
2020-08-10,5017,75,65,0,273,1
2020-08-11,5104,77,87,2,276,3
2020-08-12,5268,80,164,3,301,25
2020-08-13,5407,81,139,1,315,14
2020-08-14,5541,81,134,0,319,4
2020-08-15,5659,82,118,1,324,5
2020-08-16,5750,82,91,0,326,2
2020-08-17,5792,82,42,0,330,4
2020-08-18,5846,84,54,2,339,9
2020-08-19,5956,84,110,0,348,9
2020-08-20,6072,89,116,5,357,9
2020-08-21,6216,89,144,0,363,6
2020-08-22,6376,90,160,1,378,15
2020-08-23,6429,90,53,0,379,1
2020-08-24,6489,91,60,1,383,4
2020-08-25,6624,97,135,6,394,11
2020-08-26,6785,98,161,1,402,8
2020-08-27,6929,98,144,0,412,10
2020-08-28,7063,100,134,2,0,0
2020-08-29,7251,104,188,4,0,0
2020-08-30,7340,104,89,0,0,0
2020-08-31,7421,104,81,0,0,0
2020-09-01,7509,105,88,1,0,0
2020-09-02,7691,109,182,4,0,0
2020-09-03,7871,111,180,2,0,0
2020-09-04,8019,114,148,3,0,0
2020-09-05,8164,116,145,2,0,0
2020-09-06,8264,117,100,1,0,0
2020-09-07,8316,118,52,1,0,0
2020-09-08,8381,119,65,1,0,0
