"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-04,2,0,0,0,0,0,0
2020-03-05,2,0,0,0,0,0,0
2020-03-06,2,0,0,0,0,0,0
2020-03-07,2,0,0,0,0,0,0
2020-03-08,4,0,2,0,0,0,0
2020-03-09,4,0,0,0,0,0,0
2020-03-10,4,0,0,0,0,0,0
2020-03-11,4,0,0,0,0,0,0
2020-03-12,6,0,2,0,0,0,0
2020-03-13,6,0,0,0,0,0,0
2020-03-14,7,0,1,0,0,0,0
2020-03-15,13,0,6,0,0,0,0
2020-03-16,13,0,0,0,0,0,0
2020-03-17,17,0,4,0,0,0,0
2020-03-18,26,0,9,0,0,0,0
2020-03-19,39,0,13,0,0,0,0
2020-03-20,44,0,5,0,0,0,0
2020-03-21,55,0,11,0,0,0,0
2020-03-22,65,0,10,0,0,0,0
2020-03-23,78,0,13,0,0,0,0
2020-03-24,101,1,23,1,11,11,0
2020-03-25,108,1,7,0,13,2,0
2020-03-26,137,1,29,0,19,6,0
2020-03-27,158,1,21,0,25,6,0
2020-03-28,187,2,29,1,30,5,0
2020-03-29,214,2,27,0,33,3,0
2020-03-30,314,3,100,1,45,12,0
2020-03-31,314,3,0,0,45,0,0
2020-04-01,415,4,101,1,56,11,0
2020-04-02,415,4,0,0,58,2,0
2020-04-03,479,5,64,1,73,15,0
2020-04-04,540,7,61,2,80,7,0
2020-04-05,621,9,81,2,86,6,0
2020-04-06,669,9,48,0,92,6,0
2020-04-07,715,9,46,0,103,11,0
2020-04-08,788,18,73,9,118,15,0
2020-04-09,788,18,0,0,118,0,0
2020-04-10,819,21,31,3,124,6,0
2020-04-11,885,22,66,1,134,10,0
2020-04-12,929,23,44,1,146,12,0
2020-04-13,985,23,56,0,152,6,0
2020-04-14,1020,23,35,0,152,0,72
2020-04-15,1139,32,119,9,178,26,70
2020-04-16,1139,32,0,0,178,0,70
2020-04-17,1287,37,148,5,190,12,74
2020-04-18,1287,37,0,0,190,0,86
2020-04-19,1342,38,55,1,192,2,85
2020-04-20,1392,41,50,3,198,6,79
2020-04-21,1491,42,99,1,206,8,78
2020-04-22,1491,42,0,0,206,0,94
2020-04-23,1588,48,97,6,213,7,91
2020-04-24,1670,51,82,3,218,5,92
2020-04-25,1720,53,50,2,224,6,89
2020-04-26,1787,60,67,7,238,14,95
