1217,2601,3913,5201,6452,7684,8904,10133,11418,12764,14185,15675,17202,18701,20102,21350,22436,23371,24186,24922,25612,26263,26877,27454,27998,28510,28992,29448,29879,30300,30693
1400,2859,4278,5681,7074,8452,9839,11232,12676,14130,15610,17096,18591,20015,21378,22634,23776,24801,25742,26603,27411,28174,28891,29567,30203,30800,31359,31887,32384,32871,33326
1532,3101,4629,6160,7672,9153,10644,12119,13590,15066,16571,18070,19562,21038,22466,23827,25106,26286,27375,28374,29289,30164,31036,31892,32764,33619,34413,35132,35782,36373,36895
1686,3371,5048,6702,8338,9945,11526,13100,14676,16254,17840,19428,21001,22569,24097,25572,27013,28430,29790,31126,32450,33740,34967,36169,37342,38469,39528,40542,41462,42344,43093
1765,3553,5294,7032,8751,10443,12128,13801,15461,17116,18771,20424,22091,23768,25418,27061,28694,30281,31836,33392,34931,36418,37881,39297,40632,41866,43026,44105,45144,46145,47187
1837,3668,5469,7263,9043,10805,12570,14321,16071,17814,19560,21292,23032,24765,26488,28198,29874,31532,33164,34774,36341,37901,39407,40857,42249,43601,44875,46114,47308,48483,49610
1897,3762,5605,7447,9280,11100,12932,14755,16570,18384,20194,21983,23764,25544,27303,29048,30766,32474,34175,35898,37646,39422,41202,42951,44641,46258,47805,49317,50750,52186,53492
1923,3835,5718,7608,9493,11372,13260,15150,17024,18888,20739,22571,24383,26202,28009,29814,31605,33401,35226,37094,38994,40965,42980,44938,46896,48877,50859,52920,55108,57323,59688
1946,3899,5827,7759,9685,11603,13523,15443,17349,19250,21149,23036,24905,26782,28682,30604,32572,34598,36656,38703,40751,42804,44865,46949,49070,51212,53355,55472,57640,59777,62079
1964,3937,5894,7856,9816,11772,13730,15691,17645,19589,21529,23472,25424,27395,29409,31464,33569,35677,37810,39933,42048,44131,46251,48368,50495,52658,54875,57108,59417,61748,64188
1975,3968,5959,7957,9960,11959,13962,15962,17962,19966,21981,24005,26054,28119,30198,32295,34418,36534,38665,40799,42939,45092,47286,49487,51744,54062,56440,58896,61480,64082,66870
1985,3989,6003,8020,10047,12080,14120,16162,18210,20263,22320,24384,26462,28557,30669,32809,34978,37164,39360,41566,43798,46082,48443,50876,53447,56161,58992,61980,65117,68294,71621
1994,4012,6041,8074,10117,12166,14227,16295,18372,20463,22562,24665,26789,28935,31095,33298,35581,37908,40269,42688,45147,47671,50290,53043,55929,58943,62004,65127,68395,71607,75183
2008,4045,6094,8145,10210,12283,14370,16464,18572,20690,22821,24966,27132,29360,31679,34098,36629,39290,42017,44735,47439,50184,52920,55684,58523,61485,64486,67547,70821,74078,77768
2020,4085,6164,8247,10346,12452,14571,16705,18852,21014,23214,25456,27768,30180,32708,35316,38006,40742,43517,46287,49106,52000,54959,57936,60971,64047,67147,70273,73582,76887,80534
2034,4116,6224,8341,10483,12638,14817,17023,19261,21527,23847,26217,28648,31153,33746,36399,39120,41892,44722,47605,50574,53664,56821,60004,63215,66440,69649,72931,76412,79886,83801
2057,4155,6284,8422,10592,12784,15011,17270,19561,21885,24262,26693,29183,31765,34437,37167,39982,42891,45886,48971,52170,55471,58801,62134,65496,68885,72255,75732,79279,82829,86486
2122,4223,6371,8530,10728,12953,15217,17516,19856,22235,24678,27184,29756,32430,35207,38055,41002,44108,47319,50670,54157,57740,61253,64762,68305,71867,75483,79352,83265,87238,91156
2207,4357,6573,8818,11123,13452,15822,18235,20680,23165,25723,28403,31146,33981,36896,39875,42913,46184,49625,53320,57252,61403,65514,69671,73816,78035,82158,86433,90520,94643,98259
2369,4538,6812,9121,11518,13968,16510,19140,21825,24572,27416,30348,33311,36370,39513,42666,45911,49373,53029,56928,61151,65572,70054,74599,79226,83877,88561,93429,98262,1.0313e+05,1.078e+05
2576,4855,7260,9712,12291,14960,17753,20634,23547,26474,29440,32435,35426,38540,41764,45063,48530,52272,56290,60630,65430,70480,75919,81460,86996,92192,97346,1.019e+05,1.0658e+05,1.1108e+05,1.1618e+05
2665,5075,7596,10161,12857,15635,18567,21552,24656,27771,30903,34014,37261,40495,43867,47531,51515,55637,60188,65155,70179,75416,81053,86757,92335,97975,1.0353e+05,1.0867e+05,1.1408e+05,1.1934e+05,1.2552e+05
2804,5373,8107,10846,13696,16661,19666,22697,25856,29030,32229,35542,39027,42582,46503,50752,55338,60258,65513,70904,76265,81725,87269,92849,98309,1.0399e+05,1.0962e+05,1.1505e+05,1.205e+05,1.2598e+05,1.3147e+05
