0,767,1729,2743,3847,4986,6180,7433,8728,10234,11968,13930,16010,18127,20062,21720,23095,24250,25232,26138,26986,27777,28546,29297,30030,30769,31517,32207,32836,33457,33940
61,1087,2301,3535,4860,6365,7992,9764,11630,13640,15573,17473,19228,20902,22403,23804,25068,26274,27378,28400,29349,30249,31086,31924,32782,33670,34586,35535,36405,37286,37995
485,1668,3001,4397,5934,7676,9525,11471,13454,15428,17294,19119,20859,22531,24126,25663,27091,28468,29783,31025,32222,33405,34533,35614,36668,37687,38656,39595,40501,41391,42249
994,2420,4045,5717,7528,9456,11432,13404,15338,17191,18960,20678,22335,23965,25570,27151,28690,30224,31716,33174,34606,36017,37400,38754,40074,41339,42544,43684,44762,45812,46803
1419,3072,4846,6643,8508,10439,12357,14250,16091,17863,19581,21274,22947,24612,26279,27920,29531,31116,32658,34140,35584,36999,38373,39727,41066,42377,43655,44901,46106,47293,48435
1685,3471,5307,7151,9024,10902,12763,14612,16425,18200,19954,21696,23420,25139,26849,28529,30175,31796,33370,34906,36426,37940,39438,40933,42418,43874,45284,46654,47967,49258,50478
1898,3746,5596,7449,9302,11160,13020,14876,16726,18571,20408,22240,24071,25910,27735,29545,31317,33040,34714,36364,38023,39715,41461,43224,45017,46768,48448,50066,51591,53069,54411
1925,3798,5673,7551,9435,11330,13236,15149,17065,18981,20898,22816,24743,26716,28714,30736,32760,34802,36782,38719,40597,42474,44296,46146,48054,50036,52008,54027,55959,57880,59574
1947,3843,5749,7660,9588,11534,13497,15484,17490,19538,21641,23797,26007,28294,30601,32903,35278,37668,40043,42478,44946,47334,49795,52328,54815,57387,60020,62542,64974,67437,69675
1970,3897,5854,7824,9832,11876,13952,16065,18234,20446,22723,25031,27419,29885,32469,35135,37975,40866,43752,46560,49342,52031,54779,57610,60563,63617,66794,69912,73062,76217,79341
2034,4000,6024,8074,10170,12303,14485,16699,18986,21359,23849,26418,29108,31846,34625,37421,40281,43128,45993,48867,51752,54636,57561,60526,63538,66587,69684,72802,76021,79233,82648
2078,4119,6237,8374,10557,12784,15068,17404,19800,22275,24826,27415,30050,32723,35420,38144,40923,43735,46582,49465,52375,55315,58293,61307,64349,67432,70570,73744,77037,80343,83872
2106,4234,6420,8620,10864,13151,15481,17853,20274,22740,25259,27821,30435,33098,35811,38565,41369,44222,47109,50032,52991,55983,58982,62017,65072,68166,71342,74592,78033,81501,85341
2124,4280,6495,8722,10992,13301,15654,18050,20493,22985,25536,28137,30805,33560,36395,39290,42286,45362,48430,51549,54665,57761,60781,63842,66854,70086,73558,77395,81781,86345,91823
2144,4321,6569,8829,11137,13484,15872,18311,20797,23363,26047,28845,31777,34869,38054,41239,44483,47760,51020,54311,57718,61161,64535,67960,71464,75112,78971,83236,87860,92621,97887
2171,4379,6674,8984,11345,13751,16222,18760,21381,24127,27026,30039,33213,36527,39900,43249,46616,49970,53338,56768,60357,64113,67894,71769,75778,79948,84224,88794,93573,98414,1.0350e+05
2227,4474,6834,9234,11724,14289,16941,19650,22451,25356,28432,31668,35109,38661,42249,45795,49338,52862,56423,60065,63895,67967,72090,76372,80918,85582,90241,95188,1.0057e+05,1.058e+05,1.1212e+05
2544,4785,7217,9706,12336,15055,17890,20768,23771,26891,30205,33666,37316,40988,44722,48414,52217,56023,59963,64010,68246,72537,76999,81629,86315,91065,95961,1.0094e+05,1.0647e+05,1.1197e+05,1.189e+05
2798,5278,7915,10600,13410,16300,19302,22355,25510,28846,32362,36055,39891,43828,47715,51579,55464,59499,63646,68039,72605,77284,82024,86903,91707,96703,1.019e+05,1.0719e+05,1.1275e+05,1.1846e+05,1.2458e+05
3149,5927,8797,11723,14721,17771,20911,24115,27414,30958,34752,38687,42824,47069,51180,55273,59499,63780,68155,72833,77561,82390,87408,92693,98066,1.0384e+05,1.0981e+05,1.1581e+05,1.2193e+05,1.281e+05,1.3442e+05
3809,6841,9972,13143,16376,19706,23082,26517,30116,33978,38016,42413,47049,51737,56411,61105,65659,70300,75033,79807,84871,90254,95830,1.0169e+05,1.079e+05,1.1402e+05,1.2003e+05,1.2587e+05,1.3156e+05,1.3703e+05,1.4254e+05
4452,7471,10735,14078,17560,21169,24885,28728,32655,36858,41334,46091,50991,56073,61150,66054,70898,75841,80799,85766,91272,96987,1.0281e+05,1.0886e+05,1.1504e+05,1.2092e+05,1.2681e+05,1.3266e+05,1.3855e+05,1.4447e+05,1.5070e+05
4682,8012,11558,15182,19099,23195,27604,32146,36799,41478,46322,51235,56252,61497,66662,71759,76634,81703,86723,92018,97697,1.0375e+05,1.0976e+05,1.1591e+05,1.22e+05,1.2815e+05,1.3447e+05,1.4097e+05,1.4765e+05,1.5462e+05,1.6156e+05
