75,192,313,432,549,662,769,870,963,1048,1124,1193,1257,1315,1369,1420,1467,1510,1549,1584,1615,1644,1671,1696,1719,1740,1759,1778,1794,1811,1826
90,224,351,477,596,711,819,922,1016,1105,1186,1260,1329,1394,1456,1517,1573,1624,1671,1713,1750,1784,1815,1844,1870,1895,1917,1938,1957,1975,1992
111,251,383,513,636,754,866,971,1069,1161,1245,1322,1393,1459,1521,1580,1634,1685,1731,1774,1814,1850,1884,1915,1945,1972,1997,2020,2043,2064,2085
136,278,413,547,674,797,913,1025,1131,1233,1330,1423,1510,1591,1668,1739,1805,1867,1924,1977,2026,2072,2115,2154,2192,2227,2260,2291,2320,2348,2375
150,295,433,571,704,834,961,1083,1202,1316,1426,1531,1631,1727,1817,1903,1986,2065,2142,2217,2287,2352,2412,2468,2520,2568,2615,2659,2701,2742,2781
159,309,455,599,740,876,1008,1135,1259,1381,1502,1621,1739,1856,1971,2087,2202,2317,2432,2543,2648,2748,2840,2925,3003,3076,3145,3208,3270,3330,3387
164,319,471,621,767,910,1049,1184,1318,1451,1586,1723,1862,2000,2138,2274,2411,2548,2688,2830,2972,3107,3242,3370,3500,3633,3769,3912,4050,4189,4303
169,328,485,640,794,944,1092,1237,1382,1526,1672,1818,1966,2114,2261,2410,2564,2725,2899,3087,3286,3490,3692,3889,4079,4260,4432,4603,4763,4920,5061
172,337,499,660,820,979,1136,1290,1445,1598,1748,1900,2055,2212,2370,2536,2708,2887,3078,3284,3499,3724,3957,4187,4416,4648,4880,5108,5344,5579,5820
178,347,516,683,849,1014,1177,1337,1498,1659,1819,1982,2148,2316,2489,2669,2854,3048,3253,3466,3690,3926,4170,4418,4676,4941,5214,5495,5800,6104,6449
182,358,533,707,879,1049,1219,1387,1557,1728,1900,2074,2249,2428,2610,2801,2997,3205,3421,3648,3885,4133,4391,4657,4931,5215,5513,5823,6146,6478,6818
186,367,548,729,909,1088,1268,1446,1625,1803,1982,2164,2349,2538,2735,2938,3148,3366,3594,3831,4080,4340,4615,4898,5188,5482,5784,6088,6402,6719,7055
190,378,564,751,937,1122,1306,1489,1671,1855,2042,2236,2437,2649,2868,3092,3318,3545,3773,4006,4251,4507,4782,5069,5366,5664,5964,6261,6568,6871,7201
196,389,582,774,967,1160,1353,1546,1739,1934,2133,2336,2547,2766,2990,3217,3447,3679,3916,4158,4411,4673,4947,5224,5505,5789,6079,6373,6683,6995,7332
199,398,595,793,991,1190,1390,1592,1795,1999,2207,2421,2641,2865,3096,3329,3563,3796,4032,4272,4519,4775,5043,5319,5605,5902,6213,6537,6886,7240,7636
202,403,606,808,1012,1217,1424,1631,1840,2050,2264,2481,2703,2929,3160,3391,3624,3857,4094,4335,4586,4848,5123,5407,5708,6024,6364,6733,7145,7566,8050
205,409,614,818,1024,1232,1441,1651,1864,2078,2296,2516,2739,2966,3196,3427,3661,3896,4138,4389,4654,4935,5236,5552,5886,6246,6630,7047,7487,7944,8411
209,416,623,831,1039,1249,1460,1674,1890,2108,2331,2555,2784,3016,3252,3490,3729,3970,4222,4488,4773,5075,5401,5737,6088,6465,6880,7338,7849,8386,8985
220,432,645,858,1072,1286,1501,1717,1934,2153,2378,2610,2848,3095,3345,3596,3845,4095,4355,4636,4936,5265,5622,6001,6395,6828,7289,7785,8310,8855,9416
233,454,676,897,1120,1343,1567,1792,2021,2251,2491,2742,3004,3280,3565,3851,4138,4428,4725,5032,5354,5705,6077,6467,6892,7353,7832,8345,8891,9438,10022
255,486,720,954,1192,1434,1677,1923,2171,2425,2685,2957,3238,3536,3844,4164,4490,4834,5185,5538,5907,6291,6697,7132,7612,8121,8665,9218,9768,10324,10837
277,523,774,1022,1277,1533,1787,2048,2312,2576,2854,3149,3452,3775,4115,4464,4820,5201,5591,5996,6423,6901,7413,7967,8551,9165,9773,10373,11037,11678,12495
291,549,808,1070,1340,1623,1919,2231,2565,2915,3287,3683,4101,4540,5002,5486,5992,6519,7069,7641,8235,8851,9489,10148,10829,11529,12250,12987,13741,14502,15281
