278,1205,2009,2843,3706,4620,5624,6766,7972,9137,10265,11310,12235,13066,13874,14633,15381,16082,16738,17320,17837,18275,18672,19028,19361,19672,19962,20235,20491,20741,20971
639,1608,2518,3479,4463,5506,6646,7840,9029,10193,11288,12284,13218,14129,15040,15970,16933,17864,18748,19553,20255,20850,21378,21845,22272,22672,23048,23404,23741,24070,24382
733,1875,3019,4195,5396,6583,7799,8997,10143,11247,12323,13371,14393,15423,16444,17462,18447,19381,20254,21063,21806,22486,23135,23743,24321,24847,25329,25766,26168,26544,26902
956,2217,3502,4790,6082,7371,8632,9870,11065,12227,13384,14541,15689,16829,17959,19034,20054,21021,21937,22782,23582,24331,25045,25725,26393,27039,27673,28271,28832,29380,29861
1099,2460,3811,5151,6475,7791,9081,10355,11619,12863,14091,15307,16490,17651,18798,19917,21017,22099,23144,24138,25079,25959,26814,27658,28497,29336,30170,30947,31654,32346,32903
1253,2632,4012,5385,6749,8100,9429,10736,12022,13293,14559,15827,17092,18376,19668,20934,22194,23427,24580,25683,26767,27787,28802,29873,30930,31982,33045,34055,34981,35910,36720
1367,2774,4179,5573,6957,8326,9672,11008,12333,13663,14998,16361,17726,19130,20520,21910,23271,24620,25889,27131,28340,29516,30663,31832,32999,34138,35259,36344,37362,38359,39263
1393,2823,4247,5666,7077,8480,9873,11261,12657,14063,15496,16952,18426,19904,21373,22808,24214,25594,26934,28240,29534,30812,32057,33287,34507,35687,36828,37956,39074,40168,41292
1407,2851,4301,5751,7201,8655,10107,11558,13020,14497,15980,17480,18990,20494,21996,23489,24984,26471,27947,29394,30813,32164,33507,34858,36224,37644,39162,40694,42262,43870,45459
1434,2890,4372,5853,7350,8858,10373,11891,13415,14941,16465,17995,19549,21126,22732,24367,26014,27636,29254,30839,32381,33899,35448,37011,38640,40346,42129,43942,45704,47499,49064
1461,2923,4417,5917,7440,8983,10540,12100,13674,15256,16853,18475,20129,21803,23497,25199,26897,28601,30305,32019,33749,35499,37304,39247,41335,43572,45969,48454,50805,53223,55190
1481,2963,4471,5986,7525,9092,10673,12280,13914,15566,17238,18959,20686,22436,24209,25996,27790,29659,31539,33480,35481,37542,39694,42043,44562,47277,50221,53269,56387,59567,62711
1498,3011,4537,6068,7618,9192,10794,12434,14119,15852,17622,19420,21250,23107,24976,26883,28850,30878,32991,35212,37491,39838,42315,44889,47566,50434,53476,56550,59690,62894,66001
1517,3053,4601,6151,7717,9302,10911,12556,14250,15990,17778,19628,21526,23472,25467,27510,29610,31778,34017,36329,38715,41160,43685,46271,48947,51734,54637,57617,60683,63791,66926
1537,3091,4665,6241,7834,9441,11066,12720,14418,16163,17964,19833,21760,23738,25769,27842,29974,32173,34445,36790,39226,41722,44291,46927,49676,52562,55694,59060,62881,66782,71445
1554,3143,4751,6364,7997,9657,11339,13052,14800,16587,18410,20288,22206,24176,26190,28245,30376,32599,34933,37406,39997,42714,45588,48596,51726,55145,58822,62715,67006,71412,76382
1622,3263,4923,6583,8265,9968,11694,13452,15241,17059,18921,20866,22886,24970,27148,29407,31721,34123,36666,39337,42157,45157,48285,51560,55018,58685,62517,66640,70874,75206,79553
1668,3363,5085,6812,8557,10319,12102,13913,15763,17668,19622,21687,23835,26082,28435,30897,33397,35994,38694,41523,44508,47698,51093,54645,58385,62324,66434,70767,75169,79682,84048
1729,3464,5236,7016,8826,10673,12551,14466,16410,18413,20472,22634,24898,27323,29882,32544,35280,38100,40973,43955,47057,50355,53902,57672,61618,65830,70269,74866,79741,84710,90058
1871,3667,5547,7412,9312,11278,13275,15305,17414,19606,21828,24139,26574,29175,31934,34803,37804,40921,44022,47140,50370,53710,57239,61067,65306,69994,75110,80652,86469,92435,98470
2179,4021,6028,8042,10166,12362,14628,16970,19382,21878,24426,27126,29941,32887,35943,39083,42178,45303,48482,51744,55174,58793,62661,66790,71280,76154,81577,87540,93783,1.0032e+05,1.0679e+05
2351,4333,6413,8519,10734,13020,15448,18000,20685,23490,26450,29531,32769,36054,39415,42642,45785,48945,52296,55765,59610,63751,68108,72697,77531,82776,88532,94619,1.0117e+05,1.0799e+05,1.1518e+05
2512,4648,6842,9045,11365,13758,16261,18905,21742,24653,27801,31143,34688,38367,42220,46133,50154,54381,58933,63835,69139,74856,80911,87179,93806,1.0081e+05,1.0826e+05,1.1611e+05,1.2464e+05,1.333e+05,1.4284e+05
