0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,2,4,5,5,6,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
0,1,3,4,6,7,8,9,10,11,12,12,13,13,14,14,14,15,15,15,16,16,16,16,16,16,16,17,17,17,17
0,2,4,6,7,9,10,12,13,14,15,16,17,18,19,19,20,21,21,21,22,22,22,22,23,23,23,23,23,23,24
1,3,5,7,9,10,12,14,15,17,18,19,20,21,22,23,24,24,25,25,26,26,27,27,28,28,28,29,29,29,30
1,3,5,8,10,12,14,16,17,19,21,22,23,24,26,27,28,29,29,30,31,32,32,33,33,34,34,34,35,35,36
2,4,6,8,11,13,15,17,19,21,22,24,25,27,28,30,31,33,34,35,36,37,38,39,40,40,41,41,42,42,43
2,4,7,9,12,14,16,19,21,23,25,27,29,31,32,34,36,38,40,42,44,45,47,48,49,50,51,52,53,54,55
2,5,7,10,12,15,17,20,23,25,28,31,33,36,38,41,44,47,51,55,59,62,66,69,72,75,78,81,84,87,89
3,5,8,11,13,16,19,22,25,28,31,35,38,42,45,49,53,58,62,67,73,80,88,96,106,117,130,144,160,177,196
3,6,9,11,14,17,20,24,27,31,35,39,43,47,51,56,61,66,73,80,88,97,107,117,128,141,157,175,196,218,242
3,6,9,12,15,19,22,25,29,33,38,42,47,52,57,63,69,76,84,92,100,110,120,131,144,159,176,197,220,245,274
3,7,10,13,16,20,23,27,31,36,40,45,50,56,62,68,76,83,92,100,110,120,131,144,159,176,196,220,247,276,309
4,7,11,14,18,21,25,29,33,38,43,48,54,60,66,73,81,90,99,108,119,130,143,158,174,193,214,239,266,294,326
4,8,12,15,19,23,27,31,36,40,45,51,57,64,71,79,87,96,105,115,127,139,154,170,188,209,233,260,293,327,369
4,8,12,17,21,25,29,33,38,43,49,54,61,68,76,84,93,103,113,125,137,151,167,185,205,228,255,285,323,361,412
5,9,14,18,22,27,31,36,41,46,52,58,66,73,82,91,101,112,123,136,149,165,182,202,224,250,279,312,352,393,445
6,10,15,19,24,29,34,39,44,50,56,63,71,79,88,98,109,120,133,147,162,179,199,221,246,274,306,342,384,426,478
7,12,16,21,26,31,37,42,48,55,62,70,79,88,98,109,121,133,146,161,178,197,220,245,274,305,342,382,429,478,540
9,14,19,24,30,35,41,48,56,63,72,82,92,103,116,129,143,158,174,191,210,230,253,280,311,348,391,439,498,558,635
11,16,22,27,33,39,46,53,62,71,81,92,104,117,131,147,164,182,203,226,252,280,312,348,387,431,481,535,593,654,719
12,18,24,30,36,43,50,58,68,80,93,108,125,144,166,190,218,249,283,323,367,417,473,536,607,687,776,873,981,1092,1217
