9,23,35,47,58,68,78,87,96,104,111,117,122,126,129,132,135,137,139,141,143,144,145,146,147,147,148,149,149,149,150
11,28,43,57,70,81,92,101,109,116,123,128,133,138,142,145,149,152,155,157,159,161,163,164,166,167,168,170,171,171,172
15,33,48,64,78,93,106,119,131,142,151,159,165,171,176,181,185,188,192,195,198,201,204,206,208,211,213,214,216,218,219
19,39,57,76,94,111,128,144,160,175,188,201,212,223,233,243,252,260,268,275,281,287,293,299,304,308,313,317,321,325,329
22,43,64,84,103,122,141,159,177,194,212,230,247,264,281,296,309,321,331,341,350,358,366,374,382,389,395,402,408,414,419
23,46,67,89,110,131,151,172,193,214,234,255,276,297,318,338,358,376,393,409,424,438,451,464,476,488,498,509,518,528,537
24,48,71,95,117,140,162,184,207,229,252,274,298,321,344,367,390,410,430,449,467,485,502,520,536,552,567,581,594,606,619
25,50,75,99,124,147,171,194,218,242,266,291,317,344,371,399,427,455,482,509,534,558,581,603,623,643,663,682,700,718,734
26,52,78,103,128,153,178,203,228,254,281,308,337,367,397,428,459,490,520,551,581,610,639,667,693,719,744,769,793,817,840
28,54,80,106,132,158,185,211,238,266,294,324,354,386,418,452,488,525,565,607,652,698,746,794,843,895,949,1007,1067,1128,1187
29,56,83,110,138,165,192,220,249,278,308,339,371,404,440,479,520,565,613,665,718,776,837,901,972,1050,1130,1217,1303,1390,1473
29,58,86,114,142,170,199,228,258,288,320,353,387,424,463,506,553,603,660,719,783,853,929,1007,1090,1180,1273,1371,1481,1591,1721
30,59,88,117,146,175,205,235,267,299,333,368,406,446,489,535,587,644,707,775,847,923,1003,1087,1182,1286,1398,1522,1654,1787,1927
31,60,90,120,150,180,211,243,276,310,346,383,423,465,512,563,619,682,750,823,900,983,1070,1167,1274,1390,1515,1650,1796,1944,2119
32,62,93,123,154,186,218,252,287,323,361,401,444,489,539,593,653,718,790,866,950,1040,1137,1244,1360,1485,1622,1770,1931,2095,2282
33,64,96,127,159,192,226,261,298,337,378,421,467,515,568,627,691,761,837,920,1009,1104,1206,1321,1445,1583,1735,1900,2077,2259,2455
34,67,100,133,167,201,237,275,314,355,397,441,488,538,594,657,727,804,888,978,1072,1172,1280,1397,1528,1676,1842,2026,2231,2442,2676
35,69,104,138,174,210,248,287,328,371,416,464,515,569,630,696,770,852,942,1037,1138,1247,1364,1492,1636,1801,1983,2186,2406,2631,2871
38,73,109,146,183,221,260,301,344,390,440,495,554,617,685,758,838,925,1018,1116,1221,1334,1458,1598,1759,1943,2147,2372,2614,2862,3130
40,78,117,156,197,238,282,327,374,423,478,536,601,670,747,830,919,1015,1116,1223,1337,1461,1593,1744,1913,2109,2328,2578,2848,3130,3435
42,84,130,175,223,272,323,377,433,493,560,634,718,811,911,1018,1132,1250,1377,1516,1669,1832,2012,2203,2408,2627,2869,3126,3401,3685,3979
47,91,139,188,241,298,361,431,509,596,695,804,924,1056,1202,1359,1532,1722,1930,2159,2411,2690,2997,3336,3709,4116,4559,5034,5544,6066,6633
52,97,149,205,267,337,416,504,603,713,835,970,1118,1283,1464,1666,1888,2133,2405,2708,3047,3429,3861,4348,4897,5512,6201,6957,7792,8651,9615
