0,0,0,1,3,5,8,10,12,14,15,16,17,17,18,18,19,19,20,20,20,21,21,21,22,22,22,22,22,23,23
0,1,2,4,6,8,11,12,14,15,16,17,18,18,19,20,20,21,21,22,22,22,23,23,23,24,24,24,24,25,25
0,1,3,5,8,10,12,13,14,15,16,17,18,19,20,20,21,21,22,22,23,23,24,24,24,25,25,25,25,25,26
0,2,5,7,9,11,13,14,16,17,18,19,20,21,22,23,24,25,25,26,27,27,28,28,29,29,29,30,30,31,31
0,2,5,7,10,12,14,16,17,19,20,21,23,24,25,26,27,28,29,29,30,31,32,32,33,33,34,35,35,35,36
0,3,6,8,11,13,15,16,18,20,21,23,24,26,27,28,29,31,32,33,34,34,35,36,37,37,38,39,39,40,40
0,3,6,9,11,13,15,17,19,21,23,24,26,27,29,30,31,33,34,35,36,37,38,39,40,41,42,42,43,44,44
2,5,7,9,12,14,16,18,20,22,24,25,27,29,30,31,33,34,35,36,38,39,40,41,42,43,43,44,45,46,47
2,5,7,10,12,14,16,18,20,22,24,26,28,29,31,33,34,35,37,38,39,40,41,43,43,44,45,46,47,48,49
2,5,7,10,12,15,17,19,21,23,25,27,29,30,32,33,35,36,38,39,40,42,43,44,45,46,47,48,49,50,51
2,5,8,10,13,15,18,20,22,25,27,29,32,34,37,39,41,44,46,48,50,52,54,56,58,60,62,64,65,67,69
2,5,8,11,15,19,23,28,32,37,42,47,53,59,65,73,81,90,100,111,122,134,146,159,172,185,198,210,220,230,239
3,6,10,15,20,26,33,40,48,56,65,74,82,91,100,109,119,130,142,154,166,178,190,203,216,230,245,260,276,293,312
3,7,14,22,30,38,47,56,66,75,85,95,105,115,124,134,144,155,166,178,190,203,216,230,246,262,279,297,319,340,367
3,10,19,28,39,50,61,72,83,94,104,114,123,132,141,151,163,175,187,200,213,227,242,258,275,294,314,336,359,382,405
3,13,25,37,50,62,74,86,97,108,118,127,136,146,156,166,178,191,204,219,234,250,268,287,307,327,348,370,392,415,442
3,18,32,45,59,72,84,97,109,120,131,141,151,161,171,182,194,207,222,239,258,277,297,318,338,357,378,398,419,441,463
8,25,40,56,71,85,98,110,122,134,145,156,167,178,189,201,214,228,244,262,280,300,320,341,362,384,406,430,453,477,497
21,37,53,68,83,98,111,125,137,149,160,172,184,197,210,223,238,253,270,287,306,325,345,367,390,414,439,463,486,510,533
30,48,66,82,98,113,127,141,153,166,179,192,205,219,234,250,266,282,299,316,334,353,374,397,422,449,477,505,532,560,587
44,66,84,102,118,134,149,164,179,193,206,219,233,246,261,278,295,314,334,353,372,393,415,438,464,491,520,550,581,612,643
53,80,102,124,143,160,174,189,201,214,227,241,255,272,288,304,322,342,361,381,403,424,446,469,495,522,552,585,616,648,675
68,95,118,140,160,177,193,207,222,237,254,271,289,306,325,344,362,381,400,417,437,457,478,500,527,556,587,624,661,699,733
