0,1,5,10,17,26,35,43,51,58,64,69,73,77,80,83,85,88,90,92,94,96,98,99,101,102,103,105,106,107,108
0,3,10,17,26,35,44,52,58,64,69,74,78,81,84,88,90,93,96,98,101,103,105,107,108,110,111,113,114,116,117
0,5,15,23,33,42,51,58,64,70,76,81,86,90,94,98,102,106,109,112,115,118,120,123,125,127,130,131,133,135,137
0,9,20,29,39,47,55,62,69,75,81,87,93,98,103,108,112,117,121,125,129,133,136,140,143,146,149,151,154,157,159
0,13,23,33,42,50,58,66,73,80,87,93,99,106,112,117,123,128,133,138,142,147,151,155,159,163,166,170,173,177,180
0,13,24,34,43,52,60,68,76,84,91,98,106,113,120,127,133,140,146,151,157,162,167,172,177,182,186,191,195,199,203
8,18,27,36,46,55,64,73,81,90,99,107,116,124,132,140,148,156,163,170,177,184,191,197,204,210,216,222,228,234,239
9,19,28,38,48,58,67,77,87,96,106,116,127,138,148,159,169,180,190,201,211,221,232,242,252,261,271,280,289,299,308
9,19,29,39,49,59,70,80,90,100,111,121,132,143,154,165,176,187,198,209,221,232,243,255,267,278,290,302,314,326,338
9,19,29,39,50,60,70,80,91,101,112,123,133,144,155,166,177,188,200,211,222,234,246,257,269,281,293,305,317,329,341
10,20,30,40,50,60,71,81,92,102,113,124,135,146,157,168,179,190,202,213,225,237,249,260,272,284,296,309,321,333,346
10,20,30,40,51,61,72,83,94,105,117,128,140,152,164,176,189,202,216,231,245,260,274,288,303,319,336,353,369,385,396
10,20,31,43,54,66,79,92,105,118,132,146,161,177,195,213,232,252,272,291,310,330,350,372,395,420,445,471,495,520,539
10,21,34,47,61,77,93,111,129,147,165,184,203,221,239,257,276,294,313,334,357,381,407,435,462,489,515,538,562,585,610
10,24,41,57,75,94,113,133,152,171,190,210,230,250,269,290,310,331,353,377,401,426,451,477,503,530,557,585,611,637,660
10,29,50,70,91,111,132,153,173,193,214,234,254,276,298,321,345,370,394,417,440,462,485,510,536,565,594,623,651,678,703
11,36,60,83,106,129,152,175,198,220,242,263,284,305,327,350,374,399,423,447,469,493,517,543,571,601,631,660,687,713,737
18,44,70,96,121,146,170,194,218,240,263,284,306,327,350,374,398,424,450,476,501,527,553,580,609,638,668,698,726,754,778
30,58,86,114,140,167,192,217,240,263,286,308,330,354,378,404,431,458,485,512,539,565,593,622,653,685,718,751,784,816,846
46,75,103,131,160,187,215,242,269,294,319,343,367,391,416,441,467,494,521,549,578,609,640,671,704,737,770,804,836,868,892
65,96,126,156,187,217,247,278,307,333,359,384,408,433,460,489,519,549,578,607,636,664,693,723,756,789,824,860,896,932,969
83,117,150,183,216,250,283,315,345,372,397,423,447,471,497,525,552,581,610,640,670,701,732,766,800,835,872,912,955,998,1052
94,133,167,203,237,272,307,342,375,406,437,466,494,521,546,571,597,625,657,690,724,759,793,828,864,902,945,990,1042,1096,1164
