1,4,7,9,12,16,22,28,36,43,51,57,63,67,71,74,77,79,82,84,86,87,89,90,92,93,94,95,96,97,98,99,100
2,6,9,13,18,23,30,38,46,53,59,64,68,71,74,77,80,83,85,87,90,92,93,95,97,98,100,101,103,104,105,106,107
3,7,13,18,24,31,38,44,51,56,61,66,70,74,77,81,84,88,91,94,97,99,102,104,107,109,111,113,115,117,118,120,121
4,9,16,22,29,36,42,49,55,60,66,71,76,80,85,89,93,97,101,105,108,112,115,118,121,124,127,129,132,134,137,139,141
4,10,17,24,31,37,44,50,57,62,68,73,79,84,89,93,98,102,107,111,115,119,122,126,130,133,136,139,143,146,149,151,154
5,11,18,25,32,39,46,52,58,64,70,76,81,87,92,97,102,107,112,116,121,125,129,132,136,140,144,147,151,154,157,161,164
5,12,19,26,33,40,47,54,60,67,73,78,84,89,95,100,105,110,115,119,124,129,133,137,142,146,150,153,157,161,164,167,171
6,13,20,27,34,42,48,55,62,68,74,80,86,91,97,102,108,113,118,123,127,132,137,141,145,150,154,158,162,166,170,173,177
6,13,21,28,35,43,50,57,63,69,76,82,87,93,99,105,110,116,121,126,131,136,141,146,150,155,159,163,167,171,175,179,183
6,14,21,29,36,44,51,58,65,71,78,84,90,96,102,108,114,119,125,130,136,141,146,151,156,161,166,170,175,179,184,188,193
7,14,22,30,37,45,52,59,67,74,81,88,94,101,108,115,122,129,135,141,147,153,159,165,171,176,182,187,193,198,203,208,213
7,15,23,31,39,46,54,63,71,80,89,100,110,122,135,149,166,184,203,224,243,261,278,294,308,323,338,353,371,393,421,451,496
8,16,24,33,42,53,67,82,100,119,139,161,184,207,231,256,279,302,325,348,371,397,424,454,485,517,550,583,619,657,702,748,809
8,16,28,40,55,72,91,112,134,157,180,204,227,251,276,300,326,351,377,403,430,458,488,519,552,586,622,659,698,741,784,828,872
8,19,34,50,69,90,114,139,166,192,217,243,267,291,316,342,368,394,422,450,479,509,542,576,612,648,687,727,768,810,853,897,940
9,22,42,63,87,113,140,169,198,228,258,286,314,340,366,392,419,447,475,503,533,564,597,633,670,709,750,792,835,879,925,972,1023
9,25,49,75,104,134,166,198,231,263,294,325,354,382,409,436,463,491,520,550,583,618,654,692,730,769,809,850,892,934,973,1013,1047
9,30,60,89,123,157,191,226,261,295,328,361,391,420,450,479,508,538,569,600,633,668,705,743,782,822,862,902,943,984,1025,1066,1109
10,35,71,107,147,185,223,260,296,331,365,399,431,463,495,526,558,590,623,656,690,725,759,794,830,869,910,953,997,1040,1081,1122,1159
11,44,90,134,181,226,269,309,348,387,427,466,503,538,569,598,627,656,687,721,756,791,827,862,899,937,979,1023,1068,1115,1165,1213,1266
12,57,119,178,240,296,347,393,434,473,512,551,588,623,655,684,712,741,772,804,838,872,906,942,982,1023,1068,1115,1164,1214,1270,1325,1396
13,70,140,206,275,335,391,440,487,529,572,611,648,681,712,740,767,795,821,852,885,921,960,1005,1056,1108,1162,1219,1271,1319,1368,1414,1462
15,86,168,246,323,390,451,503,550,594,636,676,711,741,768,791,814,841,874,915,964,1018,1073,1129,1189,1248,1306,1369,1435,1497,1564,1631,1706
