6,8,11,15,21,30,41,52,65,77,88,98,107,115,122,128,134,138,142,146,149,152,155,157,160,162,164,166,168,169,171,172
7,10,15,21,30,40,53,66,79,91,101,110,118,125,131,137,143,148,153,158,162,166,169,173,176,179,182,184,186,189,191,193
8,12,20,29,40,52,65,78,89,99,108,116,123,130,137,143,149,155,160,165,170,174,178,182,186,189,193,196,199,202,204,207
9,17,28,39,52,64,76,87,97,107,117,126,135,144,152,160,168,175,181,187,193,199,205,211,216,221,226,231,236,240,244,249
10,20,32,44,57,69,81,93,104,116,127,139,151,162,174,185,196,206,217,226,236,245,255,264,273,282,290,299,307,315,322,330
10,22,34,47,60,73,85,98,111,124,137,150,163,176,189,202,216,230,244,257,271,284,297,310,323,336,350,363,376,389,401,413
11,23,36,48,61,74,87,100,113,127,140,153,167,181,194,208,222,236,250,264,278,292,307,321,336,351,366,380,395,410,425,440
11,24,37,49,63,76,89,102,116,129,143,157,171,184,198,212,226,240,254,268,282,297,311,326,341,355,370,385,400,415,430,446
12,24,38,51,64,78,91,105,118,132,146,160,174,188,202,216,230,245,260,275,289,304,319,334,349,365,380,396,412,428,444,460
12,25,39,52,66,80,93,107,121,136,151,165,180,196,211,227,243,259,275,291,307,323,339,355,372,388,404,421,437,454,470,486
13,26,40,54,68,82,96,111,126,141,156,171,186,202,217,233,249,264,280,297,313,330,346,363,380,397,414,431,448,465,482,499
13,27,41,55,69,84,98,113,129,144,160,176,193,210,227,245,263,282,301,320,340,361,383,405,427,451,475,501,530,565,600,646
14,28,42,57,71,86,102,118,135,153,172,191,211,232,253,276,299,324,351,376,402,428,454,482,512,545,581,618,655,691,727,758
14,29,44,59,75,92,110,129,150,172,195,218,242,266,291,316,343,370,399,428,460,494,528,565,604,641,678,716,751,786,820,852
15,30,47,65,84,104,126,149,173,197,223,249,276,303,331,359,387,416,447,479,512,548,586,625,665,705,745,785,822,860,897,936
16,33,55,77,100,125,150,175,200,227,253,281,310,339,367,395,424,453,484,517,552,590,630,671,712,753,794,835,877,922,967,1019
16,37,63,88,115,142,169,195,222,250,279,308,339,369,399,429,459,491,524,560,598,636,674,713,753,795,839,884,930,975,1019,1059
17,43,72,101,132,161,190,219,247,276,307,338,370,402,434,467,500,534,569,605,642,679,719,760,801,845,891,935,979,1022,1064,1104
18,52,84,117,149,182,214,245,277,309,341,372,405,440,474,512,550,586,623,661,697,735,775,816,858,901,946,991,1036,1083,1129,1177
18,63,102,140,176,210,244,277,311,345,379,414,451,489,527,567,605,643,680,718,756,796,838,880,924,970,1019,1071,1126,1180,1236,1284
20,76,123,168,209,247,282,319,356,394,433,473,513,555,598,641,684,727,770,811,852,893,937,983,1033,1087,1141,1196,1249,1294,1340,1370
20,90,145,198,243,285,324,362,400,438,477,514,553,595,639,684,731,779,824,868,912,958,1006,1060,1117,1174,1231,1286,1339,1392,1444,1499
22,104,168,228,277,322,362,401,440,480,520,561,605,652,700,748,797,844,890,939,990,1043,1095,1148,1201,1257,1315,1376,1439,1496,1552,1591
