0,0,1,3,5,8,12,16,21,26,32,38,43,47,51,54,56,58,60,62,64,65,67,69,70,72,73,75,76,76,77
0,1,3,6,10,14,19,24,30,36,41,46,51,55,58,61,63,66,68,70,72,74,75,77,78,80,81,82,83,84,85
0,2,6,10,15,21,27,32,38,43,48,52,56,60,63,66,69,72,75,78,80,82,84,86,88,90,91,93,94,96,97
0,6,11,17,23,29,34,39,44,49,53,57,61,65,69,72,76,79,82,85,87,90,92,94,96,98,100,102,104,105,107
0,8,14,21,27,32,37,42,47,52,56,61,65,70,74,78,82,86,90,94,97,100,103,106,109,112,115,117,120,122,124
2,10,16,22,28,34,39,44,49,55,60,65,71,76,81,86,92,97,102,107,112,116,120,124,128,132,136,140,143,146,149
6,12,18,24,29,35,41,47,53,59,65,70,76,82,89,95,101,107,113,119,124,129,134,138,143,147,151,156,160,164,168
6,12,18,25,31,37,43,50,56,62,69,75,81,88,94,100,106,112,118,124,129,134,139,144,149,154,159,164,168,173,178
6,13,19,26,32,39,46,52,59,65,71,78,84,90,97,103,109,115,121,127,133,139,144,149,154,159,164,170,174,179,184
6,13,20,27,34,40,47,54,60,67,73,80,86,93,99,106,112,119,125,131,138,144,149,155,161,166,172,177,183,188,193
7,14,21,27,34,41,48,55,62,68,75,82,88,95,102,109,116,123,130,137,145,152,160,168,176,184,193,203,214,225,239
7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,113,121,130,138,147,156,165,175,185,195,206,216,226,236,247,257
7,14,21,28,36,43,50,58,65,73,80,88,96,104,112,120,129,138,146,156,166,176,187,199,210,221,232,244,256,269,283
7,14,22,29,37,45,53,61,69,77,86,95,103,112,120,129,138,147,156,166,177,189,202,215,229,242,254,266,279,291,303
7,15,23,31,39,48,56,65,74,83,93,102,112,121,130,139,148,158,168,178,190,203,217,231,245,258,271,283,296,309,323
7,16,24,33,43,52,61,71,81,91,101,111,122,132,142,153,163,174,185,197,210,223,236,250,263,276,288,301,314,327,342
8,18,28,38,49,59,69,79,89,99,110,121,132,143,154,164,175,186,198,210,223,236,249,262,276,289,302,316,330,345,361
13,24,35,46,57,68,78,88,98,108,119,130,142,153,165,176,187,199,211,223,235,249,262,275,289,302,316,332,348,365,385
17,29,41,53,65,76,87,98,109,120,130,141,152,163,175,186,198,211,223,236,250,264,278,293,308,324,339,355,372,389,406
22,36,49,62,74,86,97,109,121,132,143,155,166,177,188,200,212,226,239,254,269,285,300,317,333,350,367,384,401,418,435
31,47,62,76,90,104,117,130,142,154,165,176,187,197,209,221,233,248,263,280,296,314,331,348,365,383,401,419,438,458,479
37,56,72,89,104,118,132,146,159,172,186,197,209,220,232,245,260,276,293,309,325,340,355,371,389,408,428,448,468,488,505
41,64,82,100,116,130,144,158,171,185,200,214,230,246,261,276,291,306,319,333,348,363,381,402,423,446,469,491,510,528,537
