2,6,11,15,20,25,29,33,37,41,45,49,52,56,59,61,64,66,68,70,72,74,75,77,78,78,79,80,81,81,82,82,82,83,83,83,84,84
2,7,12,17,22,27,31,36,40,45,49,53,57,61,64,68,70,73,75,76,78,80,81,82,84,85,85,86,87,87,87,88,88,89,89,89,90,90
3,8,13,19,24,29,34,38,43,47,52,57,62,66,70,74,77,80,82,84,86,88,90,91,93,94,95,96,97,97,98,98,99,99,100,100,101,101
4,9,15,20,26,31,37,42,47,52,58,63,68,73,78,83,87,90,94,96,99,102,105,107,109,111,113,114,115,116,117,118,119,120,121,121,122,123
4,10,16,22,27,33,38,44,49,55,61,67,72,78,84,89,94,99,103,107,111,115,118,121,124,126,129,131,133,135,136,138,139,141,142,143,145,146
5,11,17,22,28,34,40,45,51,57,64,70,76,82,88,93,98,103,108,112,116,120,124,128,132,135,139,142,144,147,149,152,154,156,158,160,162,164
5,11,17,23,29,35,41,47,53,59,66,72,79,85,91,97,103,109,114,120,126,132,137,143,149,155,161,166,172,177,181,186,190,193,197,200,203,206
6,12,18,24,30,36,42,48,55,61,68,74,81,87,94,100,107,115,123,131,140,149,159,168,178,188,198,207,217,228,239,251,264,277,289,301,313,324
6,12,18,25,31,37,43,49,56,63,69,76,83,90,97,105,113,122,131,141,151,161,172,183,195,207,220,234,249,265,282,299,317,334,352,370,389,409
6,13,19,25,32,38,44,51,57,64,71,78,85,93,101,109,118,127,137,147,158,169,181,194,207,220,235,250,267,284,302,321,341,362,385,410,436,464
7,13,20,26,32,39,45,52,58,65,73,80,88,96,104,113,123,133,143,154,166,178,191,204,218,232,248,265,285,305,328,352,376,400,425,450,475,502
7,14,20,27,33,39,46,53,60,67,74,82,90,99,107,117,126,137,148,160,172,186,199,214,229,246,264,283,305,329,354,381,410,440,471,506,541,584
7,14,21,27,34,40,47,54,61,68,76,84,92,101,110,120,130,141,153,166,179,193,208,223,240,258,277,299,323,350,381,416,454,497,542,594,646,705
8,15,21,28,34,41,48,55,62,70,78,86,95,105,114,125,135,147,160,173,188,203,218,235,252,271,291,314,341,371,407,448,494,545,601,663,726,798
8,15,22,29,35,42,49,56,64,72,80,89,98,108,118,129,140,152,165,179,193,209,225,243,262,284,308,335,365,401,441,486,538,595,655,720,786,855
8,16,22,29,36,43,50,57,65,73,82,91,101,111,121,132,144,156,170,185,201,218,237,258,280,305,333,363,397,434,476,524,577,638,702,773,845,928
9,16,23,30,37,44,51,59,67,75,84,94,104,114,125,137,149,162,177,194,212,233,255,278,303,330,358,389,422,461,507,558,618,685,756,837,918,1017
9,17,24,31,38,45,53,61,69,78,87,97,107,118,130,142,155,169,186,204,225,247,271,296,322,350,380,412,449,491,541,597,662,734,813,901,989,1093
10,17,25,32,39,47,55,63,72,81,91,101,112,124,137,151,166,182,200,219,241,264,289,315,342,372,405,441,483,530,585,647,718,795,879,968,1058,1155
10,18,26,33,41,49,57,66,75,85,96,106,118,130,144,159,176,194,213,234,257,281,308,336,367,400,437,477,522,574,636,705,784,870,961,1054,1148,1240
11,19,27,35,43,51,60,70,81,93,105,117,130,144,160,177,195,214,235,258,284,311,342,376,413,453,497,547,604,668,741,821,908,999,1097,1205,1313,1442
12,21,29,37,45,54,64,74,86,98,110,124,138,154,171,189,209,231,253,278,305,335,368,405,445,490,539,596,663,736,817,905,999,1096,1202,1315,1429,1557
14,22,31,39,48,57,67,78,91,104,118,132,148,164,182,203,226,251,278,307,338,371,408,451,498,553,616,685,767,863,966,1080,1200,1315,1426,1530,1627,1713
