0,1,2,4,6,8,10,12,15,17,20,23,25,27,29,31,33,34,35,36,37,38,39,40,40,41,42,42,43,43,44,44,44,45,45,46,46,46
0,1,3,4,6,8,11,13,16,19,22,24,27,29,32,34,36,38,40,41,42,43,44,45,46,48,49,50,51,52,52,53,54,54,54,55,55,55
0,1,3,5,7,9,12,15,17,20,23,26,29,32,34,37,40,42,45,47,49,51,52,54,56,57,59,60,61,62,63,64,65,66,67,67,68,68
0,2,4,6,8,11,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,80,83,86,90,93,96,99,103,106,110
1,2,4,6,9,11,14,17,20,23,26,30,33,36,39,43,46,50,54,58,62,66,70,74,78,82,86,90,93,97,100,103,107,110,114,117,121,125
1,3,5,7,9,12,15,18,21,24,28,31,34,38,41,45,49,54,58,63,67,72,78,83,88,94,100,105,112,118,125,132,139,147,154,161,168,175
1,3,5,7,10,13,16,19,22,25,29,32,36,40,44,48,52,56,61,66,71,77,83,89,96,102,110,117,126,134,142,151,160,169,178,187,196,204
1,3,5,8,10,13,16,19,23,26,30,33,37,41,45,50,54,59,64,69,75,81,88,95,102,110,119,128,138,148,158,169,181,193,207,222,238,254
1,3,6,8,11,14,17,20,23,27,31,35,39,43,47,52,56,61,67,72,78,85,92,99,108,117,127,139,151,163,176,190,204,219,235,252,269,287
1,4,6,8,11,14,17,21,24,28,32,36,40,44,49,53,58,64,69,76,82,89,97,105,114,124,135,147,160,174,189,204,220,238,258,278,300,323
2,4,6,9,12,15,18,21,25,28,32,37,41,45,50,55,60,66,72,78,85,92,101,110,120,131,143,156,170,185,201,218,237,258,282,307,334,364
2,4,7,9,12,15,18,22,25,29,33,37,42,47,52,57,62,68,74,81,88,96,105,115,126,138,150,164,179,195,213,232,253,277,302,329,357,389
2,4,7,9,12,15,19,22,26,30,34,38,43,48,53,58,64,71,77,84,92,101,110,120,131,144,157,172,188,205,224,245,267,293,320,349,379,410
2,5,7,10,13,16,19,23,27,31,35,39,44,49,54,60,66,73,80,87,95,104,114,125,137,150,165,180,198,216,237,259,284,310,338,368,399,429
2,5,8,10,13,16,20,23,27,31,36,40,45,50,56,61,68,75,82,90,98,108,118,130,143,157,172,188,207,227,249,273,299,328,358,391,424,462
3,5,8,11,14,17,20,24,28,32,37,41,46,51,57,63,70,77,84,93,102,112,123,135,149,163,179,196,216,237,261,287,316,346,378,413,447,484
3,5,8,11,14,18,21,25,29,33,38,42,47,53,58,65,71,79,87,96,106,116,128,141,155,171,187,206,226,248,271,298,327,358,391,427,463,502
3,6,9,12,15,18,22,26,30,34,39,44,49,54,60,67,74,81,90,99,109,120,132,145,160,175,193,212,233,256,282,311,342,376,412,451,491,534
3,6,9,12,16,19,23,27,31,36,40,45,51,57,63,69,77,85,94,104,115,126,139,153,168,184,203,223,246,271,298,329,364,401,442,487,533,581
3,7,10,13,17,20,24,28,32,37,42,47,53,59,65,72,80,89,98,109,120,133,147,161,177,195,215,237,262,290,321,355,394,435,481,529,579,632
4,7,11,14,18,22,26,30,35,40,45,51,57,63,70,77,86,96,106,118,130,143,157,172,189,209,230,255,283,315,351,392,438,486,537,590,643,696
5,8,12,15,19,23,27,32,37,43,49,54,60,66,73,81,90,100,113,126,141,158,176,197,219,243,269,298,330,366,406,452,502,556,614,675,736,800
5,9,12,16,20,25,30,35,40,46,52,59,65,72,79,87,97,108,120,135,152,171,194,219,247,278,312,351,394,442,494,552,617,687,763,846,930,1023
