0,3,5,7,10,13,16,21,25,30,34,39,42,46,49,51,54,56,58,60,61,63,64,65,66,67,68,69,69,70,71,72,72
1,4,7,10,13,17,21,26,31,35,39,43,47,50,53,55,57,59,61,63,64,66,67,68,70,71,72,73,74,74,75,76,77
1,5,8,12,16,21,25,30,35,39,43,47,50,53,55,58,60,62,65,67,69,70,72,74,75,76,78,79,80,81,82,83,84
3,6,11,15,20,24,29,34,38,42,46,50,53,56,59,62,65,67,69,71,73,75,77,79,80,82,83,85,86,87,88,89,90
3,7,12,17,22,27,32,37,41,46,50,54,57,60,63,66,69,72,74,76,79,81,83,85,87,89,91,92,94,95,96,98,99
3,8,13,18,23,28,34,39,44,48,53,57,61,64,68,71,75,78,81,84,87,89,92,94,97,99,101,103,104,106,108,110,111
4,9,14,19,24,30,35,40,45,50,55,59,64,68,72,76,80,84,87,90,93,96,99,102,105,107,110,112,114,116,118,120,122
4,9,14,20,25,31,36,42,47,52,57,61,66,70,75,79,83,87,91,94,98,101,104,107,110,113,116,118,121,123,125,128,130
4,10,15,21,26,32,37,43,48,53,58,63,68,73,77,82,86,90,94,97,101,104,108,111,114,117,120,123,126,128,131,133,136
5,10,16,21,27,33,39,44,50,55,60,65,70,75,80,85,89,94,98,102,106,110,114,118,122,126,129,132,135,138,141,144,146
5,11,16,22,28,34,40,46,51,57,62,68,74,79,85,91,97,103,109,115,121,128,134,141,148,155,162,169,175,180,185,189,192
5,11,17,23,29,35,41,48,54,60,66,73,80,87,94,102,110,119,128,136,145,154,163,173,183,193,205,216,227,238,249,260,273
6,12,18,24,30,37,44,51,58,66,74,82,90,98,106,115,123,132,142,151,161,171,181,191,202,213,224,236,248,260,274,287,304
6,12,19,25,32,39,47,55,63,72,81,89,98,107,116,126,136,146,157,168,179,190,200,211,221,231,241,252,264,277,291,306,322
7,13,20,27,35,43,52,61,71,80,90,99,109,119,130,140,151,162,173,184,196,206,217,227,237,247,257,269,282,296,311,326,342
7,14,22,30,39,49,59,70,80,91,101,111,121,132,142,152,162,174,185,197,209,220,231,243,255,267,280,293,307,321,336,351,368
7,15,24,33,43,54,66,77,88,100,111,121,132,142,152,163,174,185,197,209,221,234,247,260,274,288,302,316,330,344,361,377,398
8,16,27,38,50,62,75,87,99,111,122,133,145,156,168,179,190,202,214,226,239,252,265,279,293,308,322,335,349,363,379,394,413
8,18,30,43,57,70,84,97,110,122,135,147,159,171,183,194,206,218,231,245,260,275,290,304,318,331,345,358,372,387,403,418,435
9,21,36,51,66,82,96,110,124,138,152,165,179,192,204,216,228,240,254,268,284,299,314,329,343,357,370,383,397,411,426,441,459
9,25,44,61,80,98,115,131,146,162,176,191,206,220,232,244,255,266,279,291,305,320,336,353,371,389,408,426,444,462,480,497,517
10,29,50,71,92,112,130,148,164,180,195,210,224,237,249,261,273,286,299,314,329,345,361,377,395,415,436,457,478,499,519,539,559
11,33,57,80,103,125,145,163,180,196,212,227,241,255,269,282,296,311,327,345,364,385,407,429,450,472,493,514,535,556,575,594,610
