6,13,20,26,32,37,43,49,58,68,80,92,105,116,126,135,142,148,154,159,165,170,174,178,182,185,188,191,194,197,199,201,203,205,207
6,15,22,29,36,43,50,59,69,80,92,104,116,126,135,142,150,156,162,168,173,178,182,187,191,194,198,201,204,207,210,212,215,217,219
7,16,23,32,40,49,58,69,80,91,102,113,122,131,139,146,153,160,166,172,178,183,188,193,197,201,205,208,212,215,218,220,223,226,228
7,17,26,36,45,55,66,77,88,98,108,118,127,135,143,151,158,165,171,177,182,187,192,197,201,205,209,213,217,220,223,226,229,232,234
8,18,28,38,48,58,69,80,91,101,111,121,130,138,146,154,161,168,174,180,186,192,197,201,206,210,214,218,221,224,227,230,233,236,238
9,19,29,39,50,61,71,82,93,104,114,123,132,141,149,157,164,171,177,183,189,195,200,205,210,214,218,222,226,229,232,235,238,241,243
9,20,30,41,51,62,73,84,95,106,116,125,134,143,151,159,167,174,180,186,192,198,203,208,213,218,222,226,230,233,237,240,244,247,250
10,20,31,42,53,64,75,86,97,107,117,127,136,145,153,162,169,177,184,191,197,203,209,214,220,225,230,234,239,243,247,251,255,259,263
10,21,32,43,54,65,77,88,99,109,119,129,138,147,155,164,172,180,187,194,201,208,214,220,226,232,237,242,247,251,255,259,263,267,271
11,22,33,44,55,67,78,89,100,111,121,131,140,149,158,167,176,184,192,200,207,214,221,227,233,239,245,250,256,261,265,270,274,279,283
12,22,34,45,57,68,80,91,102,113,123,133,143,153,163,173,182,191,200,209,218,226,235,243,251,258,266,273,280,286,292,298,304,309,313
12,23,35,46,58,70,82,93,104,115,126,137,148,160,172,183,195,207,219,231,242,255,267,279,292,304,316,329,341,354,367,380,394,408,423
13,24,36,48,60,72,84,96,108,120,134,149,166,185,205,224,243,262,279,298,317,336,355,373,390,406,420,434,447,461,474,486,498,509,519
13,24,37,49,62,75,89,104,121,139,158,178,200,221,243,265,288,311,332,353,372,390,406,423,438,454,471,486,502,517,532,548,564,581,599
13,25,38,51,66,82,100,120,141,163,185,208,232,256,281,307,331,355,376,397,415,433,451,469,486,503,520,536,553,570,586,601,615,629,641
14,26,40,55,72,91,113,136,160,184,209,233,259,285,310,335,359,383,405,427,447,468,488,507,525,543,561,578,594,610,624,639,653,666,678
15,27,43,60,80,103,128,154,180,207,233,259,285,311,337,362,386,410,433,456,478,500,521,542,561,581,600,618,636,654,670,686,701,716,731
15,28,46,65,87,114,142,171,201,231,260,288,317,345,372,397,422,445,468,490,513,535,557,579,600,621,642,662,681,698,713,727,739,751,764
16,29,50,72,98,129,162,195,229,263,294,325,355,383,410,435,459,483,506,529,551,574,596,617,639,660,680,700,718,735,750,763,776,788,799
16,32,55,80,111,147,185,225,264,302,336,368,399,427,454,480,505,529,552,576,599,622,645,668,690,710,729,749,768,787,806,824,841,857,870
18,35,65,96,135,178,222,266,308,347,383,416,447,478,508,539,570,599,627,655,680,704,729,754,778,802,824,842,858,872,884,896,909,922,938
19,38,74,111,157,206,256,303,346,384,422,459,494,528,560,589,616,641,666,691,717,743,771,799,826,852,878,901,922,941,959,975,991,1007,1024
20,41,84,127,181,239,297,351,401,445,485,521,555,585,611,637,660,683,709,738,769,801,836,869,900,927,952,974,995,1015,1035,1057,1077,1098,1115
