2,6,11,16,21,27,33,38,44,50,56,62,69,77,84,90,96,102,106,110,114,118,121,124,127,129,132,134,136,138,140,142,144,145,147,149,150,151,153
2,7,12,18,24,30,35,41,48,54,60,67,74,81,88,94,100,105,110,114,118,122,126,129,132,135,138,140,143,145,147,149,151,153,155,157,159,160,162
3,8,14,20,25,31,38,44,50,57,64,71,78,85,91,98,103,109,114,119,124,128,133,137,140,144,147,150,153,156,158,161,164,166,168,170,173,175,176
4,9,15,21,27,34,40,46,53,60,67,74,82,89,95,102,108,114,120,125,130,135,140,144,149,153,157,161,165,169,172,176,179,182,184,187,190,192,195
4,10,16,22,29,35,42,48,55,62,69,77,84,91,98,104,111,117,123,129,134,139,144,149,154,159,163,167,172,176,180,183,187,190,194,197,200,203,206
5,11,17,23,30,36,43,50,57,64,71,78,86,93,100,106,113,119,125,131,137,142,148,153,158,163,168,173,177,182,186,190,194,197,201,204,208,211,214
5,11,18,24,31,37,44,51,58,65,73,80,88,95,102,109,115,122,128,134,140,145,151,156,161,167,171,176,181,185,190,194,198,202,206,210,213,217,220
5,12,18,25,31,38,45,52,59,67,74,82,90,97,104,111,117,123,130,136,142,148,153,159,165,171,176,181,186,191,196,201,205,210,214,219,223,227,231
6,12,19,26,32,39,46,53,61,68,76,84,91,99,106,113,119,126,133,139,146,152,159,165,171,176,182,188,193,199,204,210,215,220,225,230,234,239,244
6,13,20,26,33,40,47,55,62,70,78,86,93,101,108,115,123,130,137,144,152,159,165,172,179,185,191,197,203,208,214,219,225,230,235,240,245,250,255
7,13,20,27,34,41,49,56,64,72,79,87,95,103,111,119,126,134,142,150,158,166,174,183,191,199,207,215,223,231,239,246,253,260,267,273,280,286,293
7,14,21,28,35,42,50,57,65,73,81,90,98,107,116,124,134,143,153,163,173,183,194,206,218,231,244,257,269,280,291,302,316,332,348,364,376,388,391
7,14,21,28,36,43,51,58,66,75,84,94,104,116,129,143,157,173,189,205,221,238,253,269,286,303,320,337,353,368,384,400,415,430,443,455,465,474,483
8,15,22,29,36,44,51,59,68,78,89,101,116,131,148,165,183,201,219,237,254,271,289,307,325,344,362,380,398,416,432,448,464,479,494,510,526,542,561
8,15,23,30,37,45,53,61,72,83,97,112,130,149,168,188,208,227,246,266,285,305,325,344,364,383,402,421,439,457,473,489,504,520,536,553,571,590,609
8,16,23,31,38,46,54,64,76,91,108,127,147,168,189,209,229,249,270,290,312,334,356,377,399,420,440,459,477,494,510,525,540,556,572,589,606,623,637
9,16,24,31,39,47,57,69,83,100,121,143,166,188,211,232,254,275,297,318,340,362,384,407,429,451,473,493,512,531,551,569,588,606,624,641,659,675,693
9,17,25,32,40,49,60,73,90,111,135,160,186,212,236,259,282,303,326,348,370,393,416,440,463,486,508,529,550,570,589,609,627,646,665,684,703,723,741
10,18,25,33,41,51,63,79,99,123,149,177,206,232,258,284,308,332,357,381,406,430,455,479,503,526,548,568,587,607,627,647,669,691,714,736,759,782,806
10,18,26,34,43,55,69,88,113,140,169,199,229,257,284,312,340,366,394,421,448,475,501,526,550,571,593,613,634,657,680,703,726,749,771,792,812,831,847
11,20,28,36,46,59,76,99,128,161,196,231,265,298,330,361,391,420,445,470,494,518,544,571,598,624,649,673,698,721,745,769,792,814,835,854,872,890,907
12,21,29,38,48,63,83,109,141,179,216,254,290,326,360,394,428,459,487,515,543,568,596,626,655,683,713,741,766,793,817,838,859,878,897,915,934,954,974
14,22,31,39,51,68,91,121,160,202,245,287,327,365,403,441,484,531,578,624,666,701,727,747,763,777,792,809,828,849,870,893,917,941,966,992,1014,1037,1050
