1,4,8,13,17,22,26,32,37,43,48,55,61,68,76,84,93,102,110,119,127,135,142,149,156,164,172,180,188,197,205,215,224,233,242,251,259,266,272,277,281,285,289,293,296,300,304,307,310,313,315,318
1,6,10,14,19,23,28,34,39,45,51,57,64,71,79,88,96,106,115,124,133,141,150,158,167,176,186,196,206,215,224,233,241,248,255,262,269,275,281,287,292,296,300,304,308,311,315,318,321,324,327,330
2,6,11,16,20,25,30,36,42,48,54,60,67,74,82,90,99,108,118,128,137,146,155,164,174,184,194,204,214,223,232,241,249,257,264,271,277,283,289,295,301,306,312,317,322,326,330,333,336,340,343,346
3,8,13,18,23,28,33,39,45,51,57,64,71,78,86,94,103,113,122,132,142,152,161,171,182,192,202,212,223,232,242,250,259,267,276,284,292,301,309,317,325,333,340,347,354,360,366,372,379,386,393,403
3,8,14,19,24,29,35,41,47,53,59,66,73,80,88,97,106,116,125,135,145,156,166,176,187,197,208,218,228,238,248,258,267,277,286,296,306,315,326,335,345,355,365,375,386,397,408,418,428,438,448,458
4,9,14,20,25,31,36,42,48,55,61,68,75,83,91,99,108,118,128,138,148,159,169,180,191,201,212,223,234,244,255,265,274,284,294,303,313,324,334,345,356,367,379,391,403,415,427,440,452,465,478,492
4,10,15,21,26,32,38,44,50,56,63,69,77,84,93,101,111,120,130,140,151,162,172,183,194,205,216,227,237,248,258,269,279,290,300,310,321,332,343,354,366,377,389,401,413,425,438,450,462,475,487,499
5,10,16,21,27,33,39,45,51,57,64,71,78,86,94,103,112,122,132,143,154,165,175,186,197,208,219,230,240,251,262,272,283,294,304,315,326,337,348,360,371,384,396,409,421,434,447,459,472,484,497,509
5,11,16,22,28,34,40,46,52,59,65,72,80,88,96,105,114,124,134,145,155,166,177,188,199,210,221,232,243,254,265,276,287,298,309,321,333,345,358,371,384,398,412,426,440,454,468,483,498,512,527,540
5,11,17,23,29,35,41,47,53,60,67,74,81,89,97,106,116,126,136,146,157,168,179,190,201,212,223,235,246,257,268,280,292,304,316,329,342,356,370,384,398,412,427,442,457,473,490,506,523,539,555,570
6,12,17,23,29,35,42,48,54,61,68,75,82,90,99,108,117,127,138,148,159,170,181,192,203,215,226,237,249,260,272,284,296,309,322,336,350,364,378,392,406,421,436,451,467,483,499,515,532,548,564,580
6,12,18,24,30,36,42,49,55,62,69,76,83,91,100,109,119,129,139,150,161,172,183,195,206,217,229,240,252,264,275,288,300,314,327,341,355,370,384,398,413,427,442,458,473,490,506,523,539,555,571,587
6,12,18,25,31,37,43,50,56,63,70,77,85,93,101,110,120,130,141,152,163,174,185,196,208,219,231,243,255,267,279,292,305,318,332,346,360,374,388,403,418,432,448,464,481,498,516,533,551,568,585,601
7,13,19,25,31,38,44,50,57,64,71,78,86,94,103,112,122,132,143,154,165,176,187,198,210,222,233,245,258,270,283,296,310,323,338,352,367,382,397,412,427,442,459,475,493,512,531,551,572,593,615,637
7,13,19,26,32,38,45,51,58,65,72,79,87,95,104,113,123,134,144,155,166,178,189,201,213,225,237,249,262,274,288,302,316,331,346,361,376,391,406,421,437,454,472,491,511,531,552,572,593,614,635,657
7,14,20,26,33,39,46,53,59,66,73,81,89,97,106,115,125,135,146,157,168,180,192,204,216,229,241,254,267,280,294,308,323,338,354,370,386,401,417,433,450,467,486,505,525,546,568,590,613,635,657,676
7,14,21,27,34,40,47,54,60,68,75,82,90,98,107,117,126,137,148,159,171,183,195,208,220,234,247,260,274,288,303,318,334,350,365,382,397,413,430,446,464,482,501,521,542,564,586,610,634,658,682,704
8,15,21,28,34,41,48,55,62,69,76,84,92,100,109,118,128,138,149,161,173,185,198,211,225,239,254,269,284,299,315,330,346,362,378,394,411,428,446,464,483,503,522,543,564,585,608,632,658,686,714,744
9,15,22,29,35,42,49,56,63,70,78,85,93,102,110,120,130,140,152,164,176,190,204,219,234,250,266,282,298,314,330,345,361,377,393,410,428,446,466,485,505,526,546,567,588,611,635,660,686,714,743,773
9,16,23,30,37,44,51,58,65,72,79,87,95,104,113,122,132,143,155,168,181,196,211,227,244,261,278,295,312,328,345,361,378,394,411,429,448,467,487,507,528,550,572,596,619,643,667,693,719,746,774,802
10,17,24,32,39,46,53,60,67,74,82,90,98,107,116,125,136,147,160,174,189,206,224,243,262,280,298,316,333,351,368,386,405,423,442,460,479,498,518,539,562,585,610,634,658,683,709,737,766,801,836,879
11,18,26,33,40,48,55,62,69,77,84,92,100,109,119,129,139,151,164,178,194,213,233,254,275,296,316,334,353,371,389,407,426,446,465,486,508,531,553,576,599,620,642,664,687,711,738,767,799,833,868,905
11,20,28,36,43,50,58,65,72,80,88,96,104,113,123,133,144,156,169,185,204,224,246,267,289,310,332,353,375,396,417,438,460,482,504,527,549,569,588,608,627,646,666,688,712,738,768,801,839,880,923,971
