2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,5,5,4,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,6,6,5,5,4,4,3,3,2,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,7,7,7,6,6,5,5,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
8,8,8,8,8,8,8,8,7,7,7,6,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
9,9,9,9,9,9,8,8,8,8,7,7,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2
9,9,9,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3
9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3
10,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4
10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,5
11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6
11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,11,11,12,14
11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,17,17,18,19,20,22,24,26,30
12,12,12,12,12,13,13,13,13,14,14,15,15,16,17,17,18,18,20,21,23,26,27,27,28,28,30,32,35,38,42,47,51,59
12,13,13,14,14,14,15,15,16,16,17,18,19,20,22,23,24,25,27,29,32,36,38,40,43,45,50,56,63,72,81,94,107,132
13,14,14,15,16,16,17,17,18,19,21,22,24,26,28,31,33,36,40,43,48,52,56,60,64,69,76,84,94,105,117,131,145,164
14,15,16,17,18,19,20,20,22,23,25,28,30,33,37,40,44,48,53,58,63,68,74,80,87,95,106,117,131,146,164,185,208,236
15,16,19,21,22,24,25,25,27,28,31,34,38,42,46,51,56,63,69,76,84,92,101,111,123,135,148,165,184,206,232,263,296,335
15,17,20,23,25,26,28,29,30,33,36,40,45,50,55,61,67,74,81,90,99,111,123,136,151,167,184,205,229,257,291,327,365,403
17,20,23,26,29,31,32,33,35,37,41,46,52,58,65,72,79,87,97,107,118,131,146,160,176,195,218,243,273,308,343,382,421,464
