0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,6,5,5,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,8,7,7,7,6,6,5,5,4,4,4,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1
9,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1
9,9,9,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2
10,10,10,9,9,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2
10,10,10,10,10,9,9,9,9,8,8,8,7,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2
10,10,10,10,10,10,10,9,9,9,9,8,8,8,7,7,7,6,6,5,5,5,5,4,4,4,3,3,3,3,3
10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,7,7,6,6,6,6,5,5,5,4,4,4,4,3,4
10,11,11,11,11,11,11,10,10,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,12
11,12,12,12,12,13,13,13,13,13,13,13,14,14,14,15,15,16,17,18,19,20,21,22,23,24,25,25,26,26,27
12,12,13,13,14,14,15,15,16,16,17,18,19,20,21,22,24,25,26,28,30,32,33,35,36,38,40,42,43,45,46
13,13,14,14,15,16,16,17,18,19,20,21,22,24,25,26,28,30,32,34,36,38,41,43,45,48,51,53,55,57,58
14,14,15,15,16,17,17,18,20,21,22,23,25,26,28,30,32,34,36,39,41,44,47,50,52,56,60,63,68,72,77
16,16,16,17,17,18,19,20,22,23,24,26,28,29,31,33,35,38,41,44,48,51,55,58,61,65,69,73,78,82,88
17,18,19,19,20,20,22,23,24,26,28,30,32,34,37,40,43,46,49,53,57,61,65,69,73,77,82,88,93,98,102
22,22,23,23,24,25,27,29,31,34,36,38,40,44,47,50,54,59,64,69,75,81,86,91,96,101,106,112,118,124,130
24,25,25,26,27,29,31,34,36,39,42,45,48,52,56,60,65,71,77,85,92,99,106,112,117,123,129,136,143,151,160
29,29,30,30,32,34,36,39,42,46,50,54,59,64,69,73,79,86,93,102,110,117,125,134,143,153,166,179,194,210,230
