4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,9,8,7,6,6,5,5,5,4,4,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0
11,11,10,10,9,9,8,8,7,7,6,6,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1
11,11,11,10,10,9,9,8,8,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2
12,12,11,11,10,10,9,9,8,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2
12,12,12,11,11,10,10,9,9,8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2
13,12,12,11,11,10,10,9,9,9,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3
13,13,12,12,11,11,11,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4
14,13,13,13,12,12,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,7,6,6,5
14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,9,9,9
15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10
15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11
16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13
16,17,18,18,18,18,17,17,17,16,16,17,17,17,17,18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,16,16,15
17,19,21,23,23,24,23,23,22,22,22,22,23,24,24,24,25,25,24,24,24,24,24,24,23,23,23,23,23,23,23,22,21
17,22,26,28,30,31,30,30,29,29,29,29,30,31,31,31,32,31,31,31,31,31,32,32,33,33,33,34,34,35,35,36,36
19,27,32,37,39,41,41,40,40,39,39,38,39,39,40,41,42,42,43,44,45,45,46,46,46,45,45,45,46,47,48,49,48
20,30,38,44,47,49,49,48,47,46,45,45,45,47,48,50,52,52,54,55,57,57,58,58,58,57,57,57,59,59,59,58,55
21,35,45,53,58,60,61,59,58,58,56,56,56,57,58,60,62,64,65,67,68,69,71,72,73,73,73,72,73,72,73,74,75
