0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
8,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1
8,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1
8,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1
8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2
8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3
9,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3
9,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3
12,11,10,9,9,8,8,8,8,9,9,9,9,9,8,8,7,7,7,7,8,8,9,9,9,9,9,10,10,11,11
25,23,21,19,17,16,15,15,15,16,16,17,17,17,16,16,15,15,15,16,16,17,17,17,17,18,18,19,20,21,20
36,35,34,33,31,30,29,29,29,28,28,28,27,26,25,25,24,24,24,25,26,27,28,28,28,28,28,29,30,31,30
57,52,49,46,45,43,43,42,42,42,41,40,39,38,37,37,36,37,37,37,38,39,40,40,41,42,42,44,45,46,45
72,69,66,64,63,62,61,61,60,59,58,57,55,54,53,52,51,52,52,53,55,57,59,60,61,63,63,65,66,67,68
89,85,81,79,77,75,74,73,72,72,71,71,71,70,69,68,67,66,67,68,69,71,74,76,79,81,82,84,84,84,82
132,119,110,104,100,98,98,98,97,96,93,91,89,87,86,86,85,84,84,85,86,89,93,97,99,102,103,104,102,101,96
