4,4,4,4,4,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,6,6,5,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,7,7,6,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,8,8,8,8,7,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,9,9,9,8,7,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,9,10,9,9,8,6,4,3,2,2,1,1,2,2,2,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,7,7,6,6,6,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,2
10,10,10,11,11,11,11,11,11,11,10,10,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2
10,11,11,11,11,11,11,11,11,11,11,11,10,10,9,9,9,8,8,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3
11,11,11,11,12,12,12,12,12,12,11,11,11,10,10,10,10,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,5
11,11,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,7
12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8
12,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9
12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10
13,13,13,13,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11
13,13,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,15,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16
15,15,15,15,15,16,17,18,20,21,22,22,22,22,21,22,22,23,23,24,23,22,21,20,20,20,21,22,23,23,24,24,24,25,25,26,26,27,27,30
15,15,15,16,16,17,19,21,24,28,30,32,33,33,32,32,33,34,35,35,35,33,31,30,30,31,32,34,36,37,38,38,39,39,40,40,41,41,42,44
16,16,16,16,17,18,21,25,30,36,40,44,46,47,46,47,47,48,48,48,47,46,45,45,46,47,49,51,53,54,55,56,58,60,61,62,62,64,64,69
17,17,18,18,18,20,24,30,38,48,55,61,66,68,69,69,70,69,69,68,67,66,66,66,68,70,72,74,77,78,80,82,85,87,89,91,92,93,94,96
18,19,19,19,19,22,28,36,47,60,70,77,81,84,83,83,83,82,82,82,83,83,84,85,87,90,91,94,97,100,103,106,109,111,113,115,118,122,126,132
20,20,20,20,20,24,30,40,52,67,79,89,96,100,100,100,100,100,100,100,100,101,103,104,107,111,113,118,123,127,130,135,137,141,143,146,149,150,151,146
