330,310,301,295,287,284,286,281,273,261,247,227,206,190,175,162,151,136,118,94,69,44,25,10,3,0,0,0,0,0,0
369,352,339,327,324,316,313,314,303,288,272,251,226,207,191,178,165,151,132,109,83,56,33,17,7,2,1,0,0,0,0
412,392,376,363,352,352,346,344,333,317,298,272,249,222,206,195,180,164,145,121,94,68,45,29,17,11,7,5,3,2,0
473,442,430,414,407,396,390,385,375,359,338,313,290,266,247,231,215,201,181,159,135,115,95,82,72,66,59,51,40,31,21
521,491,474,462,446,442,432,426,413,399,376,359,338,321,306,290,275,257,237,217,193,171,153,139,123,116,107,99,91,84,71
574,553,547,533,530,524,517,508,499,486,468,450,435,420,408,394,377,363,340,320,293,271,250,233,218,206,191,179,175,162,152
628,624,614,611,609,605,600,593,583,575,568,555,549,536,521,507,493,478,461,448,435,413,399,375,357,336,318,301,287,272,261
655,651,647,642,638,634,630,628,626,613,605,595,585,581,566,557,546,531,517,502,490,477,458,437,423,407,394,377,362,346,333
677,673,670,664,663,657,655,651,644,642,630,625,613,605,596,588,573,564,555,542,526,513,500,484,477,463,445,430,413,396,381
696,696,690,687,683,682,679,674,668,657,654,642,633,628,622,609,601,592,584,571,564,551,541,532,518,506,496,482,469,453,440
719,711,705,706,703,698,698,696,690,681,673,663,660,650,639,633,626,620,608,598,587,581,574,564,553,542,534,525,519,508,497
733,728,725,721,719,717,713,713,709,703,696,691,679,676,668,659,655,646,637,627,622,616,607,600,585,580,572,561,552,546,542
753,748,740,741,736,737,735,734,727,725,721,715,706,697,696,688,684,679,674,666,659,652,642,635,629,622,619,611,606,599,594
773,766,764,763,757,757,758,756,756,750,743,740,738,734,725,727,722,716,710,705,702,696,691,687,684,679,676,670,661,657,655
796,787,788,779,784,780,785,781,782,775,768,770,769,765,768,765,765,758,752,748,748,744,746,750,748,748,745,747,744,747,753
813,808,804,812,811,815,814,816,817,818,813,813,816,819,823,822,825,831,833,833,839,844,848,856,861,869,878,890,901,918,936
838,837,843,847,855,860,866,867,875,875,877,880,895,904,915,927,937,951,963,976,991,1012,1028,1044,1070,1101,1130,1156,1190,1229,1264
882,904,916,928,933,945,950,961,968,985,998,1016,1040,1062,1081,1107,1140,1167,1200,1241,1278,1315,1357,1400,1456,1506,1563,1625,1705,1793,1921
976,1006,1029,1048,1065,1082,1096,1107,1133,1162,1195,1237,1283,1325,1367,1411,1463,1521,1584,1651,1721,1795,1876,1960,2044,2133,2235,2343,2471,2608,2792
1072,1130,1168,1202,1230,1258,1279,1304,1340,1390,1446,1515,1594,1669,1746,1824,1900,1989,2087,2194,2308,2427,2553,2682,2818,2954,3100,3265,3450,3651,3922
1216,1302,1362,1413,1459,1493,1528,1570,1626,1706,1800,1913,2038,2156,2272,2392,2514,2646,2802,2972,3147,3343,3531,3725,3923,4121,4337,4577,4838,5130,5456
1322,1439,1519,1596,1649,1698,1747,1792,1869,1964,2086,2231,2394,2549,2700,2861,3020,3204,3408,3641,3877,4125,4361,4594,4832,5077,5352,5666,6018,6411,6837
1474,1606,1708,1798,1875,1933,1989,2053,2144,2263,2415,2598,2793,2983,3168,3365,3565,3788,4049,4345,4638,4957,5269,5579,5883,6200,6543,6919,7323,7752,8227
