69,55,48,41,38,37,34,32,30,25,22,21,22,23,25,26,25,22,20,18,17,17,17,17,17,16,15,14,13,12,10
69,57,53,50,50,51,52,52,51,48,46,43,41,40,39,37,36,34,32,30,28,27,26,26,25,24,23,22,21,20,18
69,60,59,58,61,63,64,64,62,59,56,53,51,50,48,47,45,43,41,39,38,36,35,33,32,31,30,29,28,26,24
69,65,67,68,71,73,73,72,70,68,66,64,63,62,61,60,58,56,54,53,52,52,52,51,50,49,47,46,44,42,40
69,70,73,75,77,79,79,79,78,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,60,59,57,56,54,52,50
69,71,74,77,79,81,81,81,80,79,78,78,77,76,76,75,74,73,72,71,70,70,69,67,66,65,64,62,61,59,57
79,77,78,79,81,83,83,84,84,83,82,82,81,81,81,80,80,80,79,79,79,79,79,78,77,75,74,73,71,70,68
80,78,79,80,82,84,85,86,86,86,85,85,85,86,86,86,86,85,85,85,85,85,85,85,84,84,82,81,80,79,77
80,78,80,81,83,86,87,88,88,88,88,88,89,89,89,90,90,90,90,91,91,92,92,92,92,91,91,90,90,89,88
81,79,80,82,85,87,89,91,91,92,92,92,93,93,94,94,94,95,96,98,99,101,102,102,102,101,100,100,99,98,97
81,79,81,83,86,89,90,92,93,94,95,96,97,98,99,101,102,104,106,108,110,113,116,117,118,119,119,119,118,118,118
81,79,82,84,87,91,93,95,96,97,98,99,101,102,104,105,107,109,111,114,116,119,121,123,124,126,127,128,130,131,133
81,80,83,86,90,94,97,99,101,102,104,106,108,110,111,113,114,116,119,123,127,132,137,141,143,144,145,144,144,144,146
81,81,85,89,94,99,103,105,107,108,110,112,115,118,120,122,125,127,131,137,145,153,162,169,175,179,183,185,186,188,190
81,82,88,94,101,108,113,116,119,121,124,127,130,134,136,140,144,148,155,163,172,181,191,201,208,213,218,220,222,224,226
82,86,96,104,114,122,128,132,135,138,141,146,151,155,159,162,166,170,176,184,194,205,217,229,239,248,255,262,268,275,284
82,92,105,117,129,139,146,150,153,156,159,164,170,174,179,183,187,192,199,208,220,232,247,262,275,286,296,303,312,319,334
89,102,117,131,144,155,163,169,172,176,179,183,188,192,197,202,209,217,226,237,249,262,276,293,308,322,335,346,356,364,377
101,115,131,146,161,174,184,191,195,198,200,203,207,212,219,228,239,250,263,275,288,301,314,330,348,365,381,396,407,416,422
115,130,149,167,184,198,209,217,222,225,228,231,236,243,251,261,272,284,296,310,323,338,354,373,394,417,439,458,472,484,486
134,155,179,200,220,237,250,259,265,270,272,276,281,287,297,310,322,336,351,365,378,393,412,436,467,504,540,574,594,612,601
144,172,199,224,246,264,278,289,296,301,305,310,315,322,333,346,360,376,392,408,424,442,462,489,524,565,608,653,679,706,687
186,207,230,252,273,290,306,319,328,335,340,345,350,358,369,382,397,415,437,461,487,517,545,573,606,644,681,725,756,789,787
