15,13,11,9,8,7,7,7,7,7,6,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1
15,14,13,12,11,11,10,10,9,9,8,7,7,6,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2
15,14,14,13,13,12,11,11,10,9,9,8,7,7,6,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2
15,15,15,15,14,13,12,12,11,10,10,9,9,8,8,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,2
15,16,15,15,15,14,13,13,12,12,11,10,10,9,9,8,8,7,7,7,6,6,5,5,5,5,4,4,4,4,3
15,16,16,16,15,15,14,13,13,12,12,11,11,10,10,10,9,9,8,8,7,7,7,6,6,6,6,5,5,5,5
15,17,17,17,16,15,15,14,14,14,13,13,12,12,11,11,10,10,9,9,9,8,8,7,7,7,6,6,6,5,5
17,18,17,17,16,16,15,15,14,14,14,13,13,12,12,11,11,10,10,10,9,9,8,8,8,7,7,7,6,6,6
17,18,18,17,17,16,16,15,15,15,14,14,13,13,12,12,11,11,10,10,10,9,9,8,8,8,7,7,7,6,6
17,18,18,18,17,16,16,16,15,15,15,14,14,13,13,12,12,11,11,11,10,10,9,9,9,8,8,8,7,7,7
17,18,18,18,17,17,17,16,16,16,16,15,15,15,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12,11
17,18,19,19,19,20,20,21,21,21,20,20,20,21,21,22,22,23,24,24,25,27,28,29,32,34,37,40,41,43,43
18,19,21,22,24,26,28,29,30,30,30,30,30,31,32,32,33,35,36,38,41,43,45,47,50,53,55,58,59,60,58
18,21,25,29,34,38,41,43,43,43,41,41,40,40,41,42,43,45,47,50,52,55,58,61,65,69,72,77,81,86,92
18,23,29,36,42,47,52,54,54,54,53,52,52,52,52,52,54,56,59,63,66,70,74,77,81,85,90,95,101,107,114
18,26,35,44,53,60,65,67,68,67,65,63,62,61,60,61,63,65,69,74,79,84,88,93,98,102,107,113,119,127,135
18,31,42,53,62,70,76,80,81,81,79,77,75,73,72,72,74,77,81,86,91,97,102,107,112,117,123,129,136,143,151
23,38,51,63,74,82,88,92,93,92,90,88,85,83,83,83,86,89,94,99,105,111,117,123,129,135,142,149,158,167,178
36,50,63,76,86,94,101,104,106,106,104,102,100,98,97,97,99,103,107,113,120,126,133,141,149,156,165,173,182,192,202
45,62,76,90,101,110,116,120,121,120,119,117,115,115,115,117,119,123,128,133,139,146,155,163,172,181,190,199,209,220,232
59,79,94,109,120,129,136,139,141,141,140,138,137,136,136,138,141,147,154,162,170,180,190,199,208,218,227,237,249,261,278
68,93,113,131,144,154,161,164,165,166,165,163,161,159,159,160,163,168,175,183,193,204,214,226,237,248,260,273,287,302,322
83,108,128,147,162,173,180,183,184,184,183,182,181,182,183,185,187,191,200,210,222,237,251,265,279,294,309,323,333,343,343
