32,25,21,17,14,13,12,11,10,9,9,9,9,9,9,9,9,8,8,7,7,6,6,5,5,4,4,4,4,3,3
32,26,24,21,20,19,19,18,17,15,15,14,14,14,14,13,13,12,11,10,10,9,9,8,8,7,7,6,6,6,6
32,27,26,24,23,23,23,22,21,20,19,18,18,17,16,15,15,14,13,12,12,11,11,10,10,9,9,8,8,8,7
32,30,29,28,27,27,26,26,25,24,24,23,23,23,23,22,22,22,22,21,21,20,19,19,18,17,17,16,16,15,15
32,31,30,30,29,29,29,29,28,28,27,27,27,27,27,27,28,28,27,27,26,25,25,24,24,24,24,24,24,24,24
32,31,31,30,30,30,31,31,31,31,30,31,31,32,33,34,35,35,35,36,35,35,36,36,36,36,36,36,36,36,35
36,33,32,31,31,31,31,32,32,33,33,34,34,35,35,36,36,37,38,38,39,39,40,40,41,42,42,43,43,44,45
36,33,32,31,31,31,32,32,33,33,34,34,35,35,36,37,37,38,38,39,40,40,41,41,42,43,43,44,45,45,46
36,34,33,32,32,32,33,33,34,34,34,35,35,36,37,37,38,39,39,40,41,41,42,43,43,44,45,45,46,47,48
36,34,33,32,32,33,33,34,34,35,35,36,36,37,38,39,39,40,41,41,42,43,44,44,45,46,47,48,48,49,50
36,34,33,33,33,34,35,35,36,36,37,37,38,39,40,41,42,42,43,44,45,46,48,49,50,52,53,54,55,56,56
36,34,34,34,35,36,37,37,38,38,39,39,40,41,42,44,46,47,49,51,53,55,57,59,61,62,64,65,67,69,73
37,35,35,36,37,39,41,42,43,43,43,44,45,46,48,50,53,55,58,60,63,65,68,71,76,80,86,90,93,96,95
37,36,37,39,41,44,46,47,48,48,49,49,51,52,55,58,61,65,69,73,76,80,85,90,97,103,109,113,115,116,115
37,37,40,43,47,50,52,54,55,55,56,56,58,60,63,66,70,75,81,86,91,97,103,110,117,124,130,135,140,144,149
37,40,44,48,53,57,60,62,63,64,64,64,66,68,71,76,81,87,93,100,107,114,121,128,136,143,150,155,161,166,171
37,43,48,53,58,63,67,69,71,72,72,73,74,77,81,87,93,100,108,116,124,132,140,148,156,163,171,177,184,190,195
41,47,53,59,65,70,74,78,80,82,83,84,86,89,93,98,105,112,121,129,138,147,156,166,175,184,193,201,210,219,228
47,54,60,67,73,79,83,87,89,91,92,93,95,98,102,108,115,122,131,141,151,162,173,185,196,207,218,228,238,248,255
54,61,70,78,86,92,97,100,102,104,106,109,111,115,119,124,130,138,147,158,169,181,193,206,218,231,243,256,268,280,288
66,75,85,95,103,111,117,121,124,126,128,130,133,136,140,145,153,161,172,185,199,213,229,244,258,273,288,302,316,329,338
74,87,99,111,121,130,136,140,143,145,146,147,148,151,154,160,168,178,191,206,223,243,264,283,302,319,334,349,365,380,396
78,95,110,125,137,148,155,160,163,165,167,169,171,173,177,181,188,198,212,229,250,272,295,318,339,359,379,398,419,440,465
