3,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,2,2,2,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7
3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,9,9,9,9,9,10,10,10
3,3,3,3,3,4,4,4,5,5,6,7,8,9,10,10,11,11,11,11,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,13,12,12
4,3,3,3,4,4,4,5,6,7,9,11,13,15,16,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,19,18,17,17
4,4,4,4,4,4,5,5,7,9,11,14,17,20,23,24,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4,4,4,4,4,4,5,6,8,10,13,17,21,24,27,28,29,29,29,29,29,29,29,28,28,28,29,29,29,29,29,29,28,28,28,28,28,28,29
4,4,4,4,4,5,6,7,9,12,16,20,24,28,31,33,34,34,33,33,33,33,33,33,33,33,33,33,34,34,33,33,33,33,32,33,33,33,34
4,4,4,4,4,5,6,8,11,14,19,23,28,32,35,37,38,38,38,39,39,39,39,38,38,38,38,38,38,38,37,37,37,37,37,37,38,38,37
4,4,4,4,5,6,7,10,13,17,22,27,32,36,40,42,43,44,44,44,44,44,44,44,44,44,44,44,43,43,42,42,41,41,42,42,43,43,43
4,4,5,5,5,6,9,12,16,21,27,33,38,42,46,48,50,51,51,51,51,51,51,50,50,50,49,49,48,48,48,47,47,47,48,48,48,49,48
5,5,5,5,6,8,11,15,20,27,33,40,46,51,56,59,61,62,63,62,62,62,61,60,60,59,58,57,57,56,56,57,57,58,58,58,57,56,55
5,5,5,6,7,9,12,17,23,31,38,46,52,58,62,66,68,70,71,71,71,72,72,72,71,70,69,68,67,67,67,68,69,69,68,67,65,63,61
5,5,6,6,7,10,14,19,27,36,44,53,61,67,72,75,77,77,77,78,78,80,81,83,84,83,81,79,77,76,77,79,80,81,80,78,76,73,72
