46,24,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,202,143,83,45,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,557,396,245,131,62,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,892,728,555,400,283,174,90,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,1267,1153,1022,910,794,652,510,383,249,153,98,64,50,40,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,1475,1411,1338,1279,1205,1121,1048,976,905,860,802,708,608,498,399,348,334,341,337,311,240,169,96,48,24,27,35,33,37,0
1614,1577,1543,1503,1466,1420,1369,1317,1267,1218,1177,1134,1074,1014,941,876,824,799,776,765,743,708,666,624,577,541,499,445,336,233,0
1632,1615,1596,1574,1551,1522,1487,1451,1416,1382,1352,1318,1273,1228,1169,1115,1074,1047,1024,1011,990,951,910,866,818,772,737,697,640,591,493
1648,1634,1620,1605,1589,1571,1551,1531,1509,1490,1472,1450,1418,1386,1344,1304,1273,1254,1234,1218,1198,1160,1120,1078,1036,999,970,937,881,832,716
1665,1654,1644,1634,1624,1611,1597,1582,1567,1552,1539,1523,1500,1477,1449,1422,1402,1391,1379,1368,1354,1328,1299,1270,1240,1210,1187,1159,1114,1073,988
1685,1678,1673,1666,1660,1650,1639,1627,1614,1604,1596,1585,1570,1553,1530,1508,1491,1480,1467,1457,1445,1422,1398,1375,1352,1329,1308,1283,1250,1217,1164
1717,1716,1717,1713,1709,1700,1689,1678,1670,1666,1665,1663,1653,1642,1622,1603,1590,1583,1573,1566,1555,1534,1510,1487,1461,1436,1413,1385,1347,1310,1248
1750,1762,1774,1782,1788,1785,1776,1769,1761,1762,1768,1771,1765,1761,1739,1719,1712,1712,1707,1711,1709,1686,1664,1645,1622,1602,1589,1570,1527,1490,1399
1766,1788,1814,1839,1864,1884,1905,1925,1941,1960,1981,1989,1977,1974,1956,1944,1961,1995,2009,2030,2034,1995,1958,1931,1895,1870,1862,1843,1803,1772,1685
1781,1806,1833,1860,1889,1916,1944,1972,2001,2030,2062,2091,2112,2135,2156,2178,2204,2245,2286,2328,2369,2404,2435,2466,2480,2497,2504,2489,2442,2402,2295
1801,1830,1860,1889,1919,1946,1973,2000,2028,2057,2088,2120,2151,2183,2212,2242,2275,2311,2347,2385,2423,2457,2491,2525,2559,2594,2632,2669,2706,2745,2782
1847,1892,1934,1974,2010,2040,2068,2095,2119,2153,2194,2231,2260,2297,2314,2336,2381,2434,2483,2543,2591,2604,2617,2632,2642,2669,2713,2761,2792,2834,2824
1957,2030,2125,2209,2292,2357,2409,2453,2490,2542,2619,2687,2726,2794,2839,2888,3012,3188,3337,3516,3681,3724,3747,3770,3751,3792,3908,4071,4100,4228,3911
2147,2272,2446,2600,2758,2879,3005,3120,3229,3356,3524,3647,3740,3890,4058,4211,4454,4754,5011,5234,5486,5619,5712,5751,5808,5877,6011,6238,6222,6321,5611
2400,2581,2845,3074,3299,3500,3709,3874,4060,4288,4570,4775,4989,5236,5501,5709,6060,6439,6814,7122,7520,7749,7945,8048,8236,8365,8599,8969,9098,9327,8742
2755,3063,3405,3714,4000,4277,4576,4848,5190,5578,5952,6272,6600,6900,7232,7611,8112,8668,9249,9803,10368,10787,11150,11432,11760,12123,12491,12985,12988,13093,11843
2919,3333,3768,4165,4528,4873,5231,5572,5996,6503,7015,7533,8126,8692,9237,9864,10525,11143,11773,12400,12934,13325,13639,13847,14134,14506,15080,15986,16925,17984,18738
3221,3705,4242,4770,5263,5759,6269,6699,7222,7818,8439,9127,10036,10855,11658,12516,13289,13775,14290,14840,15257,15574,15981,16385,16734,17264,18022,18906,19834,20903,21810
