178,109,69,33,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,159,102,52,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,217,152,93,54,27,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,309,243,183,129,81,46,25,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,368,320,277,238,199,167,141,112,84,63,40,22,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,410,376,346,320,297,281,263,246,228,211,190,175,162,145,129,112,95,74,57,38,23,14,11,9,12,16,13,10,5,0
455,432,408,386,366,346,330,315,300,285,270,255,242,230,218,207,195,182,169,155,140,129,120,112,107,103,98,91,81,69,50
466,448,428,409,391,373,358,343,328,314,300,285,272,259,247,236,224,213,201,190,178,168,159,150,144,138,132,125,117,108,96
474,457,440,423,407,392,379,365,352,339,325,311,300,288,277,267,256,245,233,221,209,198,189,181,174,168,163,155,146,136,122
482,466,451,436,422,409,397,385,374,362,349,336,324,312,300,289,278,267,256,245,233,223,214,206,199,192,186,177,168,159,148
489,477,464,452,440,428,417,406,395,383,372,359,348,337,327,318,307,297,286,275,264,255,247,239,231,224,217,208,199,190,180
498,487,475,464,454,444,435,426,416,406,395,383,372,361,351,340,330,319,308,298,287,277,267,258,249,241,232,223,213,204,194
505,496,487,478,469,460,451,442,432,422,412,400,390,379,369,358,348,337,326,315,304,294,284,276,267,259,251,241,230,220,209
510,503,494,486,477,469,460,452,443,433,423,413,403,393,383,373,363,353,343,333,323,313,305,297,289,282,275,265,254,243,231
514,508,501,493,486,478,472,464,456,448,440,431,422,414,405,396,387,378,368,359,349,341,335,329,324,318,312,302,290,277,262
519,515,509,504,499,494,490,486,481,475,469,462,457,452,447,442,436,428,420,413,402,395,392,394,397,403,406,395,376,353,321
530,528,526,524,524,524,526,525,525,524,525,527,534,542,550,558,557,558,560,563,562,571,586,602,622,640,653,641,609,570,491
552,555,557,563,571,580,595,608,619,628,640,649,664,684,709,734,749,761,771,779,784,807,843,890,953,1005,1052,1063,1041,1005,913
591,606,617,634,653,674,704,735,765,791,821,843,869,901,942,986,1017,1045,1067,1073,1093,1140,1207,1289,1406,1480,1557,1604,1674,1718,1847
651,667,688,715,747,784,829,874,914,960,1006,1046,1092,1142,1186,1237,1281,1324,1364,1407,1454,1541,1639,1748,1887,2007,2102,2199,2301,2379,2500
727,758,801,847,900,953,1015,1072,1128,1189,1261,1329,1407,1489,1564,1635,1712,1804,1904,2019,2157,2314,2450,2575,2729,2856,2978,3152,3358,3548,3810
767,818,881,945,1017,1084,1159,1233,1315,1401,1504,1612,1710,1802,1894,1972,2050,2170,2301,2445,2615,2812,2961,3122,3312,3480,3653,3905,4233,4543,5066
820,900,981,1069,1165,1254,1347,1446,1554,1652,1777,1914,2041,2164,2311,2453,2596,2773,2928,3061,3189,3326,3434,3590,3805,4030,4291,4631,5067,5490,6149
