0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,17,14,11,8,5,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,33,30,28,26,24,21,18,16,13,11,9,8,7,7,6,5,4,4,4,3,3,3,2,2,2,1,1,1,1,0
39,36,33,31,29,26,24,22,20,19,17,16,15,14,12,11,10,10,9,8,8,7,7,6,5,5,5,4,4,3,3
40,38,35,33,31,28,26,24,22,21,19,18,17,15,14,13,12,11,10,10,9,8,8,7,6,6,5,5,5,4,4
41,39,36,34,32,29,27,25,24,22,21,19,18,17,15,14,13,12,12,11,10,9,9,8,7,7,6,6,5,5,5
42,40,38,35,33,31,29,27,25,23,22,20,19,18,17,16,14,14,13,12,11,10,10,9,8,8,7,7,6,6,6
44,41,39,36,34,32,30,28,26,25,23,22,20,19,18,17,16,15,14,13,12,12,11,10,9,9,8,8,7,7,6
45,42,40,38,35,33,31,30,28,26,25,23,22,21,20,19,17,17,16,15,14,13,12,12,11,10,10,9,8,8,7
47,44,41,39,37,35,33,31,29,28,26,25,24,23,21,20,19,18,17,16,15,15,14,13,12,12,11,10,10,9,8
48,46,43,41,39,37,35,33,31,29,28,27,26,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,11,11,10
49,47,45,43,41,39,37,35,33,32,30,29,28,27,26,24,23,22,21,20,19,19,18,17,16,15,14,13,13,12,11
52,50,48,46,44,42,40,39,37,37,40,42,44,46,48,52,56,61,70,75,69,74,81,81,84,104,104,105,91,74,14
76,70,67,65,65,66,67,69,73,78,88,98,109,116,125,135,150,169,201,232,261,303,357,394,431,486,521,557,607,656,719
111,97,93,89,91,95,102,111,124,138,157,175,192,206,224,242,267,303,356,408,465,545,631,702,792,895,979,1076,1194,1302,1440
141,127,124,123,128,134,146,159,178,201,232,262,295,326,362,396,445,502,576,661,762,879,1012,1152,1306,1483,1666,1880,2119,2365,2647
183,162,161,161,171,184,203,226,255,289,331,374,423,475,535,598,682,773,883,1000,1127,1267,1440,1620,1842,2117,2413,2729,3065,3401,3717
201,191,198,205,221,242,269,299,340,387,444,503,565,630,703,788,894,1023,1166,1328,1481,1656,1841,2056,2316,2681,3077,3548,4011,4499,4881
226,226,236,246,263,285,313,346,394,446,516,593,675,763,876,992,1129,1299,1490,1678,1853,2045,2247,2491,2791,3216,3720,4282,4934,5608,6384
