15,11,8,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14,12,9,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,18,15,12,10,7,6,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,22,20,17,15,13,11,10,8,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,25,23,21,19,18,16,15,13,11,10,8,7,7,6,5,5,4,3,2,2,1,1,1,1,1,0,0,0,0,0
28,26,25,23,22,21,20,18,17,15,14,13,12,11,10,9,8,7,6,5,4,4,3,3,3,2,2,2,1,1,1
29,28,27,26,25,24,24,23,21,20,19,17,17,16,16,15,14,13,12,10,9,8,7,7,6,6,5,5,4,3,2
31,30,30,29,29,28,28,28,27,26,25,24,24,24,24,23,22,21,19,18,16,15,14,14,13,13,12,11,10,8,7
32,32,32,32,32,32,32,32,32,31,31,30,31,31,32,32,31,30,29,27,25,24,24,24,24,24,23,22,20,17,14
33,33,34,34,35,35,36,36,37,36,37,37,38,39,41,42,42,42,41,40,39,38,38,39,39,40,40,38,36,32,28
34,34,35,36,37,39,40,40,41,42,42,43,45,47,49,51,53,53,54,54,54,54,55,55,56,57,57,56,52,49,42
35,36,37,38,40,41,43,44,46,47,48,50,52,54,57,59,61,62,63,64,64,66,69,73,78,83,86,85,79,72,57
35,37,39,41,43,45,47,48,50,52,54,56,58,61,65,69,73,76,80,82,85,87,91,96,102,108,113,115,112,107,95
36,38,41,43,45,48,50,53,55,57,60,63,66,70,75,80,85,90,95,99,103,108,114,121,129,136,141,142,140,136,129
37,40,43,45,48,51,54,58,61,64,67,71,75,80,86,91,97,103,108,114,119,126,136,147,159,171,180,184,185,182,178
38,41,44,48,51,55,59,63,67,71,75,80,85,91,97,104,111,118,126,133,140,150,162,176,191,207,219,226,230,230,230
39,43,46,50,54,58,62,67,72,76,82,88,94,101,109,117,125,133,142,150,160,173,188,206,224,245,263,278,288,297,299
40,44,48,52,56,61,66,71,76,82,88,95,102,110,119,128,138,149,160,172,185,201,219,241,265,291,314,334,349,363,373
41,45,50,54,59,64,70,76,82,89,96,104,112,121,133,143,156,170,185,200,217,235,256,282,312,342,372,396,418,436,455
42,47,52,57,62,69,75,82,90,98,107,116,126,137,150,164,179,195,213,231,251,274,300,331,366,402,440,473,505,536,570
45,50,56,63,70,77,84,92,101,110,120,131,145,159,177,197,218,240,264,288,313,341,376,417,464,512,565,615,673,729,811
50,55,62,68,76,84,92,101,111,121,132,144,159,175,195,217,241,267,295,325,356,393,436,483,537,598,659,725,796,867,949
52,61,70,79,88,98,107,117,128,139,152,165,181,199,220,243,270,298,329,362,398,439,486,539,600,669,743,824,917,1011,1129
