14,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15,11,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,21,18,15,13,10,7,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,24,22,20,18,16,14,12,10,9,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,26,25,23,22,20,19,17,16,14,13,11,9,8,6,5,4,3,2,2,1,1,1,1,1,0,0,0,0,0,0
30,28,27,26,25,24,22,21,19,18,16,15,14,12,11,10,9,8,7,7,6,5,5,4,3,3,3,3,3,2,2
31,30,30,29,28,27,26,25,24,22,21,20,18,17,15,14,13,11,11,10,9,8,8,7,7,6,6,5,5,5,4
33,32,32,31,31,30,29,29,28,28,27,27,26,24,22,21,20,18,18,17,16,15,14,14,12,12,12,12,11,11,9
34,33,34,34,34,34,34,34,34,34,34,34,34,33,32,31,30,30,30,30,29,28,27,27,25,25,25,25,24,24,23
35,35,35,36,36,37,37,38,38,38,39,39,39,39,39,39,38,38,38,38,38,38,37,37,36,36,35,35,35,35,34
36,36,37,38,39,39,40,41,41,42,42,42,43,43,43,44,44,44,44,45,45,45,45,45,44,45,45,45,46,47,47
37,37,38,39,40,41,42,43,44,45,46,47,48,49,49,50,51,52,53,55,56,57,58,59,59,59,60,62,64,67,71
38,39,40,42,43,45,46,48,50,52,53,55,56,57,58,59,61,62,64,67,69,71,72,73,74,75,77,81,85,90,93
39,40,43,44,46,48,50,53,55,57,60,62,64,65,67,69,71,75,79,83,88,92,95,98,100,105,111,120,126,134,134
40,42,45,47,49,52,54,57,60,64,66,69,72,75,78,82,86,91,97,104,112,120,126,134,141,151,162,175,188,202,211
41,44,46,49,52,55,59,62,66,70,74,78,83,87,91,97,104,112,122,134,147,163,176,194,212,238,262,292,307,325,310
42,45,49,52,56,60,65,70,76,82,87,93,98,104,111,119,131,145,161,182,205,229,253,283,310,345,377,414,441,471,481
43,47,52,56,61,66,72,80,87,95,103,112,121,130,139,151,166,185,207,234,265,296,327,365,402,446,492,544,590,639,678
45,50,56,62,68,75,83,92,103,113,124,135,145,156,169,186,206,231,262,297,339,382,427,477,534,600,675,767,853,947,1015
49,56,62,69,77,86,97,108,122,137,152,168,185,203,223,246,273,304,340,383,432,486,546,612,687,782,892,1023,1153,1295,1401
54,62,70,78,87,97,109,124,140,157,174,193,212,232,257,286,316,354,398,448,508,581,657,740,831,940,1054,1190,1321,1463,1569
58,67,77,87,98,111,126,143,161,181,199,221,243,266,296,333,370,414,474,537,609,709,812,922,1047,1199,1342,1508,1663,1822,1943
