26,18,12,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,24,17,12,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,28,23,18,13,9,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,34,30,27,24,21,18,16,15,13,11,8,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,37,34,32,30,27,25,24,22,20,18,16,14,12,10,8,6,5,4,3,3,3,2,2,1,1,0,0,0,0,0
41,38,36,34,33,31,29,27,26,24,22,21,19,17,15,14,12,11,10,9,9,8,7,6,4,3,2,2,2,1,1
43,40,39,37,36,35,33,32,30,29,28,26,24,22,20,19,17,16,15,14,13,12,11,10,8,7,5,5,5,4,4
44,42,42,40,40,39,37,36,35,34,32,31,29,27,26,24,23,21,20,19,19,18,16,15,13,11,9,9,8,8,8
46,45,44,44,43,43,42,41,41,41,40,39,38,37,35,33,31,29,28,27,27,26,24,21,19,16,14,13,13,12,12
47,47,47,47,47,47,47,47,47,47,47,47,46,45,43,42,40,39,37,37,36,35,33,30,27,24,21,20,20,19,18
49,49,50,51,51,52,52,53,53,54,55,55,55,55,54,52,51,50,49,49,48,46,43,40,36,33,30,29,28,28,29
50,51,53,54,55,56,57,58,58,59,60,61,61,62,61,61,61,61,60,60,60,60,57,53,50,46,42,41,41,41,41
52,53,55,56,58,60,61,63,64,65,67,68,69,70,70,70,70,72,72,74,75,75,72,69,65,61,58,58,59,60,60
53,55,57,59,61,63,65,67,69,72,75,77,79,82,83,84,84,86,87,90,93,95,94,92,88,85,83,84,87,91,94
54,56,59,61,64,67,69,72,75,78,81,84,88,91,94,96,99,103,106,110,114,116,115,115,113,112,113,118,125,133,141
55,58,62,65,68,71,74,78,81,85,89,94,98,102,106,109,113,118,123,129,135,140,142,143,144,147,152,163,175,188,199
57,60,64,68,72,76,80,84,89,94,100,106,112,119,125,130,135,142,149,158,166,175,179,182,184,191,201,216,235,256,279
58,62,67,71,77,82,87,92,97,103,110,117,126,134,143,151,159,168,178,189,200,211,220,229,238,251,268,290,315,344,373
60,64,69,74,80,86,92,98,105,113,121,131,141,152,163,174,186,198,210,223,236,250,263,277,293,313,336,364,394,425,456
62,67,73,79,86,93,101,108,116,125,135,147,159,173,186,200,213,227,242,258,274,294,310,331,352,381,410,444,474,507,531
67,72,79,86,94,103,112,122,133,143,156,170,185,202,221,238,256,277,298,321,346,375,403,437,470,509,553,600,653,710,778
71,79,87,95,104,114,124,134,146,158,172,189,208,228,250,271,291,315,339,369,402,440,477,521,561,603,651,706,774,848,952
78,87,96,106,117,128,140,152,165,179,194,212,231,252,275,299,325,356,388,422,461,504,548,601,654,714,781,854,937,1026,1136
