828,586,407,246,134,61,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,702,509,335,202,106,48,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,806,648,494,357,241,142,76,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,1001,894,788,674,555,435,321,209,129,74,36,15,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,1152,1080,1013,940,869,808,756,700,649,602,551,483,408,343,271,186,126,86,44,18,12,6,0,0,0,0,0,0,0,0
1256,1211,1160,1113,1062,1009,962,922,880,844,815,780,737,689,638,584,530,486,439,384,322,257,195,150,126,121,132,146,164,180,198
1296,1265,1227,1191,1150,1109,1071,1034,997,966,935,903,866,825,782,739,695,657,620,581,538,492,448,408,376,354,343,333,329,327,324
1317,1301,1275,1251,1220,1186,1155,1127,1100,1081,1068,1054,1029,997,958,914,866,828,794,754,707,655,607,559,520,499,495,489,494,503,510
1336,1334,1326,1318,1306,1290,1273,1256,1235,1217,1202,1185,1162,1136,1106,1071,1034,1000,969,936,897,853,809,764,723,693,673,653,633,618,587
1351,1358,1359,1362,1359,1353,1346,1336,1322,1311,1304,1293,1275,1253,1225,1189,1152,1118,1086,1054,1017,973,933,893,854,830,818,801,782,769,725
1365,1380,1390,1400,1405,1407,1408,1406,1400,1396,1395,1391,1381,1368,1349,1322,1294,1269,1244,1218,1186,1144,1103,1061,1018,994,984,973,955,948,894
1383,1404,1421,1438,1450,1461,1469,1475,1479,1486,1498,1511,1516,1515,1509,1493,1472,1457,1440,1425,1396,1354,1317,1283,1243,1234,1244,1246,1235,1239,1176
1396,1422,1445,1468,1487,1504,1522,1541,1559,1581,1612,1641,1663,1679,1689,1685,1680,1676,1673,1669,1652,1621,1595,1568,1541,1540,1555,1563,1550,1548,1464
1408,1442,1473,1504,1532,1560,1588,1618,1648,1681,1731,1781,1822,1858,1889,1890,1890,1897,1905,1914,1919,1904,1889,1874,1859,1879,1916,1949,1920,1911,1720
1421,1464,1507,1550,1591,1630,1670,1714,1761,1813,1877,1948,2011,2068,2126,2174,2221,2278,2329,2385,2416,2411,2401,2402,2388,2437,2522,2609,2606,2646,2409
1426,1473,1521,1570,1619,1670,1723,1778,1835,1894,1959,2027,2096,2167,2240,2310,2382,2456,2531,2608,2687,2757,2829,2908,2988,3076,3188,3301,3408,3528,3609
1440,1487,1536,1586,1636,1688,1742,1799,1857,1919,1990,2064,2140,2216,2295,2361,2429,2500,2573,2649,2732,2815,2901,2992,3085,3183,3287,3394,3501,3610,3714
1460,1519,1575,1633,1686,1739,1795,1856,1917,1985,2084,2185,2283,2382,2484,2536,2596,2659,2722,2788,2874,2945,3020,3105,3189,3283,3394,3508,3614,3728,3817
1531,1604,1676,1754,1826,1905,2000,2099,2211,2336,2497,2650,2814,2970,3133,3245,3365,3452,3503,3546,3573,3550,3567,3649,3749,3921,4152,4369,4452,4570,4338
1629,1747,1876,2004,2138,2279,2430,2587,2757,2908,3107,3327,3535,3741,3999,4184,4311,4468,4597,4693,4818,4968,5086,5234,5393,5595,5811,6081,6267,6491,6469
1735,1926,2113,2307,2510,2725,2961,3195,3434,3651,3901,4168,4478,4787,5142,5438,5700,5926,6137,6338,6569,6804,7057,7317,7600,7955,8294,8711,8952,9229,9006
1816,2068,2311,2564,2828,3098,3423,3734,4071,4410,4759,5071,5436,5767,6108,6454,6802,7085,7378,7665,7991,8296,8638,8993,9390,9745,10132,10616,10927,11292,11217
1919,2223,2492,2788,3102,3476,3915,4347,4824,5295,5700,6047,6426,6726,7025,7394,7793,8181,8617,9073,9486,9949,10384,10974,11669,12392,13035,13733,14096,14378,14222
