157,100,65,34,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,128,92,60,36,19,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,166,132,101,74,48,31,17,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,204,183,158,133,110,89,66,52,38,25,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,225,210,195,178,163,150,134,120,107,92,75,65,55,47,38,33,25,20,15,13,11,11,7,5,4,2,0,0,0,0
251,241,229,217,204,193,182,171,160,151,141,129,121,113,104,96,89,80,74,67,60,53,47,38,31,27,23,19,15,11,0
258,250,241,232,222,213,206,198,189,182,175,167,160,154,147,139,132,124,117,110,105,98,94,87,79,74,68,62,56,52,42
263,260,254,249,243,237,231,224,216,209,202,195,189,184,179,172,166,158,153,147,144,139,136,129,121,115,108,102,95,90,78
270,266,262,258,254,250,246,242,237,232,227,221,216,212,208,203,198,192,186,180,175,169,166,160,154,150,146,140,136,133,127
272,269,267,264,261,258,255,252,248,244,240,235,231,228,224,220,216,212,208,203,199,194,190,185,180,176,171,167,163,159,154
276,273,271,268,266,263,261,258,255,252,249,245,241,238,234,230,226,222,218,213,209,204,200,195,190,186,182,178,174,171,165
280,278,276,274,272,271,269,267,265,262,259,256,253,251,248,245,242,238,235,231,227,222,218,212,207,202,198,194,191,189,184
283,282,281,281,280,280,279,278,276,274,271,268,266,264,262,260,258,255,252,249,246,242,239,235,230,227,224,220,217,214,210
287,287,288,289,290,291,292,292,291,291,290,289,288,288,288,287,286,282,280,276,273,269,268,263,260,259,258,258,259,263,265
290,293,297,300,303,307,310,313,315,317,318,319,321,323,324,326,327,327,328,328,327,326,327,323,319,317,317,316,321,327,337
298,303,308,313,318,324,329,334,338,342,345,347,351,356,360,363,366,367,369,370,370,371,371,369,367,366,366,366,367,368,368
305,312,319,326,333,341,348,354,360,367,372,379,386,394,401,406,409,409,411,412,413,416,421,423,423,427,432,434,439,447,453
316,324,333,343,353,364,375,385,393,403,412,422,435,449,460,468,474,478,482,484,488,492,498,500,507,522,540,560,572,590,570
323,336,350,365,380,397,416,434,451,469,485,502,520,539,556,569,577,584,594,601,613,628,643,657,675,697,727,762,805,853,907
340,359,379,400,422,446,472,497,520,544,565,587,610,635,662,689,712,732,754,770,790,809,834,858,883,914,962,1015,1100,1194,1337
373,401,429,460,493,528,566,605,636,668,699,731,770,816,866,915,959,994,1031,1061,1093,1125,1157,1183,1213,1246,1296,1362,1469,1583,1770
409,439,474,513,556,600,649,697,739,775,813,852,898,951,1016,1083,1144,1194,1244,1279,1320,1361,1410,1453,1503,1546,1611,1686,1808,1938,2148
478,492,527,564,612,664,725,786,844,895,946,1000,1061,1124,1198,1275,1339,1389,1445,1494,1550,1608,1675,1737,1810,1875,1960,2069,2206,2350,2539
