82,65,48,32,19,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,77,59,43,28,17,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,89,75,62,48,35,25,16,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,97,88,79,70,61,52,43,35,27,21,16,11,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,101,95,88,81,75,68,62,56,50,46,42,39,35,31,27,22,17,14,10,6,4,3,2,1,2,2,2,2,1,0
109,104,99,94,88,83,78,72,68,63,59,56,53,49,46,43,40,36,33,29,25,22,19,17,16,15,14,12,9,6,0
112,108,103,99,94,90,85,80,76,72,68,65,62,59,56,53,50,46,43,40,37,34,32,30,29,28,26,24,21,17,12
114,111,107,103,99,95,91,86,83,79,75,73,70,68,65,63,59,56,53,49,46,43,40,38,37,36,34,32,29,26,21
117,114,110,107,103,100,96,92,88,85,82,80,77,75,73,70,67,63,60,57,53,51,48,46,44,43,41,39,36,33,29
119,116,113,110,107,103,100,96,93,90,87,85,82,80,77,74,71,68,65,62,59,57,54,52,51,49,47,45,42,39,35
122,120,117,114,111,108,105,101,98,95,93,92,91,89,87,85,82,78,75,71,67,65,63,61,60,60,58,56,52,47,41
124,122,121,119,117,115,113,110,108,106,105,105,105,105,104,102,99,95,91,88,84,83,82,82,83,83,81,77,71,64,56
126,126,126,125,125,124,122,121,120,119,120,123,127,129,131,131,129,126,122,119,115,115,115,117,120,122,120,117,108,96,79
128,129,131,132,133,134,134,134,134,134,135,139,143,147,150,152,152,152,151,150,150,151,152,155,158,161,159,157,150,141,127
130,133,136,139,142,144,145,146,146,147,150,154,158,163,168,172,174,176,177,178,179,181,183,187,192,196,197,196,190,183,171
132,137,141,144,147,150,152,154,156,159,162,167,171,177,182,186,189,193,196,199,203,209,214,221,228,234,236,239,238,235,232
136,142,146,150,153,156,159,162,165,168,173,180,187,195,203,210,216,222,227,232,241,253,265,281,300,316,323,331,324,312,281
141,146,150,155,159,162,166,169,174,180,188,199,211,224,238,250,262,274,286,299,316,336,358,380,403,420,431,440,429,417,367
145,151,157,163,170,176,182,189,197,206,218,231,246,262,279,295,313,331,348,367,392,417,447,479,515,545,566,586,584,579,536
148,158,168,178,187,197,206,216,228,241,256,274,294,314,336,358,382,407,435,463,494,527,563,601,641,677,709,735,753,767,767
160,169,182,194,207,221,235,249,266,285,306,329,357,383,411,442,477,510,546,583,622,662,710,761,813,865,920,972,1042,1110,1222
168,178,192,207,223,241,259,278,298,322,348,377,411,446,480,519,565,614,664,722,781,839,899,961,1024,1085,1147,1213,1286,1357,1441
177,189,204,221,239,259,281,304,330,359,391,427,468,513,562,615,675,739,810,886,970,1061,1159,1266,1383,1510,1650,1801,1964,2131,2315
