4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,23,16,10,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,34,27,21,15,10,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,40,36,33,30,27,24,21,18,14,10,7,5,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0
46,42,39,36,34,31,29,27,25,23,21,19,17,15,14,12,11,10,10,9,8,7,7,6,6,5,5,4,4,4,3
47,44,41,38,36,34,32,30,27,25,23,22,20,18,17,16,14,13,13,12,11,10,9,9,8,7,7,6,6,5,5
49,46,43,40,38,35,33,31,29,27,26,24,22,21,19,18,17,16,15,14,13,12,11,11,10,9,9,8,8,7,7
50,47,44,42,39,37,35,33,31,29,28,26,24,23,22,20,19,18,17,16,15,14,14,13,12,11,11,10,9,9,8
51,48,46,43,41,39,37,35,33,31,29,28,26,25,23,22,21,20,19,18,17,16,15,14,13,12,12,11,10,10,9
52,49,47,45,43,40,39,37,35,33,31,29,28,26,25,23,22,21,20,19,18,17,16,15,14,13,13,12,11,11,10
54,51,49,47,45,43,41,39,37,35,33,31,30,28,27,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12
56,53,51,49,48,46,45,43,41,39,38,36,34,33,31,30,29,28,28,26,26,24,23,22,21,20,19,18,17,16,14
58,56,54,53,52,51,51,51,50,50,50,50,48,48,47,45,46,46,47,48,51,52,53,53,52,50,48,47,46,45,43
60,59,59,60,60,61,62,63,64,65,67,67,68,69,72,75,81,89,97,108,122,131,139,148,159,164,175,190,195,201,184
64,64,66,68,70,73,76,79,82,86,91,95,100,109,118,130,148,168,187,210,233,253,282,315,357,400,458,512,571,630,691
67,70,74,78,82,88,94,101,108,117,128,139,151,167,184,204,230,261,294,333,372,413,463,522,591,669,760,849,945,1041,1148
70,76,82,89,97,107,117,129,142,157,172,190,207,230,253,284,316,357,404,459,520,588,660,739,828,924,1033,1153,1283,1416,1556
77,84,92,102,112,125,139,155,172,191,212,238,263,294,327,365,406,458,520,598,687,788,901,1028,1167,1316,1480,1647,1813,1981,2139
85,94,106,119,134,153,172,194,218,247,279,317,357,405,453,509,569,648,738,843,954,1083,1221,1377,1551,1767,1995,2233,2439,2657,2768
93,104,119,134,153,175,199,226,254,289,328,380,434,500,569,652,733,833,939,1072,1205,1370,1544,1756,1961,2218,2475,2750,2998,3265,3472
107,118,136,155,179,205,232,263,299,342,392,457,522,595,675,772,876,1014,1162,1343,1525,1740,1942,2207,2489,2835,3163,3531,3765,4011,3990
