25,15,10,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,22,15,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,30,22,16,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,39,34,30,25,21,17,13,9,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,43,40,36,32,29,26,22,19,16,12,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,47,44,41,38,35,32,29,26,23,21,18,16,14,12,10,9,7,6,6,5,5,4,4,4,3,3,2,1,1,0
51,49,47,44,42,40,38,36,33,31,29,26,25,23,20,18,17,15,14,13,13,13,12,12,11,10,9,7,6,5,3
54,51,49,48,46,44,43,41,39,38,36,34,32,31,29,28,27,26,25,24,24,23,23,22,21,20,18,16,14,11,9
55,53,52,51,49,48,47,45,44,43,41,40,39,37,36,35,34,33,32,32,31,31,31,31,30,28,27,25,23,21,19
56,55,55,54,53,52,51,50,49,48,47,46,45,44,43,43,42,41,40,40,39,39,39,38,37,36,34,33,31,29,26
57,57,57,56,56,55,55,54,53,53,52,51,51,50,49,48,48,47,46,46,45,45,45,44,44,42,41,39,37,36,34
59,59,59,59,58,58,57,57,56,56,55,55,54,54,53,53,52,52,51,51,51,51,51,51,50,49,48,46,44,43,41
60,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,61,63,64,66,66,66,64,62,59,55,49
61,61,62,62,63,63,64,64,64,64,65,65,66,67,68,69,69,70,71,72,74,76,78,80,82,82,83,83,83,83,84
62,63,64,65,65,66,67,68,68,69,70,71,73,74,75,76,77,79,81,85,89,94,99,105,109,111,112,110,109,106,105
64,66,67,69,70,72,74,75,77,78,80,82,86,88,91,94,96,99,102,108,114,123,133,143,153,160,164,164,166,166,175
67,69,72,75,77,80,83,85,88,92,96,100,106,112,117,122,127,132,138,145,153,163,176,189,203,215,226,232,239,242,251
69,72,76,80,83,87,91,95,100,105,111,118,125,132,139,146,154,164,174,186,199,215,232,251,272,291,308,322,341,355,386
71,76,82,87,92,98,104,110,116,124,133,142,152,162,171,181,192,206,220,240,259,282,308,335,363,390,414,436,464,488,532
76,81,88,94,100,108,116,124,133,145,156,169,182,195,207,221,235,253,273,299,325,358,391,427,463,500,538,578,634,688,780
86,92,100,108,118,128,139,150,161,174,188,203,221,238,257,281,304,330,359,391,420,456,492,534,583,636,694,760,837,912,1011
94,100,110,120,132,144,157,169,182,197,213,232,255,277,301,330,359,389,423,460,496,538,582,633,688,748,813,886,966,1049,1151
110,115,126,137,151,164,179,193,208,226,245,267,293,318,347,381,414,453,499,546,593,652,710,777,845,915,985,1054,1135,1212,1325
