453,387,305,229,154,92,48,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,444,377,312,242,175,116,71,38,17,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,496,440,389,334,273,218,169,121,79,49,26,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,542,506,470,435,396,355,313,268,218,169,123,84,49,27,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,574,548,522,495,466,436,403,370,336,300,265,241,209,177,147,117,75,46,25,9,0,0,0,0,0,0,0,0,0,0
617,598,578,558,539,517,495,470,446,418,390,363,345,320,298,276,256,225,201,173,148,125,108,93,87,77,65,51,37,16,0
628,613,600,586,573,556,538,516,493,469,446,425,412,394,378,362,345,322,305,287,270,253,240,222,206,188,170,155,142,129,117
637,629,620,610,598,585,569,551,532,512,492,473,460,444,430,416,400,380,362,343,324,307,292,276,262,247,233,221,209,198,186
645,641,635,629,622,613,602,588,573,557,541,525,514,501,489,476,463,444,428,410,392,374,359,341,326,309,294,278,263,248,230
651,649,645,640,635,628,619,609,597,584,570,557,546,533,521,509,497,481,465,449,432,415,399,383,367,352,337,324,310,297,282
656,656,654,652,649,643,636,627,617,604,592,580,569,557,546,534,521,506,491,475,459,443,429,414,399,384,368,354,339,325,309
661,661,661,661,659,656,650,643,634,623,611,600,591,581,571,562,550,535,521,506,491,475,462,446,432,417,400,385,368,352,331
667,668,670,670,670,668,663,658,651,642,633,624,617,608,600,592,582,569,557,544,531,517,506,492,479,464,448,433,416,399,377
671,675,677,679,680,679,676,671,666,658,650,643,638,633,628,622,614,602,591,578,565,552,542,528,515,501,486,471,455,439,419
680,684,688,691,694,694,693,690,686,680,674,669,666,662,658,654,647,635,625,614,603,593,586,575,565,553,539,526,509,493,467
688,694,702,708,714,717,718,717,715,710,705,702,702,702,703,704,700,687,678,669,661,656,659,653,648,637,624,613,597,582,548
698,707,717,728,738,745,751,753,752,747,745,745,753,761,774,784,790,780,774,769,766,764,777,779,780,774,767,756,739,724,680
713,725,739,753,768,782,795,805,814,819,821,823,836,846,862,884,904,904,912,920,926,936,965,981,1008,1026,1051,1085,1132,1178,1234
730,750,773,795,819,841,860,880,896,909,920,935,958,981,1013,1049,1086,1105,1136,1170,1207,1245,1301,1342,1389,1424,1460,1514,1580,1645,1727
751,782,820,858,898,937,975,1012,1045,1075,1103,1130,1165,1194,1232,1276,1322,1358,1413,1468,1524,1589,1665,1737,1834,1925,2021,2142,2277,2401,2563
799,835,886,935,993,1052,1112,1170,1231,1285,1337,1395,1457,1513,1581,1650,1710,1771,1846,1926,2017,2118,2223,2318,2430,2539,2673,2851,3075,3306,3600
823,882,952,1018,1089,1164,1239,1313,1393,1460,1524,1596,1676,1749,1848,1955,2051,2143,2255,2369,2494,2628,2780,2930,3083,3244,3432,3640,3873,4119,4391
892,963,1042,1119,1200,1289,1381,1466,1562,1653,1751,1853,1965,2077,2199,2319,2434,2545,2671,2808,2957,3134,3334,3534,3735,3929,4126,4305,4531,4750,5083
