0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,15,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,45,29,15,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,85,66,48,31,20,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,120,108,94,82,71,58,45,35,23,13,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,151,142,132,123,115,105,93,81,69,57,49,45,42,40,38,33,26,20,12,7,3,1,0,0,0,0,0,0,0,0
168,160,152,144,136,129,121,113,105,97,90,84,80,75,71,67,62,56,51,45,41,38,36,34,32,30,28,26,23,21,17
175,167,160,153,145,138,131,123,116,109,102,96,92,87,83,79,74,68,63,59,55,52,50,47,45,42,40,37,35,32,29
181,174,167,161,154,147,140,133,126,120,113,108,104,99,95,91,86,80,75,70,66,63,60,58,55,52,49,46,43,40,36
187,181,175,169,163,157,151,144,138,132,126,121,118,114,110,106,100,94,89,84,80,77,75,72,70,66,63,60,57,54,51
190,186,182,177,173,168,163,157,151,146,140,136,133,129,126,122,116,110,105,100,96,93,90,88,85,82,79,76,72,69,65
195,191,187,183,179,175,170,165,161,156,152,148,145,141,137,133,129,123,118,114,110,107,104,101,98,95,91,88,85,81,78
197,194,191,188,184,180,176,172,168,163,159,155,152,149,146,142,138,133,129,124,121,118,115,113,110,107,104,100,97,94,91
202,200,197,195,192,189,185,181,177,173,169,166,165,163,160,157,153,148,143,139,136,133,131,129,126,122,119,115,111,108,103
205,205,204,203,202,201,199,196,192,189,186,185,185,184,183,180,177,171,165,161,159,158,159,159,159,157,155,151,145,139,125
208,209,210,210,211,212,212,211,211,211,212,214,218,221,224,225,224,220,217,215,217,218,223,227,230,230,233,234,230,230,211
213,215,219,221,224,227,229,229,231,233,235,240,246,251,255,258,260,259,259,261,266,271,278,285,290,290,292,294,293,295,290
220,228,236,243,250,256,261,263,268,274,283,296,312,325,335,338,339,335,332,336,346,353,367,383,396,407,423,442,446,458,428
236,254,268,281,292,304,315,325,338,349,364,383,404,421,438,448,457,461,471,487,513,532,558,581,597,605,624,649,663,687,676
266,294,317,337,354,370,383,398,418,439,466,500,535,569,605,630,650,665,681,697,734,763,793,818,846,853,877,920,958,1008,1034
309,341,373,403,431,460,486,509,539,571,608,653,704,755,808,853,893,923,945,963,993,1020,1046,1083,1125,1158,1208,1288,1380,1484,1613
336,379,426,467,508,543,579,613,656,703,754,807,856,908,954,999,1039,1077,1103,1133,1176,1215,1260,1310,1358,1398,1461,1547,1645,1761,1877
394,437,489,536,590,643,699,750,814,876,936,995,1055,1114,1161,1204,1252,1308,1346,1409,1486,1549,1590,1637,1664,1690,1751,1863,2025,2216,2484
