8,6,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,7,6,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,10,9,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14,13,12,11,10,9,8,7,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,15,15,14,13,12,11,10,9,9,8,7,7,6,5,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0
18,17,16,15,14,14,13,12,12,11,10,9,9,8,7,7,6,6,5,4,4,3,3,3,2,2,2,1,1,1,0
19,18,18,17,16,16,15,15,14,13,13,12,11,10,10,9,8,8,7,6,6,5,5,4,4,3,3,3,2,2,1
20,19,19,18,18,18,17,17,17,16,16,15,14,13,13,12,12,11,10,9,8,8,7,6,6,5,4,4,3,3,2
21,21,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,18,17,16,15,14,12,11,9,8,7,6,4
22,22,22,22,22,23,23,23,24,24,24,25,25,25,26,27,27,28,28,29,28,28,28,28,27,26,26,24,22,19,12
23,23,23,24,24,25,25,26,27,28,29,30,30,31,32,33,34,35,37,38,40,41,42,43,43,44,45,45,44,43,38
24,24,25,25,26,27,27,28,30,31,32,33,34,35,36,38,40,42,44,46,48,50,52,53,55,57,59,60,61,62,60
24,25,26,27,27,28,29,31,32,33,35,36,37,39,41,43,45,47,49,52,54,57,59,61,63,65,67,70,72,75,75
25,26,27,28,29,30,31,32,34,35,37,38,40,42,44,46,48,51,54,57,60,64,67,69,71,74,77,81,85,89,89
26,26,27,29,30,31,32,34,36,37,39,41,43,45,47,50,53,57,61,66,71,75,80,83,87,93,99,107,115,122,123
26,27,28,30,31,32,34,36,38,40,42,44,47,50,53,57,61,66,72,78,84,91,98,103,110,120,130,143,151,160,151
26,28,29,31,32,34,36,38,41,43,46,49,53,57,60,65,70,76,84,94,103,112,122,131,140,153,167,183,198,215,221
27,29,31,32,34,36,39,41,45,48,52,55,60,64,68,74,81,88,98,109,120,131,144,156,169,185,204,225,247,271,291
28,30,32,34,36,39,42,45,48,53,57,61,66,72,78,84,93,101,113,126,140,154,170,186,203,224,248,273,302,332,360
29,31,33,36,39,42,45,49,53,58,63,70,76,84,92,102,112,124,138,154,172,193,216,239,265,292,320,351,382,414,443
30,33,36,39,43,47,51,56,62,68,75,83,92,101,111,124,137,152,168,188,210,236,267,299,333,369,408,452,501,555,618
31,35,39,43,48,53,59,65,72,80,88,98,109,122,137,155,174,194,215,240,268,301,339,381,426,477,529,585,635,688,724
32,37,42,47,52,58,65,72,80,90,101,113,128,145,163,183,206,229,255,285,320,362,409,463,518,582,648,723,802,884,971
