0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,4,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,7,6,6,6,5,5,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0
8,7,7,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1
8,8,8,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2
9,9,9,8,8,8,7,7,7,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3
10,10,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4
11,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9
11,11,11,11,11,11,11,11,12,12,12,12,13,13,14,14,15,15,16,16,17,18,18,19,19,19,19,19,20,21,25
12,12,12,12,12,13,13,13,14,14,15,16,17,18,19,20,21,23,24,25,26,28,30,32,33,35,36,38,40,43,49
12,13,13,14,14,15,15,16,17,18,19,20,21,23,25,26,28,31,33,35,38,41,43,47,49,52,55,59,64,70,80
13,13,14,15,16,17,18,19,20,21,23,24,26,28,30,33,35,39,42,46,51,56,61,66,71,76,79,84,89,94,103
13,14,15,16,17,18,19,21,22,24,26,28,31,33,37,40,44,48,53,58,64,70,77,84,92,100,107,116,127,138,158
14,15,16,18,19,21,22,24,26,28,31,34,37,41,45,50,54,60,66,73,81,90,99,109,119,128,137,146,158,170,190
15,16,18,20,22,24,26,28,30,33,36,39,43,48,53,59,65,72,80,89,99,110,121,135,150,164,181,199,222,244,275
17,19,21,23,25,28,31,34,37,40,44,49,54,60,68,76,86,96,108,119,133,147,161,177,195,212,234,259,292,324,371
20,21,24,26,29,32,36,39,43,47,51,56,62,68,77,87,98,111,125,140,157,174,194,216,240,266,295,325,359,393,431
22,24,27,30,33,37,41,45,50,54,59,64,71,78,87,98,110,125,141,159,180,202,225,249,276,304,336,370,406,443,481
