2155,1857,1535,1254,1004,846,746,694,666,648,602,578,560,546,541,540,517,483,462,433,395,363,339,298,265,252,240,234,233,234,224
2155,1919,1657,1424,1208,1076,1008,987,1001,1026,1024,995,954,905,857,807,762,719,673,628,583,541,503,463,428,398,370,346,325,306,285
2155,1996,1807,1653,1501,1422,1379,1359,1337,1321,1272,1208,1140,1073,1008,944,884,826,772,719,670,624,582,541,504,471,440,411,384,359,334
2206,2143,2007,1899,1768,1686,1626,1579,1527,1484,1417,1343,1273,1209,1148,1088,1029,972,916,863,811,762,717,672,631,594,558,525,494,464,435
2315,2266,2135,2031,1897,1813,1752,1705,1655,1617,1553,1480,1410,1345,1282,1221,1160,1101,1042,987,932,881,833,787,743,704,666,631,597,564,530
2442,2378,2233,2120,1981,1894,1838,1799,1757,1728,1677,1614,1554,1499,1446,1394,1343,1292,1244,1194,1144,1094,1045,994,946,901,858,817,778,739,701
2462,2409,2276,2175,2049,1979,1941,1920,1896,1884,1844,1789,1735,1683,1635,1590,1547,1508,1469,1427,1382,1334,1283,1230,1179,1131,1084,1040,997,955,913
2475,2431,2315,2231,2125,2076,2059,2058,2052,2058,2034,1993,1950,1907,1862,1815,1767,1719,1670,1622,1571,1522,1472,1421,1371,1325,1279,1235,1191,1148,1104
2484,2454,2352,2285,2196,2163,2161,2170,2170,2176,2149,2102,2052,2001,1949,1897,1844,1792,1742,1692,1641,1591,1540,1490,1440,1393,1346,1302,1258,1215,1173
2496,2480,2392,2336,2256,2230,2230,2239,2238,2242,2215,2169,2122,2074,2026,1980,1934,1889,1847,1804,1758,1713,1668,1622,1576,1533,1490,1451,1412,1375,1338
2506,2500,2420,2371,2297,2275,2280,2295,2303,2319,2306,2276,2244,2212,2179,2148,2116,2085,2053,2026,1988,1954,1919,1884,1846,1817,1791,1773,1755,1742,1721
2513,2517,2443,2403,2335,2322,2340,2372,2399,2439,2454,2464,2479,2505,2546,2606,2647,2688,2746,2812,2853,2932,3010,3064,3120,3228,3332,3520,3652,3828,3794
2519,2532,2467,2436,2382,2388,2441,2522,2614,2730,2843,2954,3079,3237,3431,3667,3937,4241,4576,4939,5267,5592,5909,6179,6409,6715,7057,7486,8010,8595,9262
2523,2542,2491,2483,2465,2535,2680,2875,3099,3354,3583,3784,3991,4205,4466,4776,5112,5482,5926,6354,6783,7272,7751,8157,8636,9178,9761,10520,11436,12384,13498
2530,2559,2544,2585,2640,2796,3032,3306,3592,3886,4135,4356,4626,4938,5338,5811,6348,6890,7476,8053,8657,9282,9909,10483,11097,11740,12412,13239,14076,14970,15709
2539,2595,2633,2729,2861,3107,3434,3796,4169,4534,4839,5117,5446,5832,6309,6880,7540,8237,8940,9625,10345,11061,11733,12497,13362,14264,15299,16532,17905,19317,21016
2565,2667,2771,2928,3128,3435,3819,4250,4693,5132,5531,5901,6309,6759,7302,7923,8680,9485,10337,11179,12074,12959,13922,14953,16101,17300,18574,19850,21245,22608,24209
2708,2862,3029,3244,3494,3841,4269,4737,5231,5754,6266,6761,7292,7860,8490,9189,9994,10846,11749,12685,13664,14696,15829,17098,18460,19944,21522,23135,24900,26670,28773
2818,3088,3326,3611,3910,4300,4776,5305,5867,6476,7094,7701,8347,9053,9805,10608,11487,12409,13329,14297,15298,16419,17658,19154,20786,22640,24553,26522,28458,30403,32341
2986,3342,3679,4049,4433,4906,5447,6025,6689,7397,8122,8856,9650,10415,11212,12059,12969,13921,14967,16119,17358,18719,20222,21939,23777,25795,27873,29953,31757,33613,34813
3195,3741,4196,4690,5150,5694,6330,7007,7751,8575,9434,10300,11215,12183,13201,14277,15361,16500,17675,18944,20277,21823,23516,25415,27440,29634,32062,34656,37822,41028,45425
3451,4093,4669,5263,5813,6438,7098,7804,8581,9518,10580,11727,12883,14139,15367,16491,17614,18924,20231,21581,23136,24907,26847,29043,31589,34335,37384,40523,44184,47826,52407
3682,4513,5283,6111,6925,7895,8940,10101,11219,12391,13430,14496,15591,16831,18146,19677,21174,22809,24556,26361,28216,30425,32837,35578,38862,42419,46168,49831,53558,57075,60685
