2047,1993,1905,1811,1700,1582,1457,1344,1241,1146,1060,985,913,845,782,723,667,615,567,523,483,447,414,384,357,331,306,282,259,236,215
2075,2030,1947,1860,1753,1641,1523,1413,1310,1214,1127,1049,974,907,844,786,730,679,630,585,544,508,475,446,418,391,364,337,309,282,255
2092,2056,1983,1904,1803,1696,1580,1468,1363,1268,1183,1107,1037,972,911,854,801,751,706,666,631,600,572,547,520,493,465,434,402,371,341
2105,2076,2011,1941,1852,1757,1654,1555,1464,1379,1302,1232,1164,1102,1042,986,934,888,843,803,764,728,692,660,629,599,569,539,509,479,447
2115,2091,2032,1968,1885,1795,1698,1604,1516,1436,1363,1298,1236,1179,1123,1072,1023,978,935,898,861,828,796,765,734,705,674,645,614,584,551
2121,2101,2047,1989,1913,1829,1736,1647,1562,1484,1414,1353,1297,1246,1198,1152,1108,1065,1024,984,945,909,875,845,818,793,769,747,723,700,671
2126,2112,2062,2008,1935,1856,1769,1686,1608,1536,1471,1414,1360,1311,1265,1224,1185,1148,1114,1082,1050,1023,999,976,954,932,909,884,862,838,820
2129,2119,2074,2024,1957,1883,1802,1723,1651,1586,1527,1478,1434,1393,1353,1318,1282,1245,1209,1174,1139,1108,1081,1057,1038,1023,1009,997,987,977,968
2133,2126,2084,2039,1974,1905,1829,1756,1691,1633,1583,1538,1499,1461,1424,1389,1355,1321,1290,1259,1230,1206,1186,1169,1162,1161,1160,1163,1163,1160,1146
2135,2133,2097,2056,1997,1933,1862,1794,1732,1678,1630,1589,1553,1522,1492,1466,1442,1419,1399,1379,1360,1344,1329,1313,1308,1308,1312,1325,1339,1352,1355
2137,2140,2109,2073,2018,1959,1894,1833,1779,1734,1695,1662,1636,1615,1595,1575,1559,1542,1523,1504,1487,1468,1453,1441,1440,1447,1460,1478,1499,1519,1534
2139,2148,2125,2097,2051,2001,1941,1886,1837,1796,1763,1738,1720,1706,1694,1678,1668,1656,1643,1630,1620,1606,1595,1585,1583,1589,1607,1636,1678,1724,1784
2141,2155,2139,2118,2080,2037,1985,1936,1892,1857,1828,1809,1797,1790,1782,1773,1766,1756,1746,1737,1730,1722,1718,1719,1727,1743,1770,1806,1860,1916,2001
2143,2160,2149,2132,2100,2064,2020,1979,1943,1915,1895,1888,1888,1895,1901,1904,1902,1900,1891,1888,1887,1889,1893,1907,1920,1945,1974,2010,2045,2085,2118
2145,2164,2157,2145,2118,2089,2052,2019,1991,1972,1959,1959,1967,1983,1999,2014,2027,2033,2033,2036,2037,2039,2046,2060,2073,2088,2103,2117,2130,2143,2159
2147,2169,2164,2156,2134,2111,2084,2063,2049,2041,2039,2042,2048,2058,2067,2076,2084,2090,2093,2096,2099,2103,2109,2118,2127,2138,2149,2160,2170,2179,2190
2149,2174,2172,2167,2148,2129,2106,2088,2076,2070,2069,2073,2080,2089,2099,2108,2116,2123,2128,2132,2136,2141,2146,2152,2158,2166,2175,2184,2194,2204,2218
2154,2182,2181,2179,2162,2145,2124,2109,2099,2096,2096,2101,2107,2114,2122,2129,2135,2141,2145,2150,2154,2159,2164,2171,2181,2196,2215,2242,2275,2311,2356
2160,2195,2200,2202,2188,2170,2146,2129,2117,2112,2114,2123,2134,2150,2166,2181,2199,2214,2222,2228,2234,2240,2254,2278,2313,2358,2403,2451,2498,2540,2583
2169,2216,2233,2244,2236,2220,2196,2178,2168,2167,2181,2206,2243,2287,2335,2379,2419,2446,2468,2476,2479,2487,2501,2517,2551,2597,2638,2684,2738,2782,2846
2185,2246,2280,2309,2321,2327,2324,2325,2333,2356,2392,2445,2511,2583,2654,2725,2792,2845,2888,2914,2937,2950,2967,2992,3036,3081,3137,3199,3274,3344,3449
2198,2273,2324,2374,2411,2451,2485,2525,2571,2621,2672,2727,2785,2847,2913,2979,3044,3108,3164,3214,3262,3306,3350,3394,3438,3480,3532,3580,3646,3712,3811
2209,2304,2386,2467,2542,2619,2693,2769,2848,2928,3010,3095,3183,3274,3367,3463,3562,3663,3766,3871,3978,4087,4197,4309,4424,4540,4657,4777,4898,5019,5142
