1866,1925,1866,1809,1713,1602,1487,1401,1328,1255,1200,1153,1095,1032,968,901,832,768,708,656,608,562,519,480,436,395,357,318,292,270,278
1939,2004,1982,1955,1888,1799,1697,1597,1509,1433,1372,1316,1268,1218,1162,1110,1070,1025,976,931,882,824,771,726,680,639,603,566,538,512,512
2004,2091,2092,2084,2031,1947,1851,1759,1681,1616,1574,1532,1490,1440,1385,1327,1276,1224,1173,1124,1070,1013,960,911,867,829,792,756,720,684,651
2042,2154,2182,2198,2168,2110,2031,1954,1885,1827,1781,1740,1706,1671,1638,1613,1600,1582,1560,1531,1491,1439,1389,1342,1299,1260,1224,1188,1152,1117,1080
2069,2200,2239,2266,2246,2199,2133,2076,2032,1999,1983,1977,1966,1950,1935,1920,1908,1896,1885,1865,1836,1800,1764,1721,1680,1642,1602,1560,1512,1465,1395
2088,2227,2274,2312,2306,2276,2232,2200,2178,2164,2161,2159,2150,2137,2124,2112,2104,2092,2079,2060,2035,2004,1975,1941,1905,1866,1823,1776,1727,1677,1625
2096,2243,2303,2355,2363,2350,2321,2300,2285,2274,2271,2269,2261,2249,2236,2222,2207,2191,2174,2152,2129,2102,2076,2047,2017,1985,1950,1913,1875,1836,1797
2103,2260,2328,2388,2403,2395,2372,2354,2343,2336,2338,2339,2334,2326,2318,2311,2304,2297,2289,2277,2264,2252,2240,2224,2206,2179,2147,2114,2080,2044,2010
2107,2267,2340,2403,2423,2419,2402,2391,2387,2388,2398,2407,2411,2413,2413,2415,2419,2423,2423,2423,2422,2419,2414,2406,2397,2384,2368,2360,2343,2329,2294
2111,2279,2360,2432,2460,2464,2455,2450,2451,2456,2470,2483,2492,2504,2518,2535,2557,2582,2599,2618,2644,2675,2709,2754,2795,2817,2827,2826,2809,2787,2760
2114,2285,2369,2444,2477,2486,2482,2486,2496,2510,2535,2558,2575,2600,2633,2673,2726,2792,2851,2905,2958,3004,3040,3080,3118,3152,3189,3231,3287,3345,3440
2118,2295,2385,2467,2507,2525,2533,2548,2573,2604,2646,2690,2728,2771,2824,2881,2949,3031,3114,3191,3269,3338,3391,3440,3489,3534,3590,3660,3747,3839,3961
2122,2305,2401,2489,2536,2561,2577,2600,2632,2672,2723,2778,2831,2888,2953,3023,3103,3195,3294,3387,3479,3559,3622,3671,3730,3786,3862,3959,4097,4234,4442
2128,2317,2420,2515,2570,2603,2628,2663,2707,2758,2823,2891,2958,3029,3112,3206,3312,3432,3564,3692,3815,3919,4003,4067,4137,4200,4307,4451,4690,4936,5360
2135,2336,2447,2553,2620,2664,2703,2754,2814,2881,2967,3055,3144,3240,3347,3462,3594,3742,3905,4070,4236,4385,4499,4588,4678,4766,4905,5109,5421,5752,6270
2144,2355,2478,2597,2676,2735,2788,2854,2930,3018,3124,3234,3348,3470,3593,3731,3881,4044,4223,4411,4590,4755,4890,4999,5118,5270,5465,5744,6053,6398,6706
2152,2375,2518,2655,2754,2832,2901,2982,3069,3170,3294,3429,3571,3734,3900,4075,4260,4460,4659,4872,5085,5285,5448,5595,5744,5912,6120,6417,6740,7101,7436
2161,2395,2552,2702,2814,2908,2994,3093,3203,3332,3484,3654,3828,4018,4212,4407,4603,4813,5026,5242,5466,5681,5883,6072,6277,6506,6776,7107,7460,7843,8188
2178,2420,2592,2756,2884,3000,3108,3227,3362,3515,3689,3879,4076,4285,4496,4707,4920,5145,5370,5600,5842,6094,6340,6579,6849,7152,7491,7912,8397,8904,9465
2207,2460,2640,2815,2955,3087,3212,3347,3498,3677,3877,4105,4357,4627,4893,5160,5418,5669,5909,6145,6385,6640,6895,7164,7472,7830,8221,8689,9181,9699,10193
2238,2525,2736,2941,3110,3283,3452,3634,3849,4092,4341,4609,4897,5175,5447,5732,6036,6350,6677,7020,7349,7660,7949,8232,8541,8925,9363,9900,10476,11089,11661
2285,2587,2826,3063,3268,3479,3699,3946,4212,4506,4795,5092,5372,5665,5976,6324,6686,7102,7536,7998,8431,8896,9327,9733,10094,10521,10913,11357,11835,12332,12856
2305,2665,2978,3272,3538,3777,4013,4271,4580,4934,5326,5729,6113,6469,6794,7115,7458,7895,8412,8999,9628,10298,10868,11329,11698,12015,12313,12694,13372,14055,15375
