"forecast_date","target","target_end_date","location","type","quantile","value"
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.01,25219
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.025,25223
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.05,25229
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.1,25234
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.15,25242
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.2,25247
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.25,25252
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.3,25256
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.35,25260
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.4,25264
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.45,25268
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.5,25272
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.55,25276
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.6,25286
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.65,25296
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.7,25301
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.75,25305
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.8,25314
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.85,25336
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.9,25348
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.95,25361
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.975,25370
2020-08-02,"1 wk ahead cum death","2020-08-08","36","quantile",0.99,25388
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.01,25276
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.025,25282
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.05,25289
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.1,25293
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.15,25302
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.2,25313
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.25,25321
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.3,25329
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.35,25338
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.4,25346
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.45,25354
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.5,25374
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.55,25404
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.6,25413
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.65,25421
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.7,25430
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.75,25438
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.8,25442
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.85,25465
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.9,25482
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.95,25505
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.975,25526
2020-08-02,"2 wk ahead cum death","2020-08-15","36","quantile",0.99,25571
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.01,25313
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.025,25314
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.05,25315
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.1,25324
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.15,25350
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.2,25364
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.25,25378
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.3,25389
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.35,25402
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.4,25414
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.45,25443
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.5,25454
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.55,25468
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.6,25480
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.65,25495
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.7,25509
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.75,25520
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.8,25543
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.85,25558
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.9,25574
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.95,25651
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.975,25714
2020-08-02,"3 wk ahead cum death","2020-08-22","36","quantile",0.99,25799
2020-08-02,"4 wk ahead cum death","2020-08-29","36","quantile",0.01,25327
2020-08-02,"4 wk ahead cum death","2020-08-29","36","quantile",0.025,25328
2020-08-02,"4 wk ahead cum death","2020-08-29","36","quantile",0.05,25329
2020-08-02,"4 wk ahead cum death","2020-08-29","36","quantile",0.1,25345
2020-08-02,"4 wk ahead cum death","2020-08-29","36","quantile",0.15,25388
