"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","point",NA,78663
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.01,75648
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.025,76297
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.05,76723
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.1,77145
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.15,77429
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.2,77606
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.25,77773
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.3,77973
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.35,78136
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.4,78313
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.45,78506
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.5,78663
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.55,78846
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.6,79094
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.65,79408
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.7,79705
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.75,80100
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.8,80288
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.85,80354
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.9,80464
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.95,80909
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.975,81405
"2020-07-19","1 wk ahead cum case",2020-07-25,"01","quantile",0.99,82080
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","point",NA,92542
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.01,84617
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.025,85816
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.05,86430
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.1,87629
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.15,88328
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.2,88917
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.25,89602
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.3,90134
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.35,90738
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.4,91424
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.45,91971
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.5,92542
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.55,93140
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.6,93824
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.65,94622
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.7,95590
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.75,97338
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.8,98641
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.85,98897
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.9,99086
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.95,99491
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.975,100770
"2020-07-19","2 wk ahead cum case",2020-08-01,"01","quantile",0.99,102314
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","point",NA,107329
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.01,91239
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.025,92936
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.05,94234
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.1,96128
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.15,97520
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.2,98671
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.25,100065
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.3,101469
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.35,102860
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.4,104262
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.45,105747
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.5,107329
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.55,109001
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.6,110958
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.65,112705
"2020-07-19","3 wk ahead cum case",2020-08-08,"01","quantile",0.7,114443
