"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
"2020-04-13",814,17,23,0,0,0
"2020-04-14",897,20,83,3,0,0
"2020-04-15",901,20,4,0,0,0
"2020-04-16",952,21,51,1,0,0
"2020-04-17",1066,24,114,3,0,0
"2020-04-18",1249,24,183,0,0,0
"2020-04-19",1474,28,225,4,0,0
"2020-04-20",1648,33,174,5,0,0
"2020-04-21",1685,33,37,0,0,0
"2020-04-22",1813,38,128,5,0,0
"2020-04-23",2202,47,389,9,0,0
"2020-04-24",2424,50,222,3,0,0
"2020-04-25",2719,50,295,0,0,0
"2020-04-26",3028,56,309,6,0,0
"2020-04-27",3358,56,330,0,0,0
"2020-04-28",3517,56,159,0,0,0
"2020-04-29",3851,56,334,0,0,0
"2020-04-30",4281,70,430,14,0,0
"2020-05-01",5008,73,727,3,0,0
"2020-05-02",5317,73,309,0,0,0
"2020-05-03",5661,78,344,5,0,0
"2020-05-04",6037,78,376,0,0,0
"2020-05-05",6373,78,336,0,0,0
"2020-05-06",6689,78,316,0,0,0
"2020-05-07",7334,91,645,13,0,0
"2020-05-08",7818,90,484,-1,0,0
"2020-05-09",8093,90,275,0,0,0
"2020-05-10",8171,90,78,0,0,0
"2020-05-11",8407,98,236,8,0,0
"2020-05-12",8532,100,125,2,0,0
"2020-05-13",8912,103,380,3,0,0
"2020-05-14",9260,103,348,0,0,0
"2020-05-15",9610,113,350,10,0,0
"2020-05-16",10220,123,610,10,0,0
"2020-05-17",10177,123,-43,0,0,0
"2020-05-18",10625,123,448,0,0,0
"2020-05-19",10854,123,229,0,0,0
"2020-05-20",11122,138,268,15,0,0
"2020-05-21",11427,138,305,0,0,0
"2020-05-22",11662,147,235,9,0,0
"2020-05-23",11963,147,301,0,0,0
"2020-05-24",12134,147,171,0,0,0
"2020-05-25",12362,147,228,0,0,0
"2020-05-26",12619,147,257,0,0,0
"2020-05-27",12984,153,365,6,0,0
"2020-05-28",13249,163,265,10,0,0
"2020-05-29",13648,164,399,1,0,0
"2020-05-30",13905,170,257,6,0,0
"2020-05-31",14101,170,196,0,0,0
"2020-06-01",14345,170,244,0,0,0
"2020-06-02",14616,170,271,0,0,0
"2020-06-03",14885,170,269,0,851,0
"2020-06-04",15139,187,254,17,902,51
"2020-06-05",15406,187,267,0,905,3
"2020-06-06",15572,187,166,0,919,14
"2020-06-07",15664,187,92,0,928,9
"2020-06-08",15786,188,122,1,935,7
"2020-06-09",15918,189,132,1,967,32
"2020-06-10",16058,191,140,2,989,22
"2020-06-11",16315,212,257,21,1000,11
"2020-06-12",16522,215,207,3,1029,29
"2020-06-13",16640,215,118,0,1067,38
"2020-06-14",16730,215,90,0,1070,3
"2020-06-15",16851,220,121,5,1075,5
"2020-06-16",17038,231,187,11,1088,13
"2020-06-17",17231,234,193,3,1116,28
"2020-06-18",17414,239,183,5,1141,25
"2020-06-19",17588,244,174,5,1166,25
"2020-06-20",17707,244,119,0,1200,34
"2020-06-21",17812,244,105,0,1212,12
"2020-06-22",17963,249,151,5,1212,0
"2020-06-23",18099,256,136,7,1234,22
"2020-06-24",18221,257,122,1,1257,23
"2020-06-25",18346,260,125,3,1268,11
"2020-06-26",18524,266,178,6,1294,26
"2020-06-27",18775,267,251,1,1312,18
"2020-06-28",18899,267,124,0,1315,3
"2020-06-29",19042,269,143,2,1316,1
"2020-06-30",19177,274,135,5,1330,14
"2020-07-01",19310,276,133,2,1330,0
"2020-07-02",19452,282,142,6,1343,13
"2020-07-03",19660,284,208,2,1353,10
"2020-07-04",19827,284,167,0,1365,12
"2020-07-05",19929,284,102,0,1368,3
"2020-07-06",20046,283,117,-1,1369,1
"2020-07-07",20201,282,155,-1,1369,0
"2020-07-08",20425,282,224,0,1398,29
"2020-07-09",20623,284,198,2,1405,7
"2020-07-10",20777,286,154,2,1419,14
"2020-07-11",20998,285,221,-1,1419,0
"2020-07-12",21172,285,174,0,1421,2
"2020-07-13",21399,288,227,3,1421,0
"2020-07-14",21717,286,318,-2,1431,10
"2020-07-15",21979,291,262,5,1442,11
"2020-07-16",22134,299,155,8,1453,11
"2020-07-17",22361,301,227,2,1453,0
"2020-07-18",22481,301,120,0,1480,27
"2020-07-19",22583,301,102,0,1481,1
"2020-07-20",22847,313,264,12,1482,1
"2020-07-21",23190,310,343,-3,1502,20
"2020-07-22",23486,311,296,1,1508,6
"2020-07-23",23818,316,332,5,1522,14
"2020-07-24",24174,316,356,0,1548,26
"2020-07-25",24395,316,221,0,1548,0
"2020-07-26",24618,316,223,0,1567,19
"2020-07-27",24899,317,281,1,1570,3
"2020-07-28",25157,321,258,4,1587,17
"2020-07-29",25422,324,265,3,1606,19
"2020-07-30",25766,328,344,4,1610,4
"2020-07-31",26211,332,445,4,1610,0
"2020-08-01",26391,332,180,0,1622,12
"2020-08-02",26702,332,311,0,1629,7
"2020-08-03",26956,328,254,-4,1630,1
"2020-08-04",27178,332,222,4,1644,14
"2020-08-05",27489,340,311,8,1644,0
"2020-08-06",27821,340,332,0,1681,37
"2020-08-07",28104,345,283,5,1688,7
"2020-08-08",28245,345,141,0,1704,16
"2020-08-09",28432,345,187,0,1715,11
"2020-08-10",28696,348,264,3,1722,7
"2020-08-11",29030,351,334,3,1741,19
"2020-08-12",29244,356,214,5,1880,139
"2020-08-13",29660,360,416,4,1880,0
"2020-08-14",29988,361,328,1,1880,0
"2020-08-15",30241,361,253,0,1880,0
"2020-08-16",30372,361,131,0,1883,3
"2020-08-17",30563,362,191,1,1883,0
"2020-08-18",30825,369,262,7,1883,0
"2020-08-19",31040,371,215,2,1835,-48
"2020-08-20",31348,373,308,2,1851,16
"2020-08-21",31626,376,278,3,1877,26
"2020-08-22",31780,376,154,0,1891,14
"2020-08-23",31889,378,109,2,1907,16
"2020-08-24",32047,383,158,5,1910,3
"2020-08-25",32348,383,301,0,1930,20
"2020-08-26",32727,386,379,3,1946,16
"2020-08-27",33101,391,374,5,1954,8
"2020-08-28",33436,392,335,1,0,0
"2020-08-29",33753,392,317,0,0,0
"2020-08-30",34046,392,293,0,0,0
"2020-08-31",34287,397,241,5,0,0
"2020-09-01",34574,399,287,2,0,0
"2020-09-02",34995,399,421,0,0,0
"2020-09-03",35469,404,474,5,0,0
"2020-09-04",35661,404,192,0,0,0
"2020-09-05",35805,404,144,0,0,0
"2020-09-06",35886,404,81,0,0,0
"2020-09-07",35975,404,89,0,0,0
"2020-09-08",36469,407,494,3,0,0
"2020-09-09",36917,421,448,14,0,0
"2020-09-10",37373,430,456,9,0,0
"2020-09-11",37851,437,478,7,0,0
"2020-09-12",38120,437,269,0,0,0
"2020-09-13",38188,434,68,-3,0,0
"2020-09-14",38642,435,454,1,0,0
"2020-09-15",38970,436,328,1,0,0
"2020-09-16",39419,439,449,3,0,0
"2020-09-17",39921,442,502,3,0,0
"2020-09-18",40387,442,466,0,0,0
"2020-09-19",40797,442,410,0,0,0
"2020-09-20",41083,442,286,0,0,0
"2020-09-21",41388,452,305,10,0,0
"2020-09-22",41785,461,397,9,0,0
"2020-09-23",42278,462,493,1,0,0
"2020-09-24",42731,462,453,0,0,0
"2020-09-25",43162,468,431,6,0,0
"2020-09-26",43596,469,434,1,0,0
"2020-09-27",44063,470,467,1,0,0
"2020-09-28",44578,472,515,2,0,0
"2020-09-29",45044,478,466,6,0,0
"2020-09-30",45564,478,520,0,0,0
"2020-10-01",46185,493,621,15,0,0
"2020-10-02",46977,493,792,0,0,0
"2020-10-03",47403,497,426,4,0,0
"2020-10-04",47807,501,404,4,0,0
"2020-10-05",48259,503,452,2,0,0
"2020-10-06",48757,507,498,4,0,0
"2020-10-07",49396,507,639,0,0,0
"2020-10-08",50059,514,663,7,0,0
"2020-10-09",50059,514,0,0,0,0
"2020-10-10",51887,519,1828,5,0,0
"2020-10-11",52382,519,495,0,0,0
"2020-10-12",52839,522,457,3,0,0
"2020-10-13",53543,527,704,5,0,0
"2020-10-14",54467,530,924,3,0,0
"2020-10-15",55428,535,961,5,0,0
"2020-10-16",56714,547,1286,12,0,0
"2020-10-17",57332,547,618,0,0,0
"2020-10-18",58068,548,736,1,0,0
"2020-10-19",58817,554,749,6,0,0
"2020-10-20",59409,565,592,11,0,0
"2020-10-21",60308,576,899,11,0,0
"2020-10-22",61285,587,977,11,0,0
"2020-10-23",62510,591,1225,4,0,0
"2020-10-24",63215,595,705,4,0,0
"2020-10-25",63797,596,582,1,0,0
"2020-10-26",64499,603,702,7,0,0
"2020-10-27",65376,620,877,17,0,0
"2020-10-28",66545,628,1169,8,0,0
"2020-10-29",68150,637,1605,9,0,0
"2020-10-30",69645,646,1495,9,0,0
"2020-10-31",70732,652,1087,6,0,0
"2020-11-01",71666,654,934,2,0,0
"2020-11-02",72620,656,954,2,0,0
"2020-11-03",74060,660,1440,4,0,0
"2020-11-04",75888,669,1828,9,0,0
"2020-11-05",78012,674,2124,5,0,0
"2020-11-06",80693,701,2681,27,0,0
"2020-11-07",82395,703,1702,2,0,0
"2020-11-08",83969,703,1574,0,0,0
