"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,5747,149,473,8,1238,487
2020-04-14,6182,154,435,5,1282,44
2020-04-15,6500,195,318,41,1298,16
2020-04-16,6889,208,389,13,1337,39
2020-04-17,7491,231,602,23,1308,-29
2020-04-18,8053,258,562,27,1307,-1
2020-04-19,8542,277,489,19,1422,115
2020-04-20,8990,300,448,23,1500,78
2020-04-21,9630,324,640,24,1581,81
2020-04-22,10266,349,636,25,1581,0
2020-04-23,10998,373,732,24,1753,172
2020-04-24,11594,411,596,38,1837,84
2020-04-25,12366,437,772,26,1942,105
2020-04-26,12970,449,604,12,2014,72
2020-04-27,13538,460,568,11,3298,1284
2020-04-28,14339,492,801,32,3422,124
2020-04-29,14962,522,623,30,3608,186
2020-04-30,15847,552,885,30,3654,46
2020-05-01,16902,581,1055,29,3654,0
2020-05-02,17738,617,836,36,3738,84
2020-05-03,18672,660,934,43,3910,172
2020-05-04,19493,684,821,24,4010,100
2020-05-05,20257,713,764,29,4113,103
2020-05-06,20257,713,0,0,4113,0
2020-05-07,21570,769,1313,56,4438,325
2020-05-08,22342,812,772,43,4622,184
2020-05-09,23196,827,854,15,4717,95
2020-05-10,24081,839,885,12,4756,39
2020-05-11,25070,850,989,11,4777,21
2020-05-12,25800,892,730,42,4929,152
2020-05-13,26746,928,946,36,5080,151
2020-05-14,27813,956,1067,28,5211,131
2020-05-15,28672,978,859,22,5316,105
2020-05-16,29683,1003,1011,25,5414,98
2020-05-17,30388,1010,705,7,5517,103
2020-05-18,31140,1015,752,5,5609,92
2020-05-19,32145,1042,1005,27,5768,159
2020-05-20,32908,1075,763,33,6059,291
2020-05-21,34137,1100,1229,25,6269,210
2020-05-22,34950,1136,813,36,6422,153
2020-05-23,35749,1159,799,23,6431,9
2020-05-24,36244,1171,495,12,6453,22
2020-05-25,37727,1208,1483,37,6521,68
2020-05-26,39342,1236,1615,28,6630,109
2020-05-27,40249,1281,907,45,6826,196
2020-05-28,41401,1338,1152,57,6974,148
2020-05-29,42533,1358,1132,20,7172,198
2020-05-30,43611,1370,1078,12,7216,44
