"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-06,1,0,0,0,0,0,0
2020-03-07,2,0,1,0,0,0,0
2020-03-08,2,0,0,0,0,0,0
2020-03-09,5,0,3,0,0,0,0
2020-03-10,11,0,6,0,0,0,0
2020-03-11,21,0,10,0,0,0,0
2020-03-12,43,0,22,0,0,0,0
2020-03-13,62,0,19,0,0,0,0
2020-03-14,90,0,28,0,0,0,0
2020-03-15,128,0,38,0,0,0,0
2020-03-16,179,0,51,0,0,0,0
2020-03-17,246,0,67,0,0,0,0
2020-03-18,269,0,23,0,0,0,0
2020-03-19,287,0,18,0,0,0,0
2020-03-20,303,0,16,0,0,0,0
2020-03-21,327,1,24,1,0,0,0
2020-03-22,349,1,22,0,12,12,0
2020-03-23,393,1,44,0,17,5,0
2020-03-24,444,1,51,0,21,4,0
2020-03-25,502,1,58,0,35,14,26
2020-03-26,565,2,63,1,41,6,31
2020-03-27,640,4,75,2,51,10,34
2020-03-28,687,5,47,1,57,6,30
2020-03-29,725,9,38,4,75,18,39
2020-03-30,823,10,98,1,92,17,56
2020-03-31,916,12,93,2,112,20,56
2020-04-01,973,17,57,5,122,10,54
2020-04-02,1056,18,83,1,138,16,75
2020-04-03,1119,22,63,4,156,18,86
2020-04-04,1158,24,39,2,180,24,95
2020-04-05,1217,29,59,5,202,22,106
2020-04-06,1330,30,113,1,223,21,115
2020-04-07,1432,34,102,4,242,19,120
2020-04-08,1534,39,102,5,271,29,135
2020-04-09,1637,50,103,11,293,22,145
2020-04-10,1732,57,95,7,317,24,143
2020-04-11,1806,64,74,7,340,23,145
2020-04-12,1864,70,58,6,361,21,157
2020-04-13,2012,70,148,0,361,0,157
2020-04-14,2165,79,153,9,405,44,177
2020-04-15,2321,87,156,8,445,40,197
2020-04-16,2486,94,165,7,475,30,213
2020-04-17,2668,111,182,17,518,43,223
2020-04-18,2788,121,120,10,561,43,239
2020-04-19,2914,134,126,13,574,13,228
2020-04-20,3190,143,276,9,602,28,237
2020-04-21,3452,160,262,17,629,27,237
2020-04-22,3758,179,306,19,660,31,240
2020-04-23,4270,200,512,21,712,52,268
2020-04-24,4788,221,518,21,756,44,278
2020-04-25,5127,244,339,23,797,41,288
2020-04-26,5512,272,385,28,829,32,285
2020-04-27,6187,286,675,14,861,32,292
2020-04-28,6788,301,601,15,912,51,314
2020-04-29,7468,319,680,18,950,38,320
2020-04-30,8116,343,648,24,1044,94,365
2020-05-01,8736,371,620,28,1096,52,369
2020-05-02,9071,395,335,24,1159,63,389
2020-05-03,9411,419,340,24,1199,40,373
2020-05-04,10235,428,824,9,1271,72,396
2020-05-05,10876,455,641,27,1350,79,434
2020-05-06,11510,485,634,30,1405,55,443
2020-05-07,12328,508,818,23,1459,54,435
