"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,22025,798,1173,78,3680,0
2020-04-14,23248,868,1223,70,4283,603
2020-04-15,24593,949,1345,81,4283,0
2020-04-16,25734,1072,1141,123,4423,140
2020-04-17,27578,1132,1844,60,4454,31
2020-04-18,29160,1259,1582,127,4340,-114
2020-04-19,30357,1290,1197,31,4314,-26
2020-04-20,31513,1349,1156,59,4599,285
2020-04-21,33059,1468,1546,119,4776,177
2020-04-22,35107,1565,2048,97,4665,-111
2020-04-23,36937,1688,1830,123,4877,212
2020-04-24,39658,1795,2721,107,4828,-49
2020-04-25,41777,1875,2119,80,4699,-129
2020-04-26,43903,1933,2126,58,4595,-104
2020-04-27,45883,1983,1980,50,4672,77
2020-04-28,48102,2125,2219,142,0,0
2020-04-29,50358,2215,2256,90,0,0
2020-04-30,52918,2355,2560,140,0,0
2020-05-01,56055,2457,3137,102,0,0
2020-05-02,58505,2559,2450,102,0,0
2020-05-03,61499,2618,2994,59,0,0
2020-05-04,63777,2659,2278,41,0,0
2020-05-05,65889,2834,2112,175,0,0
2020-05-06,68232,2974,2343,140,0,0
2020-05-07,70871,3111,2639,137,0,0
2020-05-08,73760,3241,2889,130,0,0
2020-05-09,76085,3349,2325,108,0,0
2020-05-10,77741,3406,1656,57,0,0
2020-05-11,79007,3459,1266,53,0,0
2020-05-12,83021,3601,4014,142,0,0
2020-05-13,84694,3792,1673,191,0,0
2020-05-14,87937,3928,3243,136,0,0
2020-05-15,90369,4059,2432,131,0,0
2020-05-16,92457,4129,2088,70,0,0
2020-05-17,94191,4177,1734,48,0,0
2020-05-18,96485,4234,2294,57,0,0
2020-05-19,98030,4379,1545,145,0,0
2020-05-20,100418,4525,2388,146,0,0
2020-05-21,102688,4607,2270,82,0,0
2020-05-22,105444,4715,2756,108,0,0
2020-05-23,107796,4790,2352,75,0,0
2020-05-24,110304,4856,2508,66,0,0
2020-05-25,112017,4885,1713,29,0,0
2020-05-26,113195,4923,1178,38,0,0
2020-05-27,114306,5083,1111,160,0,0
