"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,195749,10026,6716,644,42712,118
2020-04-14,203020,10811,7271,785,46201,3489
2020-04-15,214454,11569,11434,758,46201,0
2020-04-16,223691,14832,9237,3263,50450,4249
2020-04-17,230597,17131,6906,2299,52424,1974
2020-04-18,241712,17634,11115,503,54339,1915
2020-04-19,247815,18271,6103,637,55723,1384
2020-04-20,253060,18598,5245,327,57103,1380
2020-04-21,258361,19037,5301,439,57103,0
2020-04-22,263292,19361,4931,324,57103,0
2020-04-23,263460,20899,168,1538,57103,0
2020-04-24,271590,21327,8130,428,57103,0
2020-04-25,282143,21933,10553,606,57103,0
2020-04-26,288045,22200,5902,267,57103,0
2020-04-27,291996,22574,3951,374,57103,0
2020-04-28,295106,22823,3110,249,64275,7172
2020-04-29,299691,23375,4585,552,65397,1122
2020-04-30,304372,23479,4681,104,66369,972
2020-05-01,308314,23928,3942,449,67180,811
2020-05-02,312977,24090,4663,162,67890,710
2020-05-03,316415,24602,3438,512,68736,846
2020-05-04,318953,24879,2538,277,69331,595
2020-05-05,321192,24995,2239,116,69867,536
2020-05-06,323978,25508,2786,513,70539,672
2020-05-07,327469,26024,3491,516,71152,613
2020-05-08,330407,26124,2938,100,71679,527
2020-05-09,333122,26499,2715,375,72255,576
2020-05-10,335395,26532,2273,33,72715,460
2020-05-11,337055,26872,1660,340,73143,428
2020-05-12,338485,27166,1430,294,73143,0
2020-05-13,340661,27356,2176,190,73963,820
2020-05-14,343051,27515,2390,159,74433,470
2020-05-15,345813,27750,2762,235,74751,318
2020-05-16,348232,27922,2419,172,75163,412
2020-05-17,350121,28109,1889,187,75525,362
2020-05-18,351371,28219,1250,110,75870,345
2020-05-19,352845,28431,1474,212,76168,298
2020-05-20,354370,28510,1525,79,76410,242
2020-05-21,356458,28619,2088,109,76608,198
2020-05-22,358154,28731,1696,112,76843,235
2020-05-23,359926,28904,1772,173,77034,191
2020-05-24,361515,29014,1589,110,77295,261
2020-05-25,362764,29103,1249,89,77525,230
2020-05-26,363836,29176,1072,73,77637,112
2020-05-27,364965,29352,1129,176,77838,201
2020-05-28,366733,29397,1768,45,78043,205
2020-05-29,368284,29509,1551,112,89194,11151
2020-05-30,369660,29574,1376,65,89400,206
2020-05-31,370770,29648,1110,74,89590,190
2020-06-01,371711,29771,941,123,89703,113
2020-06-02,373040,29823,1329,52,89861,158
2020-06-03,374085,29874,1045,51,89995,134
2020-06-04,375133,30021,1048,147,89995,0
2020-06-05,376208,30083,1075,62,89995,0
2020-06-06,377316,30127,1108,44,89995,0
2020-06-07,378097,30219,781,92,89995,0
2020-06-08,378799,30262,702,43,89995,0
2020-06-09,379482,30304,683,42,89995,0
2020-06-10,380156,30384,674,80,89995,0
2020-06-11,380892,30422,736,38,89995,0
2020-06-12,381714,30600,822,178,89995,0
2020-06-13,382630,30637,916,37,89995,0
2020-06-14,383324,30667,694,30,89995,0
2020-06-15,383944,30700,620,33,89995,0
2020-06-16,384575,30750,631,50,89995,0
2020-06-17,385142,30780,567,30,89995,0
2020-06-18,385760,30815,618,35,89995,0
2020-06-19,386556,30856,796,41,89995,0
2020-06-20,387272,30922,716,66,89995,0
2020-06-21,387936,30964,664,42,89995,0
2020-06-22,388488,31015,552,51,89995,0
2020-06-23,389085,31071,597,56,89995,0
2020-06-24,389666,31096,581,25,89995,0
2020-06-25,390415,31140,749,44,89995,0
2020-06-26,391220,31181,805,41,89995,0
2020-06-27,391923,31207,703,26,89995,0
2020-06-28,392539,31236,616,29,89995,0
2020-06-29,393403,31242,864,6,89995,0
2020-06-30,393454,31871,51,629,89995,0
2020-07-01,394079,31881,625,10,89995,0
2020-07-02,394954,31902,875,21,89995,0
2020-07-03,395872,31975,918,73,89995,0
2020-07-04,396598,31995,726,20,89995,0
2020-07-05,397131,32044,533,49,89995,0
2020-07-06,397649,32057,518,13,89995,0
2020-07-07,398237,32081,588,24,89995,0
2020-07-08,398929,32089,692,8,89995,0
2020-07-09,399513,32121,584,32,89995,0
2020-07-10,400299,32167,786,46,89995,0
2020-07-11,401029,32179,730,12,89995,0
2020-07-12,401706,32186,677,7,89995,0
2020-07-13,402263,32231,557,45,89995,0
2020-07-14,403175,32244,912,13,89995,0
2020-07-15,404006,32263,831,19,89995,0
2020-07-16,404775,32282,769,19,89995,0
2020-07-17,405551,32299,776,17,89995,0
2020-07-18,406305,32312,754,13,89995,0
2020-07-19,406807,32329,502,17,89995,0
2020-07-20,407326,32340,519,11,89995,0
2020-07-21,408181,32354,855,14,89995,0
2020-07-22,408886,32392,705,38,89995,0
2020-07-23,409697,32428,811,36,89995,0
2020-07-24,410450,32430,753,2,89995,0
2020-07-25,411200,32442,750,12,89995,0
2020-07-26,411736,32464,536,22,89995,0
2020-07-27,412344,32479,608,15,89995,0
2020-07-28,412878,32487,534,8,89995,0
2020-07-29,413593,32492,715,5,89995,0
2020-07-30,414370,32516,777,24,89995,0
2020-07-31,415014,32522,644,6,89995,0
2020-08-01,415767,32527,753,5,89995,0
2020-08-02,416298,32543,531,16,89995,0
2020-08-03,416843,32552,545,9,89995,0
2020-08-04,417589,32558,746,6,89995,0
2020-08-05,418225,32587,636,29,89995,0
2020-08-06,418928,32589,703,2,89995,0
2020-08-07,419642,32593,714,4,89995,0
2020-08-08,420345,32601,703,8,89995,0
2020-08-09,420860,32607,515,6,89995,0
2020-08-10,421336,32614,476,7,89995,0
2020-08-11,422003,32620,667,6,89995,0
2020-08-12,422703,32630,700,10,89995,0
2020-08-13,423440,32638,737,8,89995,0
2020-08-14,424167,32660,727,22,89995,0
2020-08-15,424901,32666,734,6,89995,0
2020-08-16,425508,32673,607,7,89995,0
2020-08-17,425916,32679,408,6,89995,0
2020-08-18,426571,32690,655,11,89995,0
2020-08-19,427202,32698,631,8,89995,0
2020-08-20,427803,32695,601,-3,89995,0
2020-08-21,428512,32698,709,3,89995,0
2020-08-22,429165,32705,653,7,89995,0
2020-08-23,429737,32717,572,12,89995,0
2020-08-24,430145,32721,408,4,89995,0
2020-08-25,430774,32752,629,31,89995,0
2020-08-26,431340,32755,566,3,89995,0
2020-08-27,432131,32760,791,5,89995,0
2020-08-28,432767,32768,636,8,0,0
2020-08-29,433402,32772,635,4,0,0
2020-08-30,434100,32785,698,13,0,0
2020-08-31,437154,32791,3054,6,0,0
2020-09-01,437757,32800,603,9,0,0
2020-09-02,438405,32806,648,6,0,0
2020-09-03,439322,32810,917,4,0,0
2020-09-04,440192,32816,870,6,0,0
2020-09-05,441012,32821,820,5,0,0
2020-09-06,441748,32821,736,0,0,0
2020-09-07,442315,32836,567,15,0,0
2020-09-08,442817,32850,502,14,0,0
2020-09-09,443409,32854,592,4,0,0
2020-09-10,444071,32854,662,0,0,0
2020-09-11,445102,32854,1031,0,0,0
2020-09-12,446028,32858,926,4,0,0
2020-09-13,446862,32858,834,0,0,0
2020-09-14,447524,32865,662,7,0,0
2020-09-15,448213,32873,689,8,0,0
2020-09-16,448897,32877,684,4,0,0
2020-09-17,449922,32904,1025,27,0,0
2020-09-18,450753,32919,831,15,0,0
2020-09-19,451655,32915,902,-4,0,0
2020-09-20,452507,32921,852,6,0,0
2020-09-21,453142,32993,635,72,0,0
2020-09-22,453730,33097,588,104,0,0
2020-09-23,454299,33098,569,1,0,0
2020-09-24,455400,33103,1101,5,0,0
2020-09-25,456400,33117,1000,14,0,0
2020-09-26,457573,33120,1173,3,0,0
2020-09-27,458605,33127,1032,7,0,0
2020-09-28,459574,33136,969,9,0,0
2020-09-29,460553,33144,979,8,0,0
2020-09-30,461537,33158,984,14,0,0
2020-10-01,462861,33166,1324,8,0,0
2020-10-02,464620,33204,1759,38,0,0
2020-10-03,466307,33207,1687,3,0,0
2020-10-04,467693,33221,1386,14,0,0
2020-10-05,468840,33234,1147,13,0,0
2020-10-06,469989,33241,1149,7,0,0
2020-10-07,471207,33253,1218,12,0,0
2020-10-08,473285,33261,2078,8,0,0
2020-10-09,474894,33291,1609,30,0,0
2020-10-10,476397,33296,1503,5,0,0
2020-10-11,477671,33299,1274,3,0,0
2020-10-12,478925,33312,1254,13,0,0
2020-10-13,480129,33320,1204,8,0,0
2020-10-14,481227,33330,1098,10,0,0
2020-10-15,482765,33353,1538,23,0,0
2020-10-16,484512,33362,1747,9,0,0
2020-10-17,486207,33376,1695,14,0,0
2020-10-18,487719,33389,1512,13,0,0
2020-10-19,488928,33405,1209,16,0,0
2020-10-20,490166,33412,1238,7,0,0
2020-10-21,491882,33420,1716,8,0,0
2020-10-22,493774,33443,1892,23,0,0
2020-10-23,495608,33454,1834,11,0,0
2020-10-24,497732,33463,2124,9,0,0
2020-10-25,499652,33471,1920,8,0,0
2020-10-26,501197,33479,1545,8,0,0
2020-10-27,502978,33495,1781,16,0,0
2020-10-28,504689,33505,1711,10,0,0
2020-10-29,507040,33524,2351,19,0,0
2020-10-30,509368,33553,2328,29,0,0
2020-10-31,511761,33559,2393,6,0,0
2020-11-01,513883,33582,2122,23,0,0
2020-11-02,515753,33593,1870,11,0,0
2020-11-03,517822,33603,2069,10,0,0
2020-11-04,519890,33623,2068,20,0,0
2020-11-05,523107,33687,3217,64,0,0
2020-11-06,526318,33702,3211,15,0,0
2020-11-07,530218,33715,3900,13,0,0
2020-11-08,533797,33735,3579,20,0,0
2020-11-09,537243,33755,3446,20,0,0
2020-11-10,541200,33771,3957,16,0,0
2020-11-11,545453,33794,4253,23,0,0
2020-11-12,550678,33808,5225,14,0,0
2020-11-13,556344,33827,5666,19,0,0
2020-11-14,561921,33844,5577,17,0,0
2020-11-15,566113,33866,4192,22,0,0
2020-11-16,570323,33889,4210,23,0,0
2020-11-17,574935,33985,4612,96,0,0
2020-11-18,579811,34016,4876,31,0,0
2020-11-19,585635,34044,5824,28,0,0
2020-11-20,591368,34082,5733,38,0,0
2020-11-21,597680,34126,6312,44,0,0
2020-11-22,603360,34150,5680,24,0,0
2020-11-23,609797,34177,6437,27,0,0
2020-11-24,614679,34200,4882,23,0,0
2020-11-25,620712,34226,6033,26,0,0
2020-11-26,628024,34282,7312,56,0,0
2020-11-27,636302,34320,8278,38,0,0
2020-11-28,643163,34358,6861,38,0,0
2020-11-29,648641,34406,5478,48,0,0
2020-11-30,656413,34454,7772,48,0,0
2020-12-01,663500,34513,7087,59,0,0
2020-12-02,671635,34573,8135,60,0,0
2020-12-03,681783,34635,10148,62,0,0
2020-12-04,693629,34693,11846,58,0,0
2020-12-05,704683,34763,11054,70,0,0
2020-12-06,714834,34824,10151,61,0,0
2020-12-07,723287,34904,8453,80,0,0
2020-12-08,731722,34994,8435,90,0,0
2020-12-09,740980,35062,9258,68,0,0
