"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,1,0,1,0,0,0,0
2020-03-13,3,0,2,0,0,0,0
2020-03-14,3,0,0,0,0,0,0
2020-03-15,3,0,0,0,0,0,0
2020-03-16,17,0,14,0,0,0,0
2020-03-17,32,0,15,0,0,0,0
2020-03-18,43,0,11,0,0,0,0
2020-03-19,53,0,10,0,0,0,0
2020-03-20,57,0,4,0,0,0,0
2020-03-21,73,0,16,0,0,0,0
2020-03-22,89,0,16,0,0,0,0
2020-03-23,107,0,18,0,0,0,0
2020-03-24,125,0,18,0,0,0,0
2020-03-25,149,0,24,0,0,0,0
2020-03-26,155,0,6,0,0,0,0
2020-03-27,168,1,13,1,0,0,0
2020-03-28,211,1,43,0,0,0,0
2020-03-29,253,3,42,2,0,0,0
2020-03-30,275,3,22,0,49,49,0
2020-03-31,303,5,28,2,57,8,0
2020-04-01,344,7,41,2,63,6,0
2020-04-02,376,7,32,0,68,5,0
2020-04-03,432,9,56,2,75,7,0
2020-04-04,456,10,24,1,83,8,0
2020-04-05,470,10,14,0,86,3,0
2020-04-06,499,10,29,0,92,6,0
2020-04-07,519,12,20,2,99,7,0
2020-04-08,537,14,18,2,101,2,0
2020-04-09,560,16,23,2,105,4,0
2020-04-10,586,17,26,1,111,6,0
2020-04-11,616,19,30,2,114,3,0
2020-04-12,633,19,17,0,120,6,0
2020-04-13,698,19,65,0,124,4,22
2020-04-14,734,20,36,1,124,0,58
2020-04-15,770,24,36,4,126,2,48
2020-04-16,796,27,26,3,130,4,47
2020-04-17,827,29,31,2,133,3,55
2020-04-18,847,32,20,3,136,3,49
2020-04-19,867,34,20,2,136,0,46
2020-04-20,875,35,8,1,138,2,39
2020-04-21,888,36,13,1,139,1,40
2020-04-22,907,39,19,3,144,5,42
2020-04-23,937,44,30,5,150,6,42
2020-04-24,965,47,28,3,152,2,39
2020-04-25,990,50,25,3,156,4,39
2020-04-26,1015,50,25,0,159,3,39
2020-04-27,1023,51,8,1,161,2,39
2020-04-28,1040,51,17,0,163,2,33
2020-04-29,1056,52,16,1,166,3,32
2020-04-30,1095,53,39,1,170,4,35
2020-05-01,1123,55,28,2,177,7,37
2020-05-02,1152,56,29,1,181,4,36
2020-05-03,1185,57,33,1,183,2,33
2020-05-04,1205,57,20,0,186,3,37
2020-05-05,1226,61,21,4,187,1,36
2020-05-06,1254,62,28,1,191,4,37
2020-05-07,1330,62,76,0,192,1,39
2020-05-08,1374,63,44,1,194,2,44
2020-05-09,1408,64,34,1,198,4,43
2020-05-10,1436,64,28,0,199,1,36
2020-05-11,1462,65,26,1,200,1,37
2020-05-12,1477,65,15,0,202,2,34
2020-05-13,1515,66,38,1,204,2,41
2020-05-14,1565,69,50,3,207,3,37
2020-05-15,1603,69,38,0,211,4,35
2020-05-16,1648,70,45,1,214,3,37
2020-05-17,1687,70,39,0,216,2,37
2020-05-18,1713,71,26,1,223,7,42
2020-05-19,1741,73,28,2,225,2,44
2020-05-20,1819,73,78,0,231,6,43
2020-05-21,1877,73,58,0,235,4,41
2020-05-22,1948,75,71,2,240,5,45
2020-05-23,2013,77,65,2,243,3,50
2020-05-24,2055,78,42,1,252,9,59
2020-05-25,2074,78,19,0,257,5,59
2020-05-26,2109,79,35,1,258,1,60
2020-05-27,2137,81,28,2,260,2,59
2020-05-28,2189,84,52,3,264,4,58
2020-05-29,2226,85,37,1,270,6,53
2020-05-30,2282,89,56,4,272,2,46
2020-05-31,2325,89,43,0,283,11,49
2020-06-01,2349,89,24,0,284,1,52
2020-06-02,2377,94,28,5,287,3,48
2020-06-03,2418,95,41,1,285,-2,44
2020-06-04,2446,95,28,0,291,6,35
2020-06-05,2482,98,36,3,293,2,35
2020-06-06,2524,98,42,0,296,3,35
2020-06-07,2570,99,46,1,298,2,34
2020-06-08,2588,99,18,0,301,3,37
2020-06-09,2606,100,18,1,302,1,29
2020-06-10,2637,100,31,0,303,1,27
2020-06-11,2667,100,30,0,308,5,29
2020-06-12,2721,100,54,0,308,0,32
2020-06-13,2757,100,36,0,313,5,29
2020-06-14,2793,100,36,0,314,1,29
2020-06-15,2810,101,17,1,317,3,31
2020-06-16,2819,101,9,0,321,4,30
2020-06-17,2836,102,17,1,323,2,27
2020-06-18,2878,102,42,0,323,0,27
2020-06-19,2913,102,35,0,328,5,26
2020-06-20,2938,102,25,0,333,5,29
2020-06-21,2957,102,19,0,336,3,26
2020-06-22,2971,102,14,0,336,0,27
2020-06-23,2994,102,23,0,339,3,24
2020-06-24,3017,103,23,1,339,0,26
2020-06-25,3070,103,53,0,343,4,25
2020-06-26,3102,103,32,0,343,0,28
2020-06-27,3154,104,52,1,345,2,24
2020-06-28,3191,104,37,0,346,1,31
2020-06-29,3219,105,28,1,347,1,31
2020-06-30,3253,105,34,0,348,1,29
2020-07-01,3294,105,41,0,351,3,29
2020-07-02,3328,105,34,0,354,3,30
2020-07-03,3373,105,45,0,358,4,27
2020-07-04,3397,107,24,2,358,0,27
2020-07-05,3415,109,18,2,359,1,25
2020-07-06,3423,109,8,0,359,0,21
2020-07-07,3440,110,17,1,360,1,22
2020-07-08,3460,110,20,0,363,3,22
2020-07-09,3486,111,26,1,365,2,16
2020-07-10,3499,111,13,0,366,1,15
2020-07-11,3520,112,21,1,368,2,16
2020-07-12,3539,114,19,2,371,3,19
2020-07-13,3558,114,19,0,372,1,18
2020-07-14,3566,114,8,0,373,1,17
2020-07-15,3578,114,12,0,373,0,12
2020-07-16,3598,114,20,0,374,1,13
2020-07-17,3636,115,38,1,375,1,12
2020-07-18,3646,117,10,2,375,0,9
2020-07-19,3687,117,41,0,375,0,10
2020-07-20,3711,117,24,0,375,0,12
2020-07-21,3723,118,12,1,377,2,12
2020-07-22,3723,118,0,0,377,0,10
2020-07-23,3737,118,14,0,378,1,12
2020-07-24,3757,118,20,0,378,0,12
2020-07-25,3790,119,33,1,379,1,11
2020-07-26,3814,119,24,0,381,2,14
2020-07-27,3832,119,18,0,383,2,13
2020-07-28,3838,121,6,2,384,1,12
2020-07-29,3866,121,28,0,385,1,11
2020-07-30,3888,122,22,1,386,1,11
2020-07-31,3912,123,24,1,388,2,12
2020-08-01,3937,123,25,0,388,0,10
2020-08-02,3958,123,21,0,388,0,12
2020-08-03,3970,124,12,1,389,1,12
2020-08-04,3975,123,5,-1,388,-1,12
2020-08-05,3992,124,17,1,390,2,10
2020-08-06,3997,124,5,0,390,0,11
2020-08-07,4014,124,17,0,393,3,10
2020-08-08,4026,125,12,1,393,0,9
2020-08-09,4042,125,16,0,393,0,9
2020-08-10,4049,125,7,0,393,0,8
2020-08-11,4050,126,1,1,394,1,9
2020-08-12,4070,126,20,0,394,0,9
2020-08-13,4089,126,19,0,395,1,11
2020-08-14,4115,126,26,0,399,4,6
2020-08-15,4144,127,29,1,399,0,5
2020-08-16,4168,127,24,0,400,1,9
2020-08-17,4197,127,29,0,399,-1,10
2020-08-18,4213,127,16,0,401,2,10
2020-08-19,4234,127,21,0,403,2,9
2020-08-20,4253,128,19,1,405,2,7
2020-08-21,4285,129,32,1,407,2,7
2020-08-22,4317,130,32,1,407,0,4
2020-08-23,4335,131,18,1,408,1,4
2020-08-24,4356,131,21,0,409,1,6
2020-08-25,4368,131,12,0,410,1,8
2020-08-26,4389,132,21,1,412,2,8
2020-08-27,4414,132,25,0,415,3,9
2020-08-28,4436,132,22,0,417,2,10
2020-08-29,4489,132,53,0,418,1,8
2020-08-30,4512,132,23,0,420,2,7
2020-08-31,4526,132,14,0,420,0,6
2020-09-01,4548,132,22,0,421,1,9
2020-09-02,4567,133,19,1,423,2,11
2020-09-03,4617,133,50,0,424,1,9
2020-09-04,4632,134,15,1,423,-1,9
2020-09-05,4667,134,35,0,424,1,5
2020-09-06,4682,134,15,0,424,0,6
2020-09-07,4701,134,19,0,427,3,8
2020-09-08,4713,134,12,0,429,2,7
2020-09-09,4734,134,21,0,429,0,9
2020-09-10,4760,134,26,0,431,2,11
2020-09-11,4792,134,32,0,432,1,10
2020-09-12,4834,135,42,1,431,-1,10
2020-09-13,4863,136,29,1,431,0,11
2020-09-14,4903,136,40,0,431,0,9
2020-09-15,4918,137,15,1,432,1,10
2020-09-16,4941,138,23,1,433,1,10
2020-09-17,4962,138,21,0,436,3,12
2020-09-18,5005,138,43,0,437,1,11
2020-09-19,5035,139,30,1,439,2,14
2020-09-20,5079,139,44,0,439,0,16
2020-09-21,5106,140,27,1,440,1,17
2020-09-22,5146,140,40,0,442,2,17
2020-09-23,5171,140,25,0,441,-1,14
2020-09-24,5215,140,44,0,442,1,14
2020-09-25,5235,140,20,0,442,0,10
2020-09-26,5260,140,25,0,443,1,8
2020-09-27,5288,140,28,0,445,2,11
2020-09-28,5300,140,12,0,446,1,8
2020-09-29,5337,141,37,1,447,1,8
2020-09-30,5391,141,54,0,449,2,13
2020-10-01,5431,142,40,1,451,2,12
2020-10-02,5468,142,37,0,452,1,11
2020-10-03,5486,142,18,0,454,2,11
2020-10-04,5519,142,33,0,454,0,11
2020-10-05,5545,142,26,0,454,0,10
2020-10-06,5565,142,20,0,457,3,7
2020-10-07,5604,142,39,0,459,2,9
2020-10-08,5639,142,35,0,459,0,7
2020-10-09,5666,143,27,1,460,1,7
2020-10-10,5696,143,30,0,462,2,7
2020-10-11,5723,143,27,0,463,1,7
2020-10-12,5752,143,29,0,463,0,7
2020-10-13,5780,143,28,0,463,0,8
2020-10-14,5816,143,36,0,463,0,8
2020-10-15,5836,144,20,1,464,1,11
2020-10-16,5865,145,29,1,466,2,11
2020-10-17,5913,146,48,1,467,1,11
2020-10-18,5939,146,26,0,468,1,11
2020-10-19,5962,146,23,0,469,1,8
2020-10-20,5989,146,27,0,469,0,9
2020-10-21,6027,146,38,0,470,1,7
2020-10-22,6064,146,37,0,473,3,7
2020-10-23,6095,146,31,0,473,0,8
2020-10-24,6137,146,42,0,473,0,8
2020-10-25,6201,146,64,0,475,2,8
2020-10-26,6254,146,53,0,477,2,13
2020-10-27,6311,146,57,0,479,2,12
2020-10-28,6387,146,76,0,484,5,16
2020-10-29,6467,146,80,0,483,-1,15
2020-10-30,6570,146,103,0,486,3,17
2020-10-31,6668,147,98,1,486,0,17
2020-11-01,6715,147,47,0,488,2,17
2020-11-02,6799,148,84,1,495,7,29
2020-11-03,6926,148,127,0,502,7,31
2020-11-04,7077,150,151,2,507,5,36
2020-11-05,7260,150,183,0,510,3,38
2020-11-06,7444,150,184,0,513,3,37
2020-11-07,7603,152,159,2,523,10,42
2020-11-08,7693,152,90,0,525,2,48
2020-11-09,7888,153,195,1,532,7,49
2020-11-10,8060,156,172,3,538,6,49
2020-11-11,8202,158,142,2,545,7,49
2020-11-12,8395,159,193,1,553,8,62
2020-11-13,8639,162,244,3,566,13,66
2020-11-14,8791,163,152,1,572,6,67
2020-11-15,8944,165,153,2,574,2,67
2020-11-16,9117,165,173,0,577,3,69
2020-11-17,9363,166,246,1,589,12,73
2020-11-18,9519,170,156,4,600,11,85
2020-11-19,9734,171,215,1,613,13,88
2020-11-20,9958,173,224,2,628,15,90
2020-11-21,10123,174,165,1,636,8,86
2020-11-22,10359,176,236,2,642,6,94
2020-11-23,10544,177,185,1,647,5,103
2020-11-24,10799,189,255,12,662,15,105
2020-11-25,11027,190,228,1,678,16,105
2020-11-26,11265,190,238,0,687,9,105
2020-11-27,11265,190,0,0,687,0,119
2020-11-28,11288,191,23,1,689,2,125
2020-11-29,11508,191,220,0,692,3,125
2020-11-30,11757,194,249,3,699,7,139
2020-12-01,11976,214,219,20,709,10,139
2020-12-02,12208,218,232,4,725,16,138
2020-12-03,12554,220,346,2,740,15,138
2020-12-04,12844,224,290,4,751,11,164
2020-12-05,13127,227,283,3,760,9,164
2020-12-06,13348,227,221,0,768,8,164
2020-12-07,13775,227,427,0,781,13,170
2020-12-08,14049,239,274,12,803,22,170
2020-12-09,14454,246,405,7,819,16,173
2020-12-10,14861,246,407,0,834,15,172
2020-12-11,15206,250,345,4,855,21,182
2020-12-12,15620,257,414,7,871,16,182
2020-12-13,15923,257,303,0,878,7,175
2020-12-14,16349,259,426,2,893,15,198
2020-12-15,16760,265,411,6,909,16,195
2020-12-16,17311,267,551,2,934,25,187
2020-12-17,17901,276,590,9,958,24,191
2020-12-18,18337,281,436,5,965,7,191
2020-12-19,18739,292,402,11,971,6,191
2020-12-20,18946,292,207,0,979,8,162
2020-12-21,19285,293,339,1,980,1,170
2020-12-22,19743,303,458,10,985,5,185
2020-12-23,20491,311,748,8,1000,15,187
2020-12-24,21226,317,735,6,1015,15,187
2020-12-25,21547,319,321,2,1020,5,187
2020-12-26,21547,319,0,0,1020,0,183
2020-12-27,21880,323,333,4,1024,4,183
2020-12-28,22319,326,439,3,1032,8,181
2020-12-29,22909,333,590,7,1041,9,181
2020-12-30,23499,334,590,1,1039,-2,177
2020-12-31,24201,347,702,13,1065,26,177
2021-01-01,24201,347,0,0,1065,0,182
2021-01-02,25245,358,1044,11,1091,26,188
2021-01-03,25592,359,347,1,1099,8,180
2021-01-04,25968,360,376,1,1107,8,180
2021-01-05,26565,369,597,9,1117,10,191
2021-01-06,27090,372,525,3,1124,7,191
2021-01-07,27625,385,535,13,1135,11,202
2021-01-08,28407,426,782,41,1150,15,205
2021-01-09,29019,432,612,6,1158,8,205
2021-01-10,29298,432,279,0,1158,0,191
2021-01-11,29611,438,313,6,1171,13,190
2021-01-12,30326,449,715,11,1189,18,203
2021-01-13,31150,453,824,4,1201,12,207
2021-01-14,31958,461,808,8,1217,16,193
2021-01-15,32781,477,823,16,1228,11,193
2021-01-16,33219,507,438,30,1242,14,194
2021-01-17,33559,511,340,4,1244,2,205
2021-01-18,33876,514,317,3,1254,10,194
2021-01-19,34262,519,386,5,1269,15,191
2021-01-20,34963,530,701,11,1287,18,198
2021-01-21,35638,536,675,6,1294,7,182
2021-01-22,36274,540,636,4,1309,15,190
2021-01-23,36598,544,324,4,1322,13,185
2021-01-24,36598,544,0,0,1322,0,189
2021-01-25,37046,547,448,3,1342,20,193
2021-01-26,37708,558,662,11,1357,15,194
2021-01-27,38170,562,462,4,1366,9,183
2021-01-28,38454,567,284,5,1375,9,171
2021-01-29,38813,570,359,3,1381,6,176
2021-01-30,39168,590,355,20,1386,5,161
2021-01-31,39324,590,156,0,1390,4,160
2021-02-01,39543,595,219,5,1394,4,164
2021-02-02,39960,618,417,23,1403,9,157
2021-02-03,40233,627,273,9,1410,7,158
