"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,0,1,0,0,0,0
2020-03-09,1,0,0,0,0,0,0
2020-03-10,1,0,0,0,0,0,0
2020-03-11,1,0,0,0,0,0,0
2020-03-12,2,0,1,0,0,0,0
2020-03-13,2,0,0,0,0,0,0
2020-03-14,5,0,3,0,0,0,0
2020-03-15,8,0,3,0,0,0,0
2020-03-16,12,0,4,0,0,0,0
2020-03-17,17,0,5,0,0,0,0
2020-03-18,19,0,2,0,0,0,0
2020-03-19,21,0,2,0,0,0,0
2020-03-20,28,2,7,2,0,0,0
2020-03-21,44,2,16,0,0,0,0
2020-03-22,52,2,8,0,0,0,0
2020-03-23,76,5,24,3,0,0,0
2020-03-24,97,7,21,2,0,0,0
2020-03-25,125,8,28,1,0,0,0
2020-03-26,160,9,35,1,0,0,0
2020-03-27,185,10,25,1,18,18,0
2020-03-28,213,12,28,2,18,0,0
2020-03-29,234,12,21,0,18,0,0
2020-03-30,256,12,22,0,18,0,0
2020-03-31,293,13,37,1,36,18,21
2020-04-01,320,16,27,3,45,9,30
2020-04-02,359,17,39,1,45,0,29
2020-04-03,390,17,31,0,45,0,29
2020-04-04,460,20,70,3,45,0,29
2020-04-05,512,22,52,2,45,0,29
2020-04-06,543,23,31,1,45,0,28
2020-04-07,575,23,32,0,45,0,29
2020-04-08,608,23,33,0,50,5,35
2020-04-09,631,23,23,0,0,-50,33
2020-04-10,680,24,49,1,0,0,32
2020-04-11,713,25,33,1,0,0,77
2020-04-12,733,27,20,2,0,0,34
2020-04-13,754,28,21,1,0,0,33
2020-04-14,761,29,7,1,0,0,64
2020-04-15,770,30,9,1,0,0,63
2020-04-16,779,35,9,5,0,0,58
2020-04-17,792,35,13,0,0,0,32
2020-04-18,802,38,10,3,0,0,56
2020-04-19,813,38,11,0,0,0,53
2020-04-20,817,38,4,0,0,0,49
2020-04-21,820,40,3,2,0,0,41
2020-04-22,828,40,8,0,0,0,37
2020-04-23,831,43,3,3,0,0,44
2020-04-24,834,44,3,1,0,0,32
2020-04-25,843,46,9,2,0,0,37
2020-04-26,852,46,9,0,0,0,34
2020-04-27,855,47,3,1,0,0,33
2020-04-28,862,47,7,0,0,0,29
2020-04-29,862,47,0,0,0,0,26
2020-04-30,866,49,4,2,0,0,23
2020-05-01,879,50,13,1,0,0,19
2020-05-02,885,51,6,1,0,0,11
2020-05-03,896,52,11,1,0,0,19
2020-05-04,901,52,5,0,0,0,15
2020-05-05,906,52,5,0,0,0,33
2020-05-06,909,52,3,0,0,0,26
2020-05-07,914,53,5,1,0,0,14
2020-05-08,916,53,2,0,0,0,15
2020-05-09,918,53,2,0,0,0,21
2020-05-10,926,53,8,0,0,0,21
2020-05-11,926,53,0,0,0,0,14
2020-05-12,927,53,1,0,0,0,18
2020-05-13,929,53,2,0,0,0,17
2020-05-14,930,53,1,0,0,0,18
2020-05-15,931,53,1,0,0,0,17
2020-05-16,932,53,1,0,0,0,20
2020-05-17,940,54,8,1,0,0,14
2020-05-18,940,54,0,0,0,0,22
2020-05-19,944,54,4,0,0,0,24
2020-05-20,945,54,1,0,0,0,15
2020-05-21,950,54,5,0,0,0,14
2020-05-22,952,54,2,0,0,0,16
2020-05-23,954,54,2,0,0,0,21
2020-05-24,957,54,3,0,0,0,25
2020-05-25,963,54,6,0,0,0,19
2020-05-26,968,54,5,0,0,0,25
2020-05-27,970,54,2,0,0,0,21
2020-05-28,974,55,4,1,0,0,17
2020-05-29,975,55,1,0,0,0,14
2020-05-30,977,55,2,0,0,0,17
2020-05-31,981,55,4,0,0,0,18
2020-06-01,985,55,4,0,0,0,16
2020-06-02,987,55,2,0,0,0,10
2020-06-03,989,55,2,0,0,0,10
2020-06-04,1025,55,36,0,0,0,13
2020-06-05,1027,55,2,0,0,0,14
2020-06-06,1044,55,17,0,0,0,16
2020-06-07,1061,55,17,0,0,0,14
2020-06-08,1073,55,12,0,0,0,13
2020-06-09,1081,55,8,0,0,0,16
2020-06-10,1092,55,11,0,0,0,11
2020-06-11,1108,55,16,0,0,0,12
2020-06-12,1118,55,10,0,0,0,16
2020-06-13,1123,55,5,0,0,0,11
2020-06-14,1125,55,2,0,0,0,26
2020-06-15,1126,55,1,0,0,0,16
2020-06-16,1129,55,3,0,0,0,12
2020-06-17,1129,55,0,0,0,0,5
2020-06-18,1135,56,6,1,0,0,11
2020-06-19,1143,56,8,0,0,0,8
2020-06-20,1147,56,4,0,0,0,9
2020-06-21,1159,56,12,0,0,0,11
2020-06-22,1163,56,4,0,0,0,8
2020-06-23,1165,56,2,0,0,0,19
2020-06-24,1185,56,20,0,0,0,13
2020-06-25,1192,56,7,0,0,0,15
2020-06-26,1199,56,7,0,0,0,14
2020-06-27,1201,56,2,0,0,0,14
2020-06-28,1204,56,3,0,0,0,15
2020-06-29,1210,56,6,0,0,0,13
